Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-4N-A93T-01A-11D-A36X-10	6	17	7	9	11	1	23	20	0	6
TCGA-5M-AAT4-01A-11D-A40P-10	23	30	13	5	0	2	0	29	0	78
TCGA-5M-AAT5-01A-21D-A40P-10	8	27	6	0	0	0	10	0	12	12
TCGA-5M-AAT6-01A-11D-A40P-10	579	593	0	87	599	7	0	0	0	34
TCGA-5M-AATA-01A-31D-A40P-10	11	34	1	8	0	3	0	3	13	8
TCGA-5M-AATE-01A-11D-A40P-10	10	45	8	4	2	0	0	36	26	11
TCGA-A6-2671-01A-01D-1408-10	17	24	5	6	0	0	0	19	6	9
TCGA-A6-2672-01B-03D-2298-08	340	132	18	82	446	0	88	0	0	49
TCGA-A6-2675-01A-02D-1719-10	11	43	0	0	3	3	0	19	9	13
TCGA-A6-2677-01A-01D-A270-10	9	47	5	22	8	0	34	0	3	15
TCGA-A6-2677-01B-02D-A270-10	7	38	1	25	7	7	28	4	4	11
TCGA-A6-2678-01A-01D-1953-10	3	4	2	7	0	0	7	2	0	0
TCGA-A6-2679-01A-02D-1408-10	35	33	0	20	0	3	22	15	6	24
TCGA-A6-2681-01A-01D-1408-10	5	54	5	3	16	3	33	16	6	14
TCGA-A6-2682-01A-01D-1408-10	0	9	0	21	8	0	19	13	10	0
TCGA-A6-2683-01A-01D-1953-10	2	13	0	1	4	0	18	0	0	0
TCGA-A6-2684-01A-01D-A270-10	8	31	0	12	0	0	28	0	17	21
TCGA-A6-2684-01C-08D-A270-10	10	33	0	13	0	0	20	0	17	12
TCGA-A6-2685-01A-01D-1408-10	2	10	2	3	0	0	23	10	3	0
TCGA-A6-2686-01A-01D-1408-10	924	423	34	89	273	0	281	0	1	0
TCGA-A6-3807-01A-01W-0995-10	0	7	3	18	0	0	17	13	46	0
TCGA-A6-3808-01A-01W-0995-10	25	37	3	10	3	3	1	8	40	12
TCGA-A6-3810-01A-01D-A270-10	0	40	3	11	18	0	5	46	36	11
TCGA-A6-4105-01A-02D-1771-10	35	42	0	0	0	7	24	23	20	23
TCGA-A6-4107-01A-02D-1408-10	25	50	13	1	13	0	65	8	1	19
TCGA-A6-5656-01A-21D-1835-10	4	51	0	16	3	0	12	2	1	15
TCGA-A6-5656-01A-21D-A270-10	3	58	0	17	6	0	1	13	0	12
TCGA-A6-5657-01A-01D-1650-10	0	28	0	16	0	7	40	24	9	1
TCGA-A6-5659-01A-01D-1650-10	6	38	5	25	5	15	105	0	0	0
TCGA-A6-5659-01A-01D-A270-10	9	46	7	24	4	15	107	0	0	0
TCGA-A6-5659-01B-04D-A270-10	14	22	8	33	6	6	95	0	1	0
TCGA-A6-5660-01A-01D-1650-10	7	46	0	11	3	8	15	34	4	0
TCGA-A6-5661-01A-01D-1650-10	543	325	0	27	134	64	71	32	0	0
TCGA-A6-5662-01A-01D-1650-10	4	10	0	12	0	0	8	13	8	5
TCGA-A6-5664-01A-21D-1835-10	0	16	8	0	9	0	4	8	0	6
TCGA-A6-5665-01A-01D-1650-10	596	325	0	82	460	61	0	53	34	57
TCGA-A6-5666-01A-01D-1650-10	0	39	11	4	9	3	8	17	0	1
TCGA-A6-5667-01A-21D-1719-10	0	9	0	7	3	0	39	0	10	0
TCGA-A6-6138-01A-11D-1771-10	3	32	4	5	8	0	19	2	36	7
TCGA-A6-6142-01A-11D-1771-10	1	20	2	1	3	0	42	0	11	0
TCGA-A6-6649-01A-11D-1771-10	11	39	0	3	5	9	16	0	27	6
TCGA-A6-6651-01A-21D-1835-10	9	14	0	0	0	0	11	32	14	7
TCGA-A6-6652-01A-11D-1771-10	11	10	0	2	9	1	33	5	5	9
TCGA-A6-6653-01A-11D-1771-10	318	349	14	27	194	0	163	4	2	0
TCGA-A6-6654-01A-21D-1835-10	0	140	1	0	0	11	0	17	18	13
TCGA-A6-6782-01A-11D-1835-10	12	10	15	15	0	0	27	29	13	28
TCGA-A6-A567-01A-31D-A28G-10	0	16	7	7	5	0	26	2	0	0
TCGA-A6-A56B-01A-31D-A28G-10	7	42	3	10	0	0	10	25	0	0
TCGA-A6-A5ZU-01A-11D-A28G-10	17	30	0	10	0	9	0	12	8	17
TCGA-AA-3489-01A-21D-1835-10	0	10	5	5	4	15	17	28	15	0
