Samples	SBS96A
TCGA-4N-A93T-01A-11D-A36X-10	100
TCGA-5M-AAT4-01A-11D-A40P-10	180
TCGA-5M-AAT5-01A-21D-A40P-10	75
TCGA-5M-AAT6-01A-11D-A40P-10	1899
TCGA-5M-AATA-01A-31D-A40P-10	81
TCGA-5M-AATE-01A-11D-A40P-10	142
TCGA-A6-2671-01A-01D-1408-10	86
TCGA-A6-2672-01B-03D-2298-08	1155
TCGA-A6-2675-01A-02D-1719-10	101
TCGA-A6-2677-01A-01D-A270-10	143
TCGA-A6-2677-01B-02D-A270-10	132
TCGA-A6-2678-01A-01D-1953-10	25
TCGA-A6-2679-01A-02D-1408-10	158
TCGA-A6-2681-01A-01D-1408-10	155
TCGA-A6-2682-01A-01D-1408-10	80
TCGA-A6-2683-01A-01D-1953-10	38
TCGA-A6-2684-01A-01D-A270-10	117
TCGA-A6-2684-01C-08D-A270-10	105
TCGA-A6-2685-01A-01D-1408-10	53
TCGA-A6-2686-01A-01D-1408-10	2025
TCGA-A6-3807-01A-01W-0995-10	104
TCGA-A6-3808-01A-01W-0995-10	142
TCGA-A6-3810-01A-01D-A270-10	170
TCGA-A6-4105-01A-02D-1771-10	174
TCGA-A6-4107-01A-02D-1408-10	195
TCGA-A6-5656-01A-21D-1835-10	104
TCGA-A6-5656-01A-21D-A270-10	110
TCGA-A6-5657-01A-01D-1650-10	125
TCGA-A6-5659-01A-01D-1650-10	199
TCGA-A6-5659-01A-01D-A270-10	212
TCGA-A6-5659-01B-04D-A270-10	185
TCGA-A6-5660-01A-01D-1650-10	128
TCGA-A6-5661-01A-01D-1650-10	1196
TCGA-A6-5662-01A-01D-1650-10	60
TCGA-A6-5664-01A-21D-1835-10	51
TCGA-A6-5665-01A-01D-1650-10	1668
TCGA-A6-5666-01A-01D-1650-10	92
TCGA-A6-5667-01A-21D-1719-10	68
TCGA-A6-6138-01A-11D-1771-10	116
TCGA-A6-6142-01A-11D-1771-10	80
TCGA-A6-6649-01A-11D-1771-10	116
TCGA-A6-6651-01A-21D-1835-10	87
TCGA-A6-6652-01A-11D-1771-10	85
TCGA-A6-6653-01A-11D-1771-10	1071
TCGA-A6-6654-01A-21D-1835-10	200
TCGA-A6-6782-01A-11D-1835-10	149
TCGA-A6-A567-01A-31D-A28G-10	63
TCGA-A6-A56B-01A-31D-A28G-10	97
TCGA-A6-A5ZU-01A-11D-A28G-10	103
TCGA-AA-3489-01A-21D-1835-10	99
TCGA-AA-3492-01A-01D-1408-10	2044
TCGA-AA-3494-01A-01D-1408-10	91
TCGA-AA-3495-01A-01D-1408-10	124
TCGA-AA-3496-01A-21D-1835-10	97
TCGA-AA-3502-01A-01D-1408-10	200
TCGA-AA-3506-01A-01D-2188-10	169
TCGA-AA-3509-01A-01D-1408-10	93
TCGA-AA-3511-01A-21D-1835-10	114
TCGA-AA-3514-01A-02D-1953-10	31
TCGA-AA-3517-01A-01D-1953-10	15
TCGA-AA-3519-01A-02D-1953-10	26
TCGA-AA-3520-01A-01D-1953-10	28
TCGA-AA-3521-01A-01D-1953-10	15
TCGA-AA-3522-01A-01W-0831-10	25
TCGA-AA-3524-01A-02D-1953-10	13
TCGA-AA-3529-01A-02D-1953-10	21
TCGA-AA-3530-01A-01W-0995-10	96
TCGA-AA-3532-01A-01D-1953-10	18
TCGA-AA-3534-01A-01D-1953-10	31
TCGA-AA-3538-01A-01D-1953-10	16
TCGA-AA-3544-01A-01D-1953-10	25
TCGA-AA-3548-01A-01D-1953-10	23
TCGA-AA-3549-01A-02D-1953-10	18
TCGA-AA-3561-01A-01D-1953-10	17
TCGA-AA-3655-01A-02D-1719-10	87
TCGA-AA-3660-01A-01D-1719-10	123
TCGA-AA-3662-01A-01D-1719-10	83
TCGA-AA-3663-01A-01D-1719-10	1885
TCGA-AA-3664-01A-01W-0900-09	159
TCGA-AA-3666-01A-02W-0900-09	187
TCGA-AA-3667-01A-01W-0900-09	67
TCGA-AA-3672-01A-01W-0900-09	1666
TCGA-AA-3673-01A-01W-0900-09	73
TCGA-AA-3675-01A-02W-0900-09	100
TCGA-AA-3678-01A-01W-0900-09	71
TCGA-AA-3679-01A-02W-0900-09	74
TCGA-AA-3680-01A-01W-0900-09	109
TCGA-AA-3681-01A-01W-0900-09	126
TCGA-AA-3685-01A-02W-0900-09	87
TCGA-AA-3688-01A-01W-0900-09	75
TCGA-AA-3693-01A-01W-0900-09	160
TCGA-AA-3696-01A-01W-0900-09	91
TCGA-AA-3697-01A-01D-1719-10	204
TCGA-AA-3712-01A-21D-1719-10	159
TCGA-AA-3713-01A-21D-1719-10	939
TCGA-AA-3812-01A-01W-0900-09	118
TCGA-AA-3814-01A-01W-0900-09	107
