Samples	SBS96A	SBS96B
TCGA-4N-A93T-01A-11D-A36X-10	82	18
TCGA-5M-AAT4-01A-11D-A40P-10	159	21
TCGA-5M-AAT5-01A-21D-A40P-10	70	5
TCGA-5M-AAT6-01A-11D-A40P-10	1867	32
TCGA-5M-AATA-01A-31D-A40P-10	74	7
TCGA-5M-AATE-01A-11D-A40P-10	131	11
TCGA-A6-2671-01A-01D-1408-10	78	8
TCGA-A6-2672-01B-03D-2298-08	1081	74
TCGA-A6-2675-01A-02D-1719-10	100	1
TCGA-A6-2677-01A-01D-A270-10	125	18
TCGA-A6-2677-01B-02D-A270-10	111	21
TCGA-A6-2678-01A-01D-1953-10	18	7
TCGA-A6-2679-01A-02D-1408-10	145	13
TCGA-A6-2681-01A-01D-1408-10	146	9
TCGA-A6-2682-01A-01D-1408-10	63	17
TCGA-A6-2683-01A-01D-1953-10	38	0
TCGA-A6-2684-01A-01D-A270-10	111	6
TCGA-A6-2684-01C-08D-A270-10	98	7
TCGA-A6-2685-01A-01D-1408-10	48	5
TCGA-A6-2686-01A-01D-1408-10	1959	66
TCGA-A6-3807-01A-01W-0995-10	79	25
TCGA-A6-3808-01A-01W-0995-10	130	12
TCGA-A6-3810-01A-01D-A270-10	158	12
TCGA-A6-4105-01A-02D-1771-10	173	1
TCGA-A6-4107-01A-02D-1408-10	181	14
TCGA-A6-5656-01A-21D-1835-10	96	8
TCGA-A6-5656-01A-21D-A270-10	102	8
TCGA-A6-5657-01A-01D-1650-10	109	16
TCGA-A6-5659-01A-01D-1650-10	164	35
TCGA-A6-5659-01A-01D-A270-10	177	35
TCGA-A6-5659-01B-04D-A270-10	146	39
TCGA-A6-5660-01A-01D-1650-10	117	11
TCGA-A6-5661-01A-01D-1650-10	1156	40
TCGA-A6-5662-01A-01D-1650-10	52	8
TCGA-A6-5664-01A-21D-1835-10	43	8
TCGA-A6-5665-01A-01D-1650-10	1594	74
TCGA-A6-5666-01A-01D-1650-10	75	17
TCGA-A6-5667-01A-21D-1719-10	62	6
TCGA-A6-6138-01A-11D-1771-10	107	9
TCGA-A6-6142-01A-11D-1771-10	77	3
TCGA-A6-6649-01A-11D-1771-10	108	8
TCGA-A6-6651-01A-21D-1835-10	87	0
TCGA-A6-6652-01A-11D-1771-10	84	1
TCGA-A6-6653-01A-11D-1771-10	1052	19
TCGA-A6-6654-01A-21D-1835-10	195	5
TCGA-A6-6782-01A-11D-1835-10	113	36
TCGA-A6-A567-01A-31D-A28G-10	49	14
TCGA-A6-A56B-01A-31D-A28G-10	89	8
TCGA-A6-A5ZU-01A-11D-A28G-10	92	11
TCGA-AA-3489-01A-21D-1835-10	72	27
TCGA-AA-3492-01A-01D-1408-10	1961	83
TCGA-AA-3494-01A-01D-1408-10	91	0
TCGA-AA-3495-01A-01D-1408-10	113	11
TCGA-AA-3496-01A-21D-1835-10	86	11
TCGA-AA-3502-01A-01D-1408-10	175	25
TCGA-AA-3506-01A-01D-2188-10	155	14
TCGA-AA-3509-01A-01D-1408-10	89	4
TCGA-AA-3511-01A-21D-1835-10	87	27
TCGA-AA-3514-01A-02D-1953-10	30	1
TCGA-AA-3517-01A-01D-1953-10	15	0
TCGA-AA-3519-01A-02D-1953-10	19	7
TCGA-AA-3520-01A-01D-1953-10	28	0
TCGA-AA-3521-01A-01D-1953-10	14	1
