NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	180.287	78.561	37.078	52.742	0.693	0.82	30000.0
2	178.931	78.865	36.91	52.832	0.688	0.821	20000.0
3	177.916	78.265	36.807	52.846	0.689	0.82	50000.0
4	178.565	78.449	36.937	52.894	0.685	0.82	20000.0
5	179.139	78.769	37.18	53.463	0.688	0.816	30000.0
6	177.571	78.152	36.361	52.768	0.689	0.82	20000.0
7	178.671	78.291	37.09	52.806	0.687	0.819	20000.0
8	178.716	78.257	37.078	52.901	0.684	0.82	20000.0
9	178.384	78.564	36.794	52.958	0.691	0.816	50000.0
10	176.726	78.426	36.495	52.8	0.687	0.82	20000.0
