Samples	SBS96A	SBS96B	SBS96C
TCGA-4N-A93T-01A-11D-A36X-10	12	15	73
TCGA-5M-AAT4-01A-11D-A40P-10	59	17	104
TCGA-5M-AAT5-01A-21D-A40P-10	19	3	53
TCGA-5M-AAT6-01A-11D-A40P-10	1575	25	299
TCGA-5M-AATA-01A-31D-A40P-10	31	5	45
TCGA-5M-AATE-01A-11D-A40P-10	33	8	101
TCGA-A6-2671-01A-01D-1408-10	32	7	47
TCGA-A6-2672-01B-03D-2298-08	1081	74	0
TCGA-A6-2675-01A-02D-1719-10	36	0	65
TCGA-A6-2677-01A-01D-A270-10	25	14	104
TCGA-A6-2677-01B-02D-A270-10	23	17	92
TCGA-A6-2678-01A-01D-1953-10	3	6	16
TCGA-A6-2679-01A-02D-1408-10	69	10	79
TCGA-A6-2681-01A-01D-1408-10	27	5	123
TCGA-A6-2682-01A-01D-1408-10	0	13	67
TCGA-A6-2683-01A-01D-1953-10	5	0	33
TCGA-A6-2684-01A-01D-A270-10	19	3	95
TCGA-A6-2684-01C-08D-A270-10	22	4	79
TCGA-A6-2685-01A-01D-1408-10	0	4	49
TCGA-A6-2686-01A-01D-1408-10	1834	63	128
TCGA-A6-3807-01A-01W-0995-10	0	18	86
TCGA-A6-3808-01A-01W-0995-10	65	10	67
TCGA-A6-3810-01A-01D-A270-10	12	8	150
TCGA-A6-4105-01A-02D-1771-10	70	0	104
TCGA-A6-4107-01A-02D-1408-10	40	10	145
TCGA-A6-5656-01A-21D-1835-10	22	5	77
TCGA-A6-5656-01A-21D-A270-10	26	5	79
TCGA-A6-5657-01A-01D-1650-10	0	11	114
TCGA-A6-5659-01A-01D-1650-10	3	27	169
TCGA-A6-5659-01A-01D-A270-10	11	27	174
TCGA-A6-5659-01B-04D-A270-10	5	32	148
TCGA-A6-5660-01A-01D-1650-10	27	8	93
TCGA-A6-5661-01A-01D-1650-10	1054	38	104
TCGA-A6-5662-01A-01D-1650-10	9	6	45
TCGA-A6-5664-01A-21D-1835-10	5	6	40
TCGA-A6-5665-01A-01D-1650-10	1595	73	0
TCGA-A6-5666-01A-01D-1650-10	6	13	73
TCGA-A6-5667-01A-21D-1719-10	0	3	65
TCGA-A6-6138-01A-11D-1771-10	18	6	92
TCGA-A6-6142-01A-11D-1771-10	0	0	80
TCGA-A6-6649-01A-11D-1771-10	34	5	77
TCGA-A6-6651-01A-21D-1835-10	14	0	73
TCGA-A6-6652-01A-11D-1771-10	19	0	66
TCGA-A6-6653-01A-11D-1771-10	695	10	366
TCGA-A6-6654-01A-21D-1835-10	41	1	158
TCGA-A6-6782-01A-11D-1835-10	6	30	113
TCGA-A6-A567-01A-31D-A28G-10	0	11	52
TCGA-A6-A56B-01A-31D-A28G-10	19	5	73
TCGA-A6-A5ZU-01A-11D-A28G-10	41	9	53
TCGA-AA-3489-01A-21D-1835-10	0	22	77
TCGA-AA-3492-01A-01D-1408-10	1964	80	0
TCGA-AA-3494-01A-01D-1408-10	17	0	74
TCGA-AA-3495-01A-01D-1408-10	24	8	92
TCGA-AA-3496-01A-21D-1835-10	23	8	66
TCGA-AA-3502-01A-01D-1408-10	40	20	140
TCGA-AA-3506-01A-01D-2188-10	29	10	130
TCGA-AA-3509-01A-01D-1408-10	13	1	79
TCGA-AA-3511-01A-21D-1835-10	0	20	94
TCGA-AA-3514-01A-02D-1953-10	6	0	25
TCGA-AA-3517-01A-01D-1953-10	2	0	13
TCGA-AA-3519-01A-02D-1953-10	12	6	8
TCGA-AA-3520-01A-01D-1953-10	14	0	14
TCGA-AA-3521-01A-01D-1953-10	4	1	10
TCGA-AA-3522-01A-01W-0831-10	0	4	21
TCGA-AA-3524-01A-02D-1953-10	0	0	13
TCGA-AA-3529-01A-02D-1953-10	3	0	18
TCGA-AA-3530-01A-01W-0995-10	15	2	79
TCGA-AA-3532-01A-01D-1953-10	1	3	14
TCGA-AA-3534-01A-01D-1953-10	9	0	22
TCGA-AA-3538-01A-01D-1953-10	5	0	11
TCGA-AA-3544-01A-01D-1953-10	11	3	11
TCGA-AA-3548-01A-01D-1953-10	4	1	18
TCGA-AA-3549-01A-02D-1953-10	11	1	6
TCGA-AA-3561-01A-01D-1953-10	5	0	12
TCGA-AA-3655-01A-02D-1719-10	48	2	37
TCGA-AA-3660-01A-01D-1719-10	37	15	71
TCGA-AA-3662-01A-01D-1719-10	0	6	77
TCGA-AA-3663-01A-01D-1719-10	1828	57	0
TCGA-AA-3664-01A-01W-0900-09	13	5	141
TCGA-AA-3666-01A-02W-0900-09	62	20	105
TCGA-AA-3667-01A-01W-0900-09	41	0	26
TCGA-AA-3672-01A-01W-0900-09	1613	53	0
TCGA-AA-3673-01A-01W-0900-09	17	2	54
TCGA-AA-3675-01A-02W-0900-09	11	3	86
TCGA-AA-3678-01A-01W-0900-09	8	6	57
TCGA-AA-3679-01A-02W-0900-09	12	0	62
TCGA-AA-3680-01A-01W-0900-09	10	17	82
TCGA-AA-3681-01A-01W-0900-09	22	4	100
TCGA-AA-3685-01A-02W-0900-09	0	6	81
TCGA-AA-3688-01A-01W-0900-09	0	12	63
TCGA-AA-3693-01A-01W-0900-09	0	0	160
TCGA-AA-3696-01A-01W-0900-09	24	8	59
TCGA-AA-3697-01A-01D-1719-10	11	14	179
TCGA-AA-3712-01A-21D-1719-10	0	42	117
TCGA-AA-3713-01A-21D-1719-10	923	16	0
TCGA-AA-3812-01A-01W-0900-09	15	15	88
TCGA-AA-3814-01A-01W-0900-09	23	8	76
TCGA-AA-3815-01A-01W-0995-10	714	36	128
TCGA-AA-3818-01A-01W-0900-09	21	24	107
TCGA-AA-3831-01A-01W-0900-09	25	17	63
TCGA-AA-3833-01A-01W-0900-09	581	6	21
TCGA-AA-3841-01A-01W-0900-09	5	3	67
TCGA-AA-3842-01A-01W-0995-10	0	6	95
TCGA-AA-3844-01A-01W-0995-10	0	2	126
TCGA-AA-3845-01A-01D-1981-10	836	54	78
TCGA-AA-3845-01A-01W-0995-10	788	69	29
TCGA-AA-3846-01A-01W-0995-10	8	6	83
TCGA-AA-3848-01A-01W-0900-09	20	2	136
TCGA-AA-3851-01A-01W-0995-10	3	4	85
TCGA-AA-3855-01A-01W-0995-10	21	4	120
TCGA-AA-3856-01A-01W-0900-09	5	4	53
TCGA-AA-3858-01A-01W-0900-09	7	3	52
TCGA-AA-3860-01A-02W-0900-09	0	0	53
TCGA-AA-3861-01A-01W-0995-10	18	7	96
TCGA-AA-3862-01A-01W-0995-10	27	6	63
TCGA-AA-3864-01A-01D-1981-10	2231	18	630
TCGA-AA-3866-01A-01W-0995-10	24	5	93
TCGA-AA-3867-01A-01W-0995-10	0	5	93
TCGA-AA-3869-01A-01W-0995-10	16	10	53
TCGA-AA-3870-01A-01W-0995-10	36	7	83
TCGA-AA-3875-01A-01W-0900-09	12	11	106
TCGA-AA-3930-01A-01W-0995-10	0	24	183
TCGA-AA-3939-01A-01W-0995-10	0	8	111
TCGA-AA-3941-01A-01W-0995-10	21	6	84
TCGA-AA-3952-01A-01W-0995-10	0	3	89
TCGA-AA-3955-01A-02W-0995-10	0	1	132
TCGA-AA-3956-01A-02W-0995-10	10	8	114
TCGA-AA-3967-01A-01W-1073-09	18	2	136
TCGA-AA-3968-01A-01W-0995-10	1	12	114
TCGA-AA-3971-01A-01W-0995-10	0	2	86
TCGA-AA-3972-01A-01W-0995-10	0	8	86
TCGA-AA-3977-01A-01D-1981-10	53	4591	0
TCGA-AA-3977-01A-01W-0995-10	12	3893	0
TCGA-AA-3979-01A-01W-0995-10	43	12	95
TCGA-AA-3980-01A-02W-0995-10	13	12	78
TCGA-AA-3982-01A-02W-0995-10	21	15	89
TCGA-AA-3984-01A-02D-1981-10	144	4727	781
TCGA-AA-3984-01A-02W-0995-10	65	4176	673
TCGA-AA-3986-01A-02W-0995-10	17	6	69
TCGA-AA-3989-01A-01W-0995-10	49	5	61
TCGA-AA-A004-01A-01W-A00E-09	24	0	45
TCGA-AA-A00O-01A-02W-A00E-09	13	3	71
TCGA-AA-A00Z-01A-01D-A17O-10	3	0	8
TCGA-AA-A010-01A-01D-A17O-10	1308	7505	0
TCGA-AA-A010-01A-01W-A00E-09	792	7103	0
TCGA-AA-A017-01A-01W-A00E-09	0	1	50
TCGA-AA-A01C-01A-01W-A00E-09	0	4	73
TCGA-AA-A01I-01A-02W-A00E-09	26	10	75
TCGA-AA-A01K-01A-01W-A00E-09	8	2	129
TCGA-AA-A01P-01A-21D-A17O-10	717	37	86
TCGA-AA-A01P-01A-21W-A096-10	386	39	132
TCGA-AA-A01S-01A-21W-A096-10	20	2	41
TCGA-AA-A01T-01A-21W-A096-10	0	4	92
TCGA-AA-A01V-01A-23W-A096-10	34	16	74
TCGA-AA-A01X-01A-21W-A096-10	3	4	66
TCGA-AA-A01Z-01A-11W-A096-10	12	4	79
TCGA-AA-A022-01A-21D-A17O-10	1212	44	222
TCGA-AA-A022-01A-21W-A096-10	1016	51	194
TCGA-AA-A024-01A-02W-A00E-09	19	3	57
TCGA-AA-A029-01A-01W-A00E-09	0	12	73
TCGA-AA-A02E-01A-01W-A00E-09	0	9	153
TCGA-AA-A02H-01A-01W-A00E-09	13	15	45
TCGA-AA-A02J-01A-01W-A00E-09	0	33	94
TCGA-AA-A02K-01A-21W-A096-10	42	7	90
TCGA-AA-A02O-01A-21W-A096-10	0	3	162
TCGA-AA-A02R-01A-01W-A00E-09	1024	40	0
TCGA-AA-A02W-01A-01W-A00E-09	32	1	62
TCGA-AA-A02Y-01A-43W-A096-10	0	23	89
TCGA-AA-A03J-01A-21W-A096-10	0	12	89
TCGA-AD-6548-01A-11D-1835-10	0	3	126
TCGA-AD-6888-01A-11D-1924-10	37	6	62
TCGA-AD-6889-01A-11D-1924-10	1607	31	0
TCGA-AD-6890-01A-11D-1924-10	19	5	87
TCGA-AD-6895-01A-11D-1924-10	1393	88	255
TCGA-AD-6901-01A-11D-1924-10	50	35	185
TCGA-AD-6963-01A-11D-1924-10	22	0	53
TCGA-AD-6964-01A-11D-1924-10	1560	63	0
TCGA-AD-6965-01A-11D-1924-10	43	9	81
TCGA-AD-A5EJ-01A-11D-A28G-10	1389	49	0
TCGA-AD-A5EK-01A-11D-A28G-10	27	1	76
TCGA-AM-5820-01A-01D-1650-10	17	5	44
TCGA-AU-3779-01A-01D-1719-10	25	9	80
TCGA-AU-6004-01A-11D-1719-10	692	36	166
TCGA-AY-4071-01A-01W-1073-09	0	13	108
TCGA-AY-5543-01A-01D-1650-10	26	13	80
TCGA-AY-6197-01A-11D-1719-10	1022	50	0
TCGA-AY-6386-01A-21D-1719-10	12	7	93
TCGA-AY-A54L-01A-11D-A28G-10	50	16	82
TCGA-AY-A69D-01A-11D-A36X-10	19	29	159
TCGA-AY-A71X-01A-12D-A36X-10	25	8	53
TCGA-AY-A8YK-01A-11D-A40P-10	43	5	31
TCGA-AZ-4308-01A-01D-1408-10	2	12	54
TCGA-AZ-4313-01A-01D-1408-10	427	0	751
TCGA-AZ-4315-01A-01D-1408-10	672	5920	620
TCGA-AZ-4614-01A-01D-1408-10	12	2	177
TCGA-AZ-4615-01A-01D-1408-10	843	34	97
TCGA-AZ-4681-01A-01D-1408-10	8	0	71
TCGA-AZ-5403-01A-01D-1650-10	14	16	47
TCGA-AZ-5407-01A-01D-1719-10	24	5	73
TCGA-AZ-6598-01A-11D-1771-10	2119	56	0
TCGA-AZ-6599-01A-11D-1771-10	0	43	220
TCGA-AZ-6600-01A-11D-1771-10	13	16	113
TCGA-AZ-6601-01A-11D-1771-10	1733	0	649
TCGA-AZ-6603-01A-11D-1835-10	0	11	64
