Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-4N-A93T-01A-11D-A36X-10	6	26	8	11	49
TCGA-5M-AAT4-01A-11D-A40P-10	35	56	18	0	71
TCGA-5M-AAT5-01A-21D-A40P-10	5	36	6	0	28
TCGA-5M-AAT6-01A-11D-A40P-10	998	788	0	109	4
TCGA-5M-AATA-01A-31D-A40P-10	11	45	3	8	14
TCGA-5M-AATE-01A-11D-A40P-10	14	54	8	5	61
TCGA-A6-2671-01A-01D-1408-10	16	36	6	3	25
TCGA-A6-2672-01B-03D-2298-08	669	179	0	143	164
TCGA-A6-2675-01A-02D-1719-10	13	58	1	0	29
TCGA-A6-2677-01A-01D-A270-10	0	63	5	25	50
TCGA-A6-2677-01B-02D-A270-10	1	52	4	29	46
TCGA-A6-2678-01A-01D-1953-10	0	7	2	7	9
TCGA-A6-2679-01A-02D-1408-10	38	53	2	20	45
TCGA-A6-2681-01A-01D-1408-10	4	69	6	6	70
TCGA-A6-2682-01A-01D-1408-10	0	14	0	26	40
TCGA-A6-2683-01A-01D-1953-10	0	19	0	1	18
TCGA-A6-2684-01A-01D-A270-10	4	44	0	13	56
TCGA-A6-2684-01C-08D-A270-10	5	44	0	14	42
TCGA-A6-2685-01A-01D-1408-10	0	16	3	4	30
TCGA-A6-2686-01A-01D-1408-10	1211	611	30	65	108
TCGA-A6-3807-01A-01W-0995-10	0	5	1	27	71
TCGA-A6-3808-01A-01W-0995-10	39	42	5	12	44
TCGA-A6-3810-01A-01D-A270-10	7	45	1	20	97
TCGA-A6-4105-01A-02D-1771-10	43	58	2	0	71
TCGA-A6-4107-01A-02D-1408-10	19	73	13	1	89
TCGA-A6-5656-01A-21D-1835-10	0	62	0	15	27
TCGA-A6-5656-01A-21D-A270-10	0	71	0	16	23
TCGA-A6-5657-01A-01D-1650-10	0	37	3	18	67
TCGA-A6-5659-01A-01D-1650-10	0	65	13	30	91
TCGA-A6-5659-01A-01D-A270-10	0	75	16	28	93
TCGA-A6-5659-01B-04D-A270-10	0	44	11	38	92
TCGA-A6-5660-01A-01D-1650-10	3	62	5	11	47
TCGA-A6-5661-01A-01D-1650-10	706	438	35	3	14
TCGA-A6-5662-01A-01D-1650-10	4	15	0	13	28
TCGA-A6-5664-01A-21D-1835-10	0	21	8	0	22
TCGA-A6-5665-01A-01D-1650-10	1046	440	13	126	43
TCGA-A6-5666-01A-01D-1650-10	0	45	13	4	30
TCGA-A6-5667-01A-21D-1719-10	0	14	0	10	44
TCGA-A6-6138-01A-11D-1771-10	9	34	2	11	60
TCGA-A6-6142-01A-11D-1771-10	0	25	0	5	50
TCGA-A6-6649-01A-11D-1771-10	17	43	5	5	46
TCGA-A6-6651-01A-21D-1835-10	13	20	0	0	54
TCGA-A6-6652-01A-11D-1771-10	15	18	0	4	48
TCGA-A6-6653-01A-11D-1771-10	432	459	10	25	145
TCGA-A6-6654-01A-21D-1835-10	0	150	5	0	45
TCGA-A6-6782-01A-11D-1835-10	10	22	17	16	84
TCGA-A6-A567-01A-31D-A28G-10	0	20	7	9	27
TCGA-A6-A56B-01A-31D-A28G-10	0	54	3	9	31
TCGA-A6-A5ZU-01A-11D-A28G-10	19	46	6	9	23
TCGA-AA-3489-01A-21D-1835-10	1	15	14	9	60
TCGA-AA-3492-01A-01D-1408-10	1333	566	12	133	0
TCGA-AA-3494-01A-01D-1408-10	4	39	2	0	46
TCGA-AA-3495-01A-01D-1408-10	5	57	10	1	51
TCGA-AA-3496-01A-21D-1835-10	4	51	7	6	29
TCGA-AA-3502-01A-01D-1408-10	0	104	5	39	52
TCGA-AA-3506-01A-01D-2188-10	0	93	5	17	54
TCGA-AA-3509-01A-01D-1408-10	0	48	0	6	39
TCGA-AA-3511-01A-21D-1835-10	0	18	6	24	66
TCGA-AA-3514-01A-02D-1953-10	0	24	1	0	6
TCGA-AA-3517-01A-01D-1953-10	0	6	0	0	9
TCGA-AA-3519-01A-02D-1953-10	5	8	0	13	0
TCGA-AA-3520-01A-01D-1953-10	4	20	1	0	3
TCGA-AA-3521-01A-01D-1953-10	0	8	3	0	4
TCGA-AA-3522-01A-01W-0831-10	0	7	2	4	12
TCGA-AA-3524-01A-02D-1953-10	1	2	0	1	9
TCGA-AA-3529-01A-02D-1953-10	0	12	0	0	9
TCGA-AA-3530-01A-01W-0995-10	1	46	5	0	44
TCGA-AA-3532-01A-01D-1953-10	0	3	0	6	9
TCGA-AA-3534-01A-01D-1953-10	1	20	0	0	10
TCGA-AA-3538-01A-01D-1953-10	4	4	0	0	8
TCGA-AA-3544-01A-01D-1953-10	5	12	0	7	1
TCGA-AA-3548-01A-01D-1953-10	0	16	0	3	4
TCGA-AA-3549-01A-02D-1953-10	5	9	0	4	0
TCGA-AA-3561-01A-01D-1953-10	0	12	0	0	5
TCGA-AA-3655-01A-02D-1719-10	28	36	0	5	18
TCGA-AA-3660-01A-01D-1719-10	17	42	5	20	39
TCGA-AA-3662-01A-01D-1719-10	0	30	7	0	46
TCGA-AA-3663-01A-01D-1719-10	1584	0	29	104	168
TCGA-AA-3664-01A-01W-0900-09	0	66	1	17	75
TCGA-AA-3666-01A-02W-0900-09	48	21	12	10	96
TCGA-AA-3667-01A-01W-0900-09	25	16	0	4	22
TCGA-AA-3672-01A-01W-0900-09	1245	325	19	77	0
TCGA-AA-3673-01A-01W-0900-09	3	38	4	0	28
TCGA-AA-3675-01A-02W-0900-09	0	50	3	3	44
TCGA-AA-3678-01A-01W-0900-09	0	36	2	10	23
TCGA-AA-3679-01A-02W-0900-09	4	28	0	0	42
TCGA-AA-3680-01A-01W-0900-09	0	48	6	27	28
TCGA-AA-3681-01A-01W-0900-09	0	63	3	7	53
TCGA-AA-3685-01A-02W-0900-09	0	31	4	6	46
TCGA-AA-3688-01A-01W-0900-09	0	18	10	4	43
TCGA-AA-3693-01A-01W-0900-09	13	22	1	0	124
TCGA-AA-3696-01A-01W-0900-09	12	32	10	0	37
TCGA-AA-3697-01A-01D-1719-10	18	33	8	16	129
TCGA-AA-3712-01A-21D-1719-10	3	0	20	10	126
TCGA-AA-3713-01A-21D-1719-10	601	323	15	0	0
TCGA-AA-3812-01A-01W-0900-09	3	34	4	25	52
TCGA-AA-3814-01A-01W-0900-09	7	45	12	0	43
TCGA-AA-3815-01A-01W-0995-10	437	196	0	95	150
TCGA-AA-3818-01A-01W-0900-09	12	40	18	10	72
TCGA-AA-3831-01A-01W-0900-09	7	39	7	21	31
TCGA-AA-3833-01A-01W-0900-09	387	202	7	1	11
TCGA-AA-3841-01A-01W-0900-09	0	31	5	0	39
TCGA-AA-3842-01A-01W-0995-10	0	26	1	13	61
TCGA-AA-3844-01A-01W-0995-10	12	5	0	11	100
TCGA-AA-3845-01A-01D-1981-10	540	282	34	39	73
TCGA-AA-3845-01A-01W-0995-10	502	199	35	57	93
TCGA-AA-3846-01A-01W-0995-10	4	25	3	10	55
TCGA-AA-3848-01A-01W-0900-09	4	60	0	13	81
TCGA-AA-3851-01A-01W-0995-10	0	41	0	12	39
TCGA-AA-3855-01A-01W-0995-10	6	55	8	0	76
TCGA-AA-3856-01A-01W-0900-09	0	23	0	11	28
TCGA-AA-3858-01A-01W-0900-09	0	30	0	8	24
TCGA-AA-3860-01A-02W-0900-09	0	7	0	6	40
TCGA-AA-3861-01A-01W-0995-10	0	61	8	4	48
TCGA-AA-3862-01A-01W-0995-10	18	20	8	0	50
TCGA-AA-3864-01A-01D-1981-10	1317	1541	21	0	0
TCGA-AA-3866-01A-01W-0995-10	6	52	0	13	51
TCGA-AA-3867-01A-01W-0995-10	0	30	5	3	60
TCGA-AA-3869-01A-01W-0995-10	4	23	0	23	29
TCGA-AA-3870-01A-01W-0995-10	16	52	6	5	47
TCGA-AA-3875-01A-01W-0900-09	0	44	2	22	61
TCGA-AA-3930-01A-01W-0995-10	21	12	4	32	138
TCGA-AA-3939-01A-01W-0995-10	0	34	0	20	65
TCGA-AA-3941-01A-01W-0995-10	5	46	2	12	46
TCGA-AA-3952-01A-01W-0995-10	5	20	5	1	61
TCGA-AA-3955-01A-02W-0995-10	3	15	7	0	108
TCGA-AA-3956-01A-02W-0995-10	4	36	1	19	72
TCGA-AA-3967-01A-01W-1073-09	14	41	7	0	94
TCGA-AA-3968-01A-01W-0995-10	0	40	9	8	70
TCGA-AA-3971-01A-01W-0995-10	0	16	0	11	61
TCGA-AA-3972-01A-01W-0995-10	0	23	1	15	55
TCGA-AA-3977-01A-01D-1981-10	0	173	3335	1136	0
TCGA-AA-3977-01A-01W-0995-10	0	136	2765	1004	0
TCGA-AA-3979-01A-01W-0995-10	26	34	6	13	71
TCGA-AA-3980-01A-02W-0995-10	2	35	5	14	47
TCGA-AA-3982-01A-02W-0995-10	8	36	3	23	55
TCGA-AA-3984-01A-02D-1981-10	0	92	2286	3274	0
TCGA-AA-3984-01A-02W-0995-10	0	61	2069	2784	0
TCGA-AA-3986-01A-02W-0995-10	0	45	10	0	37
TCGA-AA-3989-01A-01W-0995-10	28	43	6	1	37
TCGA-AA-A004-01A-01W-A00E-09	12	26	0	0	31
TCGA-AA-A00O-01A-02W-A00E-09	12	18	3	4	50
TCGA-AA-A00Z-01A-01D-A17O-10	2	4	0	0	5
TCGA-AA-A010-01A-01D-A17O-10	944	515	5310	2044	0
TCGA-AA-A010-01A-01W-A00E-09	592	416	5145	1742	0
TCGA-AA-A017-01A-01W-A00E-09	0	17	0	4	30
TCGA-AA-A01C-01A-01W-A00E-09	0	19	6	0	52
TCGA-AA-A01I-01A-02W-A00E-09	11	43	10	3	44
TCGA-AA-A01K-01A-01W-A00E-09	25	6	7	0	101
