Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-4N-A93T-01A-11D-A36X-10	2	27	6	9	19	37
TCGA-5M-AAT4-01A-11D-A40P-10	35	56	15	1	0	73
TCGA-5M-AAT5-01A-21D-A40P-10	7	35	6	0	0	27
TCGA-5M-AAT6-01A-11D-A40P-10	605	582	0	35	677	0
TCGA-5M-AATA-01A-31D-A40P-10	13	42	2	8	0	16
TCGA-5M-AATE-01A-11D-A40P-10	13	56	7	4	2	60
TCGA-A6-2671-01A-01D-1408-10	18	33	4	5	0	26
TCGA-A6-2672-01B-03D-2298-08	357	102	0	56	640	0
TCGA-A6-2675-01A-02D-1719-10	13	56	1	0	3	28
TCGA-A6-2677-01A-01D-A270-10	0	62	3	21	17	40
TCGA-A6-2677-01B-02D-A270-10	2	52	2	24	13	39
TCGA-A6-2678-01A-01D-1953-10	1	7	2	7	0	8
TCGA-A6-2679-01A-02D-1408-10	39	52	0	18	0	49
TCGA-A6-2681-01A-01D-1408-10	0	66	4	2	39	44
TCGA-A6-2682-01A-01D-1408-10	0	13	0	19	16	32
TCGA-A6-2683-01A-01D-1953-10	0	17	0	0	12	9
TCGA-A6-2684-01A-01D-A270-10	6	45	0	10	2	54
TCGA-A6-2684-01C-08D-A270-10	8	44	0	11	0	42
TCGA-A6-2685-01A-01D-1408-10	0	17	2	2	8	24
TCGA-A6-2686-01A-01D-1408-10	982	557	6	55	328	97
TCGA-A6-3807-01A-01W-0995-10	0	9	0	22	0	73
TCGA-A6-3808-01A-01W-0995-10	36	42	3	11	0	50
TCGA-A6-3810-01A-01D-A270-10	0	46	0	13	28	83
TCGA-A6-4105-01A-02D-1771-10	41	59	2	0	0	72
TCGA-A6-4107-01A-02D-1408-10	8	73	10	0	35	69
TCGA-A6-5656-01A-21D-1835-10	0	63	0	13	2	26
TCGA-A6-5656-01A-21D-A270-10	0	71	0	14	7	18
TCGA-A6-5657-01A-01D-1650-10	0	42	2	15	3	63
TCGA-A6-5659-01A-01D-1650-10	0	63	10	22	41	63
TCGA-A6-5659-01A-01D-A270-10	0	73	12	21	42	64
TCGA-A6-5659-01B-04D-A270-10	0	44	8	30	34	69
TCGA-A6-5660-01A-01D-1650-10	3	63	3	9	14	36
TCGA-A6-5661-01A-01D-1650-10	612	413	23	14	82	52
TCGA-A6-5662-01A-01D-1650-10	5	16	0	11	0	28
TCGA-A6-5664-01A-21D-1835-10	0	19	6	0	16	10
TCGA-A6-5665-01A-01D-1650-10	701	309	0	60	598	0
TCGA-A6-5666-01A-01D-1650-10	0	46	11	4	12	19
TCGA-A6-5667-01A-21D-1719-10	0	15	0	7	11	35
TCGA-A6-6138-01A-11D-1771-10	4	35	1	7	16	53
TCGA-A6-6142-01A-11D-1771-10	0	25	0	2	17	36
TCGA-A6-6649-01A-11D-1771-10	15	44	4	4	4	45
TCGA-A6-6651-01A-21D-1835-10	10	22	0	0	3	52
TCGA-A6-6652-01A-11D-1771-10	7	19	0	1	21	37
TCGA-A6-6653-01A-11D-1771-10	297	420	0	4	324	26
TCGA-A6-6654-01A-21D-1835-10	0	155	6	0	0	39
TCGA-A6-6782-01A-11D-1835-10	13	25	14	14	0	83
TCGA-A6-A567-01A-31D-A28G-10	0	20	5	7	13	18
TCGA-A6-A56B-01A-31D-A28G-10	1	57	2	9	0	28
TCGA-A6-A5ZU-01A-11D-A28G-10	24	40	3	10	0	26
TCGA-AA-3489-01A-21D-1835-10	0	18	12	8	6	55
TCGA-AA-3492-01A-01D-1408-10	1087	476	0	97	384	0
