Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-4N-A93T-01A-11D-A36X-10	2	26	8	5	15	32	12
TCGA-5M-AAT4-01A-11D-A40P-10	20	32	7	11	0	0	110
TCGA-5M-AAT5-01A-21D-A40P-10	9	31	0	6	0	13	16
TCGA-5M-AAT6-01A-11D-A40P-10	609	646	0	0	644	0	0
TCGA-5M-AATA-01A-31D-A40P-10	14	37	9	1	0	2	18
TCGA-5M-AATE-01A-11D-A40P-10	12	46	6	6	0	23	49
TCGA-A6-2671-01A-01D-1408-10	17	27	6	4	0	7	25
TCGA-A6-2672-01B-03D-2298-08	352	168	0	0	566	56	13
TCGA-A6-2675-01A-02D-1719-10	12	48	0	1	3	3	34
TCGA-A6-2677-01A-01D-A270-10	5	62	20	1	12	40	3
TCGA-A6-2677-01B-02D-A270-10	7	49	24	1	10	38	3
TCGA-A6-2678-01A-01D-1953-10	2	7	7	1	0	8	0
TCGA-A6-2679-01A-02D-1408-10	38	43	19	0	0	20	38
TCGA-A6-2681-01A-01D-1408-10	0	64	0	2	29	33	27
TCGA-A6-2682-01A-01D-1408-10	0	16	19	0	10	35	0
TCGA-A6-2683-01A-01D-1953-10	0	18	0	0	7	13	0
TCGA-A6-2684-01A-01D-A270-10	9	41	10	0	0	37	20
TCGA-A6-2684-01C-08D-A270-10	12	41	11	0	0	32	9
TCGA-A6-2685-01A-01D-1408-10	0	16	2	2	3	19	11
TCGA-A6-2686-01A-01D-1408-10	992	528	29	0	301	175	0
TCGA-A6-3807-01A-01W-0995-10	0	6	22	0	0	50	26
TCGA-A6-3808-01A-01W-0995-10	37	35	12	3	0	26	29
TCGA-A6-3810-01A-01D-A270-10	0	41	11	0	19	47	52
TCGA-A6-4105-01A-02D-1771-10	39	50	0	2	0	36	47
TCGA-A6-4107-01A-02D-1408-10	16	73	0	9	18	68	11
TCGA-A6-5656-01A-21D-1835-10	4	59	14	0	1	21	5
TCGA-A6-5656-01A-21D-A270-10	2	67	14	0	5	12	10
TCGA-A6-5657-01A-01D-1650-10	0	41	15	1	1	61	6
TCGA-A6-5659-01A-01D-1650-10	0	66	21	8	24	80	0
TCGA-A6-5659-01A-01D-A270-10	0	77	20	10	25	80	0
TCGA-A6-5659-01B-04D-A270-10	2	47	29	6	19	82	0
TCGA-A6-5660-01A-01D-1650-10	3	53	10	2	10	18	32
TCGA-A6-5661-01A-01D-1650-10	616	380	11	16	109	64	0
TCGA-A6-5662-01A-01D-1650-10	5	13	11	0	0	17	14
TCGA-A6-5664-01A-21D-1835-10	0	20	0	6	8	9	8
TCGA-A6-5665-01A-01D-1650-10	678	359	0	0	588	0	43
TCGA-A6-5666-01A-01D-1650-10	0	47	4	10	10	20	1
TCGA-A6-5667-01A-21D-1719-10	0	16	5	0	6	41	0
TCGA-A6-6138-01A-11D-1771-10	8	34	6	1	11	45	11
TCGA-A6-6142-01A-11D-1771-10	0	29	0	0	7	44	0
TCGA-A6-6649-01A-11D-1771-10	18	43	4	3	6	39	3
TCGA-A6-6651-01A-21D-1835-10	10	17	0	0	0	29	31
TCGA-A6-6652-01A-11D-1771-10	8	18	0	0	14	34	11
TCGA-A6-6653-01A-11D-1771-10	308	410	0	0	236	117	0
TCGA-A6-6654-01A-21D-1835-10	0	155	0	6	0	28	11
TCGA-A6-6782-01A-11D-1835-10	11	18	16	12	0	45	47
TCGA-A6-A567-01A-31D-A28G-10	0	22	6	5	8	22	0
TCGA-A6-A56B-01A-31D-A28G-10	3	50	10	1	0	15	18
TCGA-A6-A5ZU-01A-11D-A28G-10	22	33	12	2	0	4	30
TCGA-AA-3489-01A-21D-1835-10	2	17	7	11	4	51	7
TCGA-AA-3492-01A-01D-1408-10	1027	443	64	0	378	0	132
TCGA-AA-3494-01A-01D-1408-10	0	34	0	3	2	9	43
TCGA-AA-3495-01A-01D-1408-10	10	52	3	8	0	32	19
TCGA-AA-3496-01A-21D-1835-10	8	43	8	5	0	15	18
TCGA-AA-3502-01A-01D-1408-10	11	100	37	1	0	42	9
TCGA-AA-3506-01A-01D-2188-10	0	96	14	2	12	45	0
TCGA-AA-3509-01A-01D-1408-10	0	46	6	0	0	23	18
TCGA-AA-3511-01A-21D-1835-10	0	17	18	3	8	29	39
TCGA-AA-3514-01A-02D-1953-10	0	26	0	2	0	3	0
TCGA-AA-3517-01A-01D-1953-10	0	6	0	0	0	6	3
TCGA-AA-3519-01A-02D-1953-10	7	5	11	0	0	3	0
TCGA-AA-3520-01A-01D-1953-10	2	14	0	1	5	0	6
TCGA-AA-3521-01A-01D-1953-10	0	8	0	3	0	0	4
TCGA-AA-3522-01A-01W-0831-10	0	7	3	1	5	9	0
TCGA-AA-3524-01A-02D-1953-10	1	3	1	0	1	7	0
TCGA-AA-3529-01A-02D-1953-10	1	13	0	0	0	7	0
TCGA-AA-3530-01A-01W-0995-10	1	43	0	3	8	25	16
TCGA-AA-3532-01A-01D-1953-10	0	2	2	0	8	1	5
TCGA-AA-3534-01A-01D-1953-10	1	18	0	0	2	5	5
TCGA-AA-3538-01A-01D-1953-10	3	4	0	0	0	6	3
TCGA-AA-3544-01A-01D-1953-10	8	8	6	0	0	3	0
TCGA-AA-3548-01A-01D-1953-10	0	16	2	0	2	3	0
TCGA-AA-3549-01A-02D-1953-10	3	7	2	0	6	0	0
TCGA-AA-3561-01A-01D-1953-10	2	10	0	0	0	5	0
TCGA-AA-3655-01A-02D-1719-10	29	30	5	0	0	14	9
TCGA-AA-3660-01A-01D-1719-10	27	35	19	2	0	40	0
TCGA-AA-3662-01A-01D-1719-10	0	32	0	6	5	40	0
TCGA-AA-3663-01A-01D-1719-10	943	0	0	0	842	52	48
TCGA-AA-3664-01A-01W-0900-09	0	68	7	0	22	62	0
TCGA-AA-3666-01A-02W-0900-09	13	5	9	6	19	0	135
TCGA-AA-3667-01A-01W-0900-09	21	10	4	0	0	5	27
TCGA-AA-3672-01A-01W-0900-09	973	222	40	0	277	0	154
TCGA-AA-3673-01A-01W-0900-09	1	31	0	3	6	4	28
TCGA-AA-3675-01A-02W-0900-09	1	51	3	3	0	34	8
TCGA-AA-3678-01A-01W-0900-09	0	32	10	1	3	9	16
TCGA-AA-3679-01A-02W-0900-09	3	26	0	0	0	16	29
TCGA-AA-3680-01A-01W-0900-09	0	51	24	3	7	24	0
TCGA-AA-3681-01A-01W-0900-09	0	54	4	1	14	17	36
TCGA-AA-3685-01A-02W-0900-09	0	30	5	3	3	28	18
TCGA-AA-3688-01A-01W-0900-09	0	19	1	8	11	31	5
TCGA-AA-3693-01A-01W-0900-09	2	20	0	0	7	65	66
TCGA-AA-3696-01A-01W-0900-09	13	32	0	10	1	30	5
TCGA-AA-3697-01A-01D-1719-10	5	23	14	5	3	37	117
TCGA-AA-3712-01A-21D-1719-10	0	0	10	15	0	60	74
TCGA-AA-3713-01A-21D-1719-10	541	251	22	8	6	0	111
TCGA-AA-3812-01A-01W-0900-09	0	32	17	0	21	31	17
TCGA-AA-3814-01A-01W-0900-09	7	44	0	9	8	29	10
TCGA-AA-3815-01A-01W-0995-10	198	183	0	0	449	48	0
TCGA-AA-3818-01A-01W-0900-09	10	35	11	13	3	34	46
TCGA-AA-3831-01A-01W-0900-09	8	30	20	4	1	6	36
TCGA-AA-3833-01A-01W-0900-09	308	170	0	0	99	31	0
TCGA-AA-3841-01A-01W-0900-09	0	27	0	4	0	11	33
TCGA-AA-3842-01A-01W-0995-10	0	28	6	0	14	53	0
TCGA-AA-3844-01A-01W-0995-10	0	7	2	0	21	58	40
TCGA-AA-3845-01A-01D-1981-10	385	243	0	0	286	49	5
TCGA-AA-3845-01A-01W-0995-10	337	174	3	0	310	62	0
TCGA-AA-3846-01A-01W-0995-10	3	21	8	1	1	25	38
TCGA-AA-3848-01A-01W-0900-09	6	60	7	0	11	61	13
TCGA-AA-3851-01A-01W-0995-10	0	41	4	0	20	22	5
TCGA-AA-3855-01A-01W-0995-10	2	49	0	6	8	31	49
TCGA-AA-3856-01A-01W-0900-09	1	22	9	0	0	19	11
TCGA-AA-3858-01A-01W-0900-09	0	32	6	0	3	21	0
TCGA-AA-3860-01A-02W-0900-09	0	9	0	0	13	31	0
TCGA-AA-3861-01A-01W-0995-10	3	61	3	6	8	40	0
TCGA-AA-3862-01A-01W-0995-10	5	11	0	6	3	0	71
TCGA-AA-3864-01A-01D-1981-10	1334	1420	47	4	74	0	0
TCGA-AA-3866-01A-01W-0995-10	10	48	11	0	0	34	19
TCGA-AA-3867-01A-01W-0995-10	0	28	1	4	4	29	32
TCGA-AA-3869-01A-01W-0995-10	6	23	17	0	5	28	0
TCGA-AA-3870-01A-01W-0995-10	17	48	5	4	7	37	8
TCGA-AA-3875-01A-01W-0900-09	7	44	18	0	0	55	5
TCGA-AA-3930-01A-01W-0995-10	20	10	26	2	0	91	58
TCGA-AA-3939-01A-01W-0995-10	1	38	15	0	0	53	12
TCGA-AA-3941-01A-01W-0995-10	5	40	11	1	4	21	29
TCGA-AA-3952-01A-01W-0995-10	2	21	0	3	8	47	11
TCGA-AA-3955-01A-02W-0995-10	0	6	0	5	5	21	96
TCGA-AA-3956-01A-02W-0995-10	0	33	11	0	20	32	36
TCGA-AA-3967-01A-01W-1073-09	15	40	0	6	0	68	27
TCGA-AA-3968-01A-01W-0995-10	0	35	7	6	9	27	43
TCGA-AA-3971-01A-01W-0995-10	0	15	6	0	5	35	27
TCGA-AA-3972-01A-01W-0995-10	0	24	9	0	11	50	0
TCGA-AA-3977-01A-01D-1981-10	308	93	1621	2622	0	0	0
TCGA-AA-3977-01A-01W-0995-10	142	118	1429	2216	0	0	0
TCGA-AA-3979-01A-01W-0995-10	12	19	13	3	2	0	101
TCGA-AA-3980-01A-02W-0995-10	2	31	13	3	3	23	28
TCGA-AA-3982-01A-02W-0995-10	5	24	22	0	0	4	70
TCGA-AA-3984-01A-02D-1981-10	34	102	3598	1812	0	106	0
TCGA-AA-3984-01A-02W-0995-10	4	74	3055	1642	0	133	6
TCGA-AA-3986-01A-02W-0995-10	4	46	0	10	0	25	7
TCGA-AA-3989-01A-01W-0995-10	23	39	0	4	12	24	13
TCGA-AA-A004-01A-01W-A00E-09	10	24	0	1	0	14	20
TCGA-AA-A00O-01A-02W-A00E-09	6	20	0	1	18	42	0
TCGA-AA-A00Z-01A-01D-A17O-10	0	4	0	0	3	2	2
TCGA-AA-A010-01A-01D-A17O-10	1421	302	2895	4195	0	0	0
TCGA-AA-A010-01A-01W-A00E-09	975	240	2521	4017	123	0	19
TCGA-AA-A017-01A-01W-A00E-09	0	18	3	0	0	22	8
TCGA-AA-A01C-01A-01W-A00E-09	0	19	0	5	4	28	21
TCGA-AA-A01I-01A-02W-A00E-09	13	39	5	8	0	29	17
TCGA-AA-A01K-01A-01W-A00E-09	9	5	0	3	15	50	57
TCGA-AA-A01P-01A-21D-A17O-10	344	238	14	0	199	17	28
TCGA-AA-A01P-01A-21W-A096-10	148	125	6	0	189	65	24
TCGA-AA-A01S-01A-21W-A096-10	10	23	0	4	0	16	10
TCGA-AA-A01T-01A-21W-A096-10	3	19	4	1	6	50	13
TCGA-AA-A01V-01A-23W-A096-10	15	36	17	5	0	16	35
TCGA-AA-A01X-01A-21W-A096-10	0	31	0	3	9	27	3
TCGA-AA-A01Z-01A-11W-A096-10	0	41	5	0	13	26	10
TCGA-AA-A022-01A-21D-A17O-10	655	544	51	0	173	0	55
TCGA-AA-A022-01A-21W-A096-10	529	420	48	0	193	0	71
TCGA-AA-A024-01A-02W-A00E-09	6	28	5	1	4	15	20
TCGA-AA-A029-01A-01W-A00E-09	0	29	6	7	5	38	0
TCGA-AA-A02E-01A-01W-A00E-09	0	17	3	2	28	51	61
TCGA-AA-A02H-01A-01W-A00E-09	9	18	11	6	0	29	0
TCGA-AA-A02J-01A-01W-A00E-09	3	8	27	6	2	33	48
TCGA-AA-A02K-01A-21W-A096-10	18	29	8	0	16	33	35
TCGA-AA-A02O-01A-21W-A096-10	0	72	6	0	17	54	16
TCGA-AA-A02R-01A-01W-A00E-09	404	150	0	0	374	81	55
TCGA-AA-A02W-01A-01W-A00E-09	14	32	1	2	2	17	27
TCGA-AA-A02Y-01A-43W-A096-10	0	31	22	6	3	39	11
TCGA-AA-A03J-01A-21W-A096-10	0	30	11	1	17	42	0
TCGA-AD-6548-01A-11D-1835-10	0	47	2	0	17	63	0
TCGA-AD-6888-01A-11D-1924-10	13	57	15	0	2	6	12
TCGA-AD-6889-01A-11D-1924-10	845	296	0	0	374	123	0
TCGA-AD-6890-01A-11D-1924-10	2	61	2	6	0	23	17
TCGA-AD-6895-01A-11D-1924-10	765	293	145	0	61	231	241
TCGA-AD-6901-01A-11D-1924-10	27	53	28	9	19	83	51
TCGA-AD-6963-01A-11D-1924-10	7	20	0	0	4	5	39
TCGA-AD-6964-01A-11D-1924-10	833	0	0	0	551	239	0
TCGA-AD-6965-01A-11D-1924-10	18	53	6	5	5	19	27
