Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-4N-A93T-01A-11D-A36X-10	2.44E+00	3.00E+00	1.71E+00	1.47E+00	1.37E+00	3.18E+00	1.97E+00
TCGA-5M-AAT4-01A-11D-A40P-10	2.12E+00	2.78E+00	1.33E+00	1.92E+00	1.80E+00	7.42E+00	3.94E+00
TCGA-5M-AAT5-01A-21D-A40P-10	1.69E+00	2.48E+00	5.17E-01	1.17E+00	5.00E-01	2.60E+00	2.08E+00
TCGA-5M-AAT6-01A-11D-A40P-10	8.56E+01	4.76E+01	1.91E+01	1.52E+00	9.82E+01	1.90E+00	1.13E+01
TCGA-5M-AATA-01A-31D-A40P-10	2.92E+00	2.46E+00	2.38E+00	6.53E-01	5.78E-01	2.89E+00	2.44E+00
TCGA-5M-AATE-01A-11D-A40P-10	4.90E+00	3.59E+00	1.85E+00	1.58E+00	4.33E-01	4.73E+00	4.92E+00
TCGA-A6-2671-01A-01D-1408-10	3.12E+00	3.12E+00	1.77E+00	8.83E-01	7.00E-01	4.43E+00	4.18E+00
TCGA-A6-2672-01B-03D-2298-08	6.22E+01	1.06E+01	1.29E+01	2.00E+00	7.64E+01	1.50E+00	6.30E+00
TCGA-A6-2675-01A-02D-1719-10	2.42E+00	2.38E+00	8.94E-01	5.93E-01	2.17E+00	3.52E+00	2.09E+00
TCGA-A6-2677-01A-01D-A270-10	1.51E+00	5.41E+00	2.32E+00	1.96E+00	2.91E+00	5.76E+00	3.71E+00
TCGA-A6-2677-01B-02D-A270-10	1.25E+00	2.65E+00	2.50E+00	1.56E+00	1.55E+00	4.09E+00	3.31E+00
TCGA-A6-2678-01A-01D-1953-10	7.22E-01	1.37E+00	7.45E-01	6.67E-01	0.00E+00	1.24E+00	1.35E+00
TCGA-A6-2679-01A-02D-1408-10	6.26E+00	4.22E+00	2.35E+00	4.47E-01	1.85E+00	4.63E+00	4.18E+00
TCGA-A6-2681-01A-01D-1408-10	2.26E+00	3.88E+00	2.59E+00	1.27E+00	3.72E+00	5.03E+00	4.82E+00
TCGA-A6-2682-01A-01D-1408-10	1.56E+00	2.83E+00	2.67E+00	3.00E-01	1.29E+00	2.98E+00	2.35E+00
TCGA-A6-2683-01A-01D-1953-10	1.35E+00	1.20E+00	7.64E-01	0.00E+00	1.04E+00	1.20E+00	1.33E+00
TCGA-A6-2684-01A-01D-A270-10	1.16E+00	3.88E+00	1.26E+00	0.00E+00	1.22E+00	4.57E+00	4.24E+00
TCGA-A6-2684-01C-08D-A270-10	2.15E+00	2.90E+00	4.01E-01	0.00E+00	1.19E+00	3.93E+00	2.27E+00
TCGA-A6-2685-01A-01D-1408-10	9.29E-01	2.37E+00	1.58E+00	7.37E-01	6.00E-01	3.93E+00	3.66E+00
TCGA-A6-2686-01A-01D-1408-10	4.77E+01	6.64E+01	8.83E+00	3.68E+00	3.42E+01	1.31E+01	5.33E+00
TCGA-A6-3807-01A-01W-0995-10	4.01E-01	3.33E+00	1.69E+00	3.42E-01	8.00E-01	6.92E+00	7.59E+00
