Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-4N-A93T-01A-11D-A36X-10	0	24	0	7	14	23	13	19
TCGA-5M-AAT4-01A-11D-A40P-10	30	28	15	6	0	0	0	101
TCGA-5M-AAT5-01A-21D-A40P-10	10	30	6	0	0	0	15	14
TCGA-5M-AAT6-01A-11D-A40P-10	619	579	0	87	614	0	0	0
TCGA-5M-AATA-01A-31D-A40P-10	16	34	2	9	0	1	8	11
TCGA-5M-AATE-01A-11D-A40P-10	14	46	6	4	2	6	27	37
TCGA-A6-2671-01A-01D-1408-10	19	25	5	5	0	0	6	26
TCGA-A6-2672-01B-03D-2298-08	353	148	18	76	521	0	19	20
TCGA-A6-2675-01A-02D-1719-10	15	46	1	2	2	0	8	27
TCGA-A6-2677-01A-01D-A270-10	4	61	4	19	12	6	29	8
TCGA-A6-2677-01B-02D-A270-10	3	49	0	23	9	14	26	8
TCGA-A6-2678-01A-01D-1953-10	2	7	2	6	0	0	6	2
TCGA-A6-2679-01A-02D-1408-10	37	40	0	20	0	4	19	38
TCGA-A6-2681-01A-01D-1408-10	0	64	3	2	25	11	21	29
TCGA-A6-2682-01A-01D-1408-10	0	17	0	19	12	3	25	4
TCGA-A6-2683-01A-01D-1953-10	0	20	0	0	8	0	8	2
TCGA-A6-2684-01A-01D-A270-10	9	41	0	11	2	0	35	19
TCGA-A6-2684-01C-08D-A270-10	12	41	0	12	0	0	32	8
TCGA-A6-2685-01A-01D-1408-10	0	16	3	3	4	0	11	16
TCGA-A6-2686-01A-01D-1408-10	952	485	37	76	327	0	148	0
TCGA-A6-3807-01A-01W-0995-10	0	11	3	19	1	0	52	18
TCGA-A6-3808-01A-01W-0995-10	35	36	3	11	3	4	29	21
TCGA-A6-3810-01A-01D-A270-10	0	43	0	12	20	7	42	46
TCGA-A6-4105-01A-02D-1771-10	39	48	0	0	1	13	31	42
TCGA-A6-4107-01A-02D-1408-10	15	73	14	0	23	0	44	26
TCGA-A6-5656-01A-21D-1835-10	4	58	0	14	3	4	13	8
TCGA-A6-5656-01A-21D-A270-10	3	63	0	16	6	4	3	15
TCGA-A6-5657-01A-01D-1650-10	0	42	0	13	3	16	35	16
TCGA-A6-5659-01A-01D-1650-10	0	73	13	19	25	10	59	0
TCGA-A6-5659-01A-01D-A270-10	0	84	15	18	25	9	61	0
TCGA-A6-5659-01B-04D-A270-10	0	50	6	27	21	21	55	5
TCGA-A6-5660-01A-01D-1650-10	6	51	2	11	7	7	10	34
TCGA-A6-5661-01A-01D-1650-10	575	338	0	31	128	83	41	0
TCGA-A6-5662-01A-01D-1650-10	5	13	0	11	0	1	14	16
TCGA-A6-5664-01A-21D-1835-10	0	19	8	0	11	0	1	12
TCGA-A6-5665-01A-01D-1650-10	670	309	7	89	540	42	0	11
TCGA-A6-5666-01A-01D-1650-10	0	43	7	3	9	17	2	11
TCGA-A6-5667-01A-21D-1719-10	0	20	1	5	9	0	33	0
TCGA-A6-6138-01A-11D-1771-10	6	38	3	5	12	1	44	7
TCGA-A6-6142-01A-11D-1771-10	0	31	3	0	11	0	31	4
TCGA-A6-6649-01A-11D-1771-10	15	44	0	3	6	12	33	3
TCGA-A6-6651-01A-21D-1835-10	9	18	0	0	5	1	23	31
TCGA-A6-6652-01A-11D-1771-10	6	20	0	1	15	7	19	17
TCGA-A6-6653-01A-11D-1771-10	313	403	5	20	243	27	60	0
TCGA-A6-6654-01A-21D-1835-10	0	152	0	0	0	19	20	9
TCGA-A6-6782-01A-11D-1835-10	10	19	12	12	0	13	36	47
TCGA-A6-A567-01A-31D-A28G-10	0	24	8	5	9	0	14	3
TCGA-A6-A56B-01A-31D-A28G-10	5	47	3	10	0	0	7	25
TCGA-A6-A5ZU-01A-11D-A28G-10	22	31	0	11	0	11	7	21
TCGA-AA-3489-01A-21D-1835-10	0	15	0	4	5	35	30	10
