Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-4N-A93T-01A-11D-A36X-10	6	20	3	9	9	10	36	0	7
TCGA-5M-AAT4-01A-11D-A40P-10	8	21	13	6	3	2	4	123	0
TCGA-5M-AAT5-01A-21D-A40P-10	6	23	6	0	0	0	7	28	5
TCGA-5M-AAT6-01A-11D-A40P-10	575	593	0	79	586	0	0	66	0
TCGA-5M-AATA-01A-31D-A40P-10	12	36	0	6	0	5	0	9	13
TCGA-5M-AATE-01A-11D-A40P-10	8	45	1	1	3	16	10	24	34
TCGA-A6-2671-01A-01D-1408-10	14	21	5	6	0	0	10	28	2
TCGA-A6-2672-01B-03D-2298-08	343	151	5	81	448	23	104	0	0
TCGA-A6-2675-01A-02D-1719-10	9	42	0	0	5	4	0	29	12
TCGA-A6-2677-01A-01D-A270-10	7	51	5	20	7	0	29	11	13
TCGA-A6-2677-01B-02D-A270-10	7	38	1	24	5	7	27	10	13
TCGA-A6-2678-01A-01D-1953-10	3	4	2	7	0	0	7	2	0
TCGA-A6-2679-01A-02D-1408-10	28	27	1	21	0	0	24	57	0
TCGA-A6-2681-01A-01D-1408-10	4	53	6	4	18	0	37	25	8
TCGA-A6-2682-01A-01D-1408-10	0	13	0	19	6	1	26	0	15
TCGA-A6-2683-01A-01D-1953-10	2	15	0	1	4	0	16	0	0
TCGA-A6-2684-01A-01D-A270-10	4	29	0	11	0	0	19	39	15
TCGA-A6-2684-01C-08D-A270-10	7	31	0	11	0	0	12	27	17
TCGA-A6-2685-01A-01D-1408-10	1	11	2	4	0	0	25	10	0
TCGA-A6-2686-01A-01D-1408-10	914	451	32	93	285	0	248	0	2
TCGA-A6-3807-01A-01W-0995-10	0	13	2	15	0	0	17	2	55
TCGA-A6-3808-01A-01W-0995-10	28	35	0	8	3	10	8	18	32
TCGA-A6-3810-01A-01D-A270-10	0	50	0	5	17	9	22	6	61
TCGA-A6-4105-01A-02D-1771-10	30	35	0	3	2	5	32	55	12
TCGA-A6-4107-01A-02D-1408-10	24	56	13	1	12	0	65	10	14
TCGA-A6-5656-01A-21D-1835-10	5	51	0	14	2	0	14	10	8
TCGA-A6-5656-01A-21D-A270-10	4	58	0	15	5	0	11	13	4
TCGA-A6-5657-01A-01D-1650-10	0	33	0	16	0	8	51	0	17
TCGA-A6-5659-01A-01D-1650-10	8	49	12	29	8	0	91	2	0
TCGA-A6-5659-01A-01D-A270-10	11	58	14	27	8	0	89	2	3
TCGA-A6-5659-01B-04D-A270-10	14	28	10	34	5	0	88	2	4
TCGA-A6-5660-01A-01D-1650-10	7	45	3	11	5	4	26	23	4
TCGA-A6-5661-01A-01D-1650-10	540	331	0	30	128	77	77	0	13
TCGA-A6-5662-01A-01D-1650-10	6	10	0	11	0	0	15	9	9
TCGA-A6-5664-01A-21D-1835-10	0	19	8	0	8	0	14	0	2
TCGA-A6-5665-01A-01D-1650-10	609	329	22	87	504	7	0	110	0
TCGA-A6-5666-01A-01D-1650-10	0	39	7	4	7	12	23	0	0
TCGA-A6-5667-01A-21D-1719-10	0	13	0	7	2	0	30	0	16
TCGA-A6-6138-01A-11D-1771-10	6	35	0	3	7	7	18	0	40
TCGA-A6-6142-01A-11D-1771-10	1	23	1	1	2	0	35	0	17
TCGA-A6-6649-01A-11D-1771-10	14	41	0	1	4	10	12	0	34
TCGA-A6-6651-01A-21D-1835-10	6	12	0	0	4	0	21	30	14
TCGA-A6-6652-01A-11D-1771-10	12	13	0	2	8	2	38	0	10
TCGA-A6-6653-01A-11D-1771-10	310	347	0	30	185	29	170	0	0
TCGA-A6-6654-01A-21D-1835-10	2	146	0	0	0	13	7	1	31
TCGA-A6-6782-01A-11D-1835-10	8	9	14	14	0	0	37	49	18
TCGA-A6-A567-01A-31D-A28G-10	0	18	7	8	4	0	25	0	1
TCGA-A6-A56B-01A-31D-A28G-10	7	43	2	10	0	0	20	13	2
TCGA-A6-A5ZU-01A-11D-A28G-10	13	25	0	11	0	8	0	41	5
TCGA-AA-3489-01A-21D-1835-10	0	12	0	3	0	28	25	0	31
TCGA-AA-3492-01A-01D-1408-10	880	394	21	129	412	0	0	204	4
TCGA-AA-3494-01A-01D-1408-10	0	31	0	0	6	6	11	25	12
TCGA-AA-3495-01A-01D-1408-10	7	45	2	1	0	15	14	15	25
TCGA-AA-3496-01A-21D-1835-10	5	34	1	7	0	12	10	20	8
TCGA-AA-3502-01A-01D-1408-10	13	73	4	38	0	0	41	31	0
TCGA-AA-3506-01A-01D-2188-10	11	75	4	18	4	0	49	6	2
TCGA-AA-3509-01A-01D-1408-10	1	41	0	5	0	0	13	16	17
TCGA-AA-3511-01A-21D-1835-10	0	10	8	18	5	0	51	22	0
TCGA-AA-3514-01A-02D-1953-10	0	22	1	0	0	1	7	0	0
TCGA-AA-3517-01A-01D-1953-10	0	6	0	0	0	0	0	0	9
TCGA-AA-3519-01A-02D-1953-10	7	3	0	11	0	0	4	1	0
TCGA-AA-3520-01A-01D-1953-10	1	11	0	0	6	3	0	7	0
TCGA-AA-3521-01A-01D-1953-10	0	5	3	0	1	0	0	6	0
TCGA-AA-3522-01A-01W-0831-10	0	6	2	3	3	0	10	0	1
TCGA-AA-3524-01A-02D-1953-10	0	3	0	0	1	0	0	0	9
TCGA-AA-3529-01A-02D-1953-10	1	9	0	0	0	0	6	5	0
TCGA-AA-3530-01A-01W-0995-10	3	37	0	0	3	10	24	8	11
TCGA-AA-3532-01A-01D-1953-10	0	2	0	3	7	1	3	1	1
TCGA-AA-3534-01A-01D-1953-10	1	18	0	0	4	0	0	0	8
TCGA-AA-3538-01A-01D-1953-10	3	3	0	0	0	0	4	3	3
TCGA-AA-3544-01A-01D-1953-10	5	5	0	5	0	0	0	9	1
TCGA-AA-3548-01A-01D-1953-10	0	13	0	3	1	0	3	3	0
TCGA-AA-3549-01A-02D-1953-10	1	4	0	3	4	0	0	6	0
TCGA-AA-3561-01A-01D-1953-10	2	6	0	0	0	0	5	4	0
TCGA-AA-3655-01A-02D-1719-10	21	24	0	5	2	0	3	23	9
TCGA-AA-3660-01A-01D-1719-10	20	25	4	18	0	0	18	21	17
TCGA-AA-3662-01A-01D-1719-10	0	28	7	0	3	0	29	0	16
TCGA-AA-3663-01A-01D-1719-10	845	0	0	35	748	116	132	0	9
TCGA-AA-3664-01A-01W-0900-09	3	54	1	14	10	0	57	7	13
TCGA-AA-3666-01A-02W-0900-09	0	0	6	7	23	14	3	127	7
TCGA-AA-3667-01A-01W-0900-09	13	7	0	3	0	0	0	30	14
TCGA-AA-3672-01A-01W-0900-09	787	174	11	91	315	19	0	269	0
TCGA-AA-3673-01A-01W-0900-09	0	32	0	0	6	9	1	13	12
TCGA-AA-3675-01A-02W-0900-09	3	46	3	2	0	0	17	5	24
