Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,NO,N/A,61.57%,78.28%,138.66%,55.13%,101.71,0.6021,2.0976,0.175,0.49,0.79,0.405
2,1.0,1.0,NO,N/A,21.87%,69.46%,127.54%,43.62%,99.31,0.5193,2.0293,0.106,0.475,0.874,0.406
3,1.0,0.99,YES,3.90e-07,20.92%,60.47%,128.58%,36.58%,93.07,12.0803,1000.0,0.076,0.418,0.91,0.47
4*,0.85,0.74,YES,1.95e-01,18.53%,56.95%,130.3%,33.2%,78.63,0.4103,1.8804,0.07,0.365,0.914,0.517
5,0.82,0.44,YES,Most Stab Sigs,12.07%,55.4%,128.24%,32.27%,78.39,0.3996,1.9,0.066,0.351,0.919,0.518
6,0.71,-0.04,NO,N/A,8.72%,54.89%,125.52%,31.68%,77.62,0.3971,1.8618,0.063,0.342,0.922,0.524
7,0.62,0.08,NO,N/A,8.97%,53.83%,126.16%,30.99%,75.99,0.3862,1.853,0.061,0.346,0.925,0.596
8,0.59,-0.55,NO,N/A,10.73%,53.77%,122.97%,30.73%,74.33,0.3828,1.7655,0.06,0.328,0.926,0.605
9,0.56,-0.49,NO,N/A,8.36%,52.61%,121.83%,29.78%,73.42,0.3764,1.8552,0.056,0.32,0.931,0.575
10,0.46,-0.35,NO,N/A,7.63%,52.22%,124.02%,29.75%,73.64,0.377,1.9304,0.054,0.323,0.933,0.59
