Samples	SBS1	SBS5	SBS10a	SBS10b	SBS15	SBS20	SBS40a	SBS54
TCGA-4N-A93T-01A-11D-A36X-10	42	22	0	0	0	0	36	0
TCGA-5M-AAT4-01A-11D-A40P-10	53	78	0	0	49	0	0	0
TCGA-5M-AAT5-01A-21D-A40P-10	31	26	0	0	18	0	0	0
TCGA-5M-AAT6-01A-11D-A40P-10	665	262	0	0	643	0	0	329
TCGA-5M-AATA-01A-31D-A40P-10	38	19	0	0	24	0	0	0
TCGA-5M-AATE-01A-11D-A40P-10	66	20	0	0	0	0	56	0
TCGA-A6-2671-01A-01D-1408-10	30	28	0	0	28	0	0	0
TCGA-A6-2672-01B-03D-2298-08	272	258	0	0	242	181	0	202
TCGA-A6-2675-01A-02D-1719-10	48	27	0	0	26	0	0	0
TCGA-A6-2677-01A-01D-A270-10	69	55	0	19	0	0	0	0
TCGA-A6-2677-01B-02D-A270-10	52	38	0	21	21	0	0	0
TCGA-A6-2678-01A-01D-1953-10	10	8	0	7	0	0	0	0
TCGA-A6-2679-01A-02D-1408-10	50	58	0	0	50	0	0	0
TCGA-A6-2681-01A-01D-1408-10	80	75	0	0	0	0	0	0
TCGA-A6-2682-01A-01D-1408-10	26	38	0	16	0	0	0	0
TCGA-A6-2683-01A-01D-1953-10	21	17	0	0	0	0	0	0
TCGA-A6-2684-01A-01D-A270-10	50	67	0	0	0	0	0	0
TCGA-A6-2684-01C-08D-A270-10	49	56	0	0	0	0	0	0
TCGA-A6-2685-01A-01D-1408-10	22	5	0	0	0	0	26	0
TCGA-A6-2686-01A-01D-1408-10	546	447	0	0	704	328	0	0
TCGA-A6-3807-01A-01W-0995-10	22	0	0	15	0	0	67	0
TCGA-A6-3808-01A-01W-0995-10	42	60	0	0	40	0	0	0
TCGA-A6-3810-01A-01D-A270-10	68	36	0	0	0	0	66	0
TCGA-A6-4105-01A-02D-1771-10	56	67	0	0	51	0	0	0
TCGA-A6-4107-01A-02D-1408-10	86	40	0	0	0	0	69	0
TCGA-A6-5656-01A-21D-1835-10	57	14	0	12	21	0	0	0
TCGA-A6-5656-01A-21D-A270-10	77	33	0	0	0	0	0	0
TCGA-A6-5657-01A-01D-1650-10	55	0	0	15	0	0	55	0
TCGA-A6-5659-01A-01D-1650-10	83	87	0	29	0	0	0	0
TCGA-A6-5659-01A-01D-A270-10	91	92	0	29	0	0	0	0
TCGA-A6-5659-01B-04D-A270-10	66	88	0	31	0	0	0	0
TCGA-A6-5660-01A-01D-1650-10	69	59	0	0	0	0	0	0
TCGA-A6-5661-01A-01D-1650-10	369	184	0	0	430	213	0	0
TCGA-A6-5662-01A-01D-1650-10	23	4	0	0	0	0	33	0
TCGA-A6-5664-01A-21D-1835-10	27	19	5	0	0	0	0	0
TCGA-A6-5665-01A-01D-1650-10	415	374	0	0	658	0	0	221
TCGA-A6-5666-01A-01D-1650-10	60	14	7	11	0	0	0	0
TCGA-A6-5667-01A-21D-1719-10	25	11	0	0	0	0	32	0
TCGA-A6-6138-01A-11D-1771-10	47	25	0	0	0	0	44	0
TCGA-A6-6142-01A-11D-1771-10	30	50	0	0	0	0	0	0
TCGA-A6-6649-01A-11D-1771-10	53	22	0	0	0	0	41	0
TCGA-A6-6651-01A-21D-1835-10	31	23	0	0	0	0	33	0
