Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-4N-A93T-01A-11D-A36X-10	10	12	25	53
TCGA-5M-AAT4-01A-11D-A40P-10	37	14	52	77
TCGA-5M-AAT5-01A-21D-A40P-10	6	3	35	31
TCGA-5M-AAT6-01A-11D-A40P-10	1055	0	844	0
TCGA-5M-AATA-01A-31D-A40P-10	12	4	49	16
TCGA-5M-AATE-01A-11D-A40P-10	16	6	53	67
TCGA-A6-2671-01A-01D-1408-10	16	6	37	27
TCGA-A6-2672-01B-03D-2298-08	732	46	204	173
TCGA-A6-2675-01A-02D-1719-10	0	0	66	35
TCGA-A6-2677-01A-01D-A270-10	3	13	70	57
TCGA-A6-2677-01B-02D-A270-10	4	16	60	52
TCGA-A6-2678-01A-01D-1953-10	1	6	9	9
TCGA-A6-2679-01A-02D-1408-10	41	7	61	49
TCGA-A6-2681-01A-01D-1408-10	9	3	66	77
TCGA-A6-2682-01A-01D-1408-10	1	11	20	48
TCGA-A6-2683-01A-01D-1953-10	0	0	18	20
TCGA-A6-2684-01A-01D-A270-10	7	1	48	61
TCGA-A6-2684-01C-08D-A270-10	7	2	49	47
TCGA-A6-2685-01A-01D-1408-10	0	0	17	36
TCGA-A6-2686-01A-01D-1408-10	1233	19	659	114
TCGA-A6-3807-01A-01W-0995-10	0	13	9	82
TCGA-A6-3808-01A-01W-0995-10	41	8	45	48
TCGA-A6-3810-01A-01D-A270-10	12	5	45	108
TCGA-A6-4105-01A-02D-1771-10	43	0	56	75
TCGA-A6-4107-01A-02D-1408-10	23	7	66	99
TCGA-A6-5656-01A-21D-1835-10	0	0	71	33
TCGA-A6-5656-01A-21D-A270-10	0	0	82	28
TCGA-A6-5657-01A-01D-1650-10	0	8	39	78
TCGA-A6-5659-01A-01D-1650-10	0	24	68	107
TCGA-A6-5659-01A-01D-A270-10	0	25	78	109
TCGA-A6-5659-01B-04D-A270-10	6	27	49	103
TCGA-A6-5660-01A-01D-1650-10	6	6	64	52
TCGA-A6-5661-01A-01D-1650-10	705	11	464	16
TCGA-A6-5662-01A-01D-1650-10	6	4	19	31
TCGA-A6-5664-01A-21D-1835-10	1	6	19	25
TCGA-A6-5665-01A-01D-1650-10	1108	37	492	31
TCGA-A6-5666-01A-01D-1650-10	0	13	43	36
TCGA-A6-5667-01A-21D-1719-10	0	0	16	52
TCGA-A6-6138-01A-11D-1771-10	13	4	34	65
TCGA-A6-6142-01A-11D-1771-10	0	0	23	57
TCGA-A6-6649-01A-11D-1771-10	19	3	43	51
TCGA-A6-6651-01A-21D-1835-10	14	0	16	57
TCGA-A6-6652-01A-11D-1771-10	18	0	15	52
TCGA-A6-6653-01A-11D-1771-10	447	0	461	163
TCGA-A6-6654-01A-21D-1835-10	0	0	147	53
TCGA-A6-6782-01A-11D-1835-10	15	23	20	91
TCGA-A6-A567-01A-31D-A28G-10	0	10	20	33
TCGA-A6-A56B-01A-31D-A28G-10	0	0	61	36
TCGA-A6-A5ZU-01A-11D-A28G-10	18	8	52	25
TCGA-AA-3489-01A-21D-1835-10	4	17	12	66
TCGA-AA-3492-01A-01D-1408-10	1384	0	660	0
TCGA-AA-3494-01A-01D-1408-10	0	0	40	51
TCGA-AA-3495-01A-01D-1408-10	6	7	55	56
TCGA-AA-3496-01A-21D-1835-10	5	7	52	33
TCGA-AA-3502-01A-01D-1408-10	0	19	119	62
TCGA-AA-3506-01A-01D-2188-10	0	0	103	66
TCGA-AA-3509-01A-01D-1408-10	0	0	49	44
TCGA-AA-3511-01A-21D-1835-10	0	16	20	78
TCGA-AA-3514-01A-02D-1953-10	0	0	31	0
TCGA-AA-3517-01A-01D-1953-10	0	0	5	10
TCGA-AA-3519-01A-02D-1953-10	6	6	14	0
TCGA-AA-3520-01A-01D-1953-10	0	0	28	0
TCGA-AA-3521-01A-01D-1953-10	1	1	9	4
TCGA-AA-3522-01A-01W-0831-10	0	4	7	14
TCGA-AA-3524-01A-02D-1953-10	0	0	3	10
TCGA-AA-3529-01A-02D-1953-10	0	0	11	10
TCGA-AA-3530-01A-01W-0995-10	3	1	43	49
TCGA-AA-3532-01A-01D-1953-10	2	2	4	10
TCGA-AA-3534-01A-01D-1953-10	0	0	19	12
TCGA-AA-3538-01A-01D-1953-10	4	0	3	9
TCGA-AA-3544-01A-01D-1953-10	5	2	17	1
TCGA-AA-3548-01A-01D-1953-10	0	0	23	0
TCGA-AA-3549-01A-02D-1953-10	6	0	12	0
TCGA-AA-3561-01A-01D-1953-10	0	0	17	0
TCGA-AA-3655-01A-02D-1719-10	36	0	51	0
TCGA-AA-3660-01A-01D-1719-10	18	13	49	43
