"Hugo_Symbol","Frame_Shift_Del","Frame_Shift_Ins","In_Frame_Del","In_Frame_Ins","Missense_Mutation","Nonsense_Mutation","Nonstop_Mutation","Splice_Site","Translation_Start_Site","total","MutatedSamples","AlteredSamples"
"APC",90,43,0,0,32,223,0,12,0,400,250,250
"TP53",18,6,3,1,158,24,0,8,0,218,204,204
"TTN",28,9,3,0,394,38,0,0,0,472,160,160
"KRAS",0,0,0,0,149,0,0,0,0,149,147,147
"PIK3CA",0,0,3,0,111,2,0,0,0,116,99,99
"SYNE1",6,7,0,1,156,16,0,4,0,190,92,92
"MUC16",7,2,1,0,196,17,0,0,0,223,90,90
"FAT4",4,3,0,0,136,12,0,0,0,155,80,80
"DNAH5",10,2,0,0,89,6,1,3,0,111,72,72
"ZFHX4",10,4,1,0,81,4,0,0,0,100,72,72
"OBSCN",6,1,0,0,89,0,0,0,0,96,64,64
"RYR2",8,2,0,0,118,9,0,0,0,137,63,63
"CSMD1",0,1,0,0,100,10,0,0,0,111,60,60
"LRP1B",5,5,0,0,82,16,0,1,0,109,59,59
"CSMD3",11,1,0,0,64,8,0,1,0,85,58,58
"FBXW7",7,6,0,0,43,11,0,0,0,67,57,57
"PCLO",6,0,1,1,63,3,0,0,0,74,55,55
"USH2A",1,1,0,0,85,7,0,2,0,96,54,54
"RYR3",5,0,0,0,70,4,0,2,0,81,54,54
"ABCA13",4,3,0,0,67,14,0,0,0,88,53,53
"FAT3",2,5,0,0,76,3,0,0,0,86,53,53
"DMD",4,0,0,0,57,7,0,4,0,72,53,53
"DNAH11",3,5,0,0,69,10,0,0,0,87,52,52
"RYR1",4,2,0,0,54,2,0,0,0,62,50,50
"AMER1",7,4,0,0,13,29,0,0,0,53,50,50
"ADGRV1",10,2,0,0,62,5,0,0,0,79,49,49
"SOX9",12,17,4,0,16,5,0,2,0,56,49,49
"NEB",3,0,2,0,98,6,0,0,0,109,47,47
"RNF43",33,2,1,0,20,2,0,0,0,58,47,47
"DST",5,1,0,0,71,15,0,0,0,92,46,46
"HYDIN",2,3,0,0,51,3,0,1,0,60,46,46
"HMCN1",3,1,0,0,59,7,0,4,0,74,45,45
"SACS",8,2,0,0,53,8,0,0,0,71,45,45
"LRP2",3,0,0,0,58,8,0,0,0,69,45,45
"MDN1",5,3,0,0,49,6,0,2,0,65,44,44
"PCDH15",2,1,1,0,55,3,0,2,0,64,44,44
"SDK1",1,0,0,0,47,2,0,0,0,50,44,44
"SYNE2",7,3,2,0,45,6,0,2,0,65,43,43
"UNC13C",6,0,0,0,45,8,0,0,0,59,43,43
"CUBN",6,2,0,0,45,2,0,1,0,56,43,43
"CACNA1E",0,2,0,0,45,3,0,0,0,50,43,43
"DOCK3",25,0,0,0,22,0,0,0,0,47,43,43
"MUC5B",8,3,1,0,49,0,0,0,0,61,42,42
"SPTA1",0,1,0,0,58,0,0,0,0,59,42,42
"FLG",1,0,0,0,53,3,0,0,0,57,42,42
"ANK2",4,2,0,0,45,6,0,0,0,57,41,41
"CSMD2",2,0,0,0,49,4,0,2,0,57,41,41
"KMT2B",6,2,1,0,36,9,0,0,0,54,41,41
"PCDH17",1,1,0,0,51,1,0,0,0,54,41,41
"ARID1A",17,5,0,0,11,13,0,1,0,47,41,41
"TRPS1",3,1,0,0,41,1,0,0,0,46,41,41
"FRY",2,2,0,0,46,4,0,3,0,57,40,40
"XIRP2",5,1,0,0,56,5,0,0,0,67,39,39
"ATM",12,3,1,0,31,9,0,1,0,57,39,39
"NBEA",4,3,1,0,39,5,0,0,0,52,39,39
"HERC2",3,0,0,0,42,3,0,1,0,49,39,39
"ANK3",11,6,0,0,38,3,0,0,0,58,38,38
"NALCN",1,0,0,0,41,1,0,2,0,45,38,38
"BRAF",1,2,0,0,36,2,0,0,0,41,38,38
"APOB",6,2,0,0,50,3,0,1,0,62,37,37
"DNAH2",6,0,0,0,50,5,0,1,0,62,37,37
"SCN1A",1,2,0,0,35,10,0,2,0,50,37,37
"DSCAM",1,0,0,0,41,3,0,1,0,46,37,37
"KMT2C",9,2,0,0,30,4,0,1,0,46,37,37
"NRXN1",0,2,0,0,42,2,0,0,0,46,37,37
"TCF7L2",7,2,0,0,23,7,0,3,0,42,37,37
"COL12A1",4,2,0,0,51,2,0,3,0,62,36,36
"LRP1",7,0,0,0,47,2,0,1,0,57,36,36
"KMT2D",15,4,0,0,32,2,0,0,0,53,36,36
"PCDH9",3,1,0,0,43,3,0,0,0,50,36,36
"ROBO2",6,7,0,0,31,2,0,1,0,47,36,36
"KIAA1109",2,1,0,0,40,2,0,1,0,46,36,36
"LAMA1",5,0,0,0,38,2,0,1,0,46,36,36
"VPS13B",2,0,0,0,37,3,0,2,0,44,36,36
"CACNA1H",7,0,0,0,34,0,0,1,0,42,36,36
"TSHZ3",4,1,0,0,37,0,0,0,0,42,36,36
"GLI3",2,2,0,0,33,3,1,0,0,41,36,36
"TNC",2,1,0,0,32,4,0,1,0,40,36,36
"DNAH8",4,2,1,0,53,10,0,0,0,70,35,35
"FAT2",4,0,0,0,48,1,0,0,0,53,35,35
"FREM2",1,2,0,0,46,1,0,0,0,50,35,35
"CHD7",6,1,0,0,33,2,0,0,0,42,35,35
"SMAD4",5,2,0,0,30,4,0,1,0,42,35,35
"COL6A6",1,0,0,1,37,1,0,0,0,40,35,35
"DNAH10",5,1,0,0,59,3,0,0,0,68,34,34
"MACF1",2,0,0,0,53,5,0,0,0,60,34,34
"DNAH7",9,2,1,0,40,6,0,1,0,59,34,34
"COL6A3",1,0,0,0,46,3,0,1,0,51,34,34
"COL11A1",4,2,0,0,40,2,0,2,0,50,34,34
"AHNAK2",7,2,0,0,37,3,0,0,0,49,34,34
"DNAH17",5,0,0,0,42,2,0,0,0,49,34,34
"AKAP9",7,4,0,0,28,7,0,0,0,46,34,34
"PTPRT",5,0,0,0,31,4,0,0,0,40,34,34
"DSCAML1",6,0,0,0,33,0,0,0,0,39,34,34
"VCAN",1,1,0,0,52,3,0,2,0,59,33,33
"UNC79",9,1,0,0,41,3,0,1,0,55,33,33
"LAMA2",5,3,1,0,30,7,0,2,0,48,33,33
"COL5A1",9,1,0,0,26,2,0,4,0,42,33,33
"FCGBP",1,0,0,0,40,1,0,0,0,42,33,33
"SCN9A",0,2,0,0,34,5,0,0,0,41,33,33
"MXRA5",2,0,0,0,38,0,0,0,0,40,33,33
"PCDH10",4,1,0,0,33,1,0,0,0,39,33,33
"RIMS2",4,2,0,0,28,4,0,1,0,39,33,33
"ACVR2A",20,0,2,0,9,5,0,1,0,37,33,33
