"Hugo_Symbol","Frame_Shift_Del","Frame_Shift_Ins","In_Frame_Del","In_Frame_Ins","Missense_Mutation","Nonsense_Mutation","Nonstop_Mutation","Splice_Site","Translation_Start_Site","total","MutatedSamples","AlteredSamples"
"TP53",34,4,3,0,180,56,0,17,0,294,281,281
"TTN",14,3,0,0,529,22,0,1,0,569,232,232
"MUC16",8,5,0,0,334,29,0,0,0,376,224,224
"CSMD3",11,2,0,0,302,43,0,9,0,367,217,217
"RYR2",9,1,0,0,268,18,0,0,0,296,176,176
"LRP1B",5,2,0,0,256,19,0,8,0,290,174,174
"ZFHX4",6,2,0,0,204,18,0,0,1,231,168,168
"USH2A",5,0,0,0,224,14,0,9,0,252,157,157
"KRAS",0,0,0,0,133,1,0,0,0,134,129,129
"FLG",2,2,0,0,170,13,0,0,0,187,128,128
"XIRP2",8,1,0,0,146,9,0,1,0,165,127,127
"COL11A1",1,0,0,0,111,12,0,14,0,138,110,110
"SPTA1",7,2,0,0,116,15,0,4,0,144,108,108
"NAV3",8,0,0,0,121,3,0,5,0,137,107,107
"ZNF536",2,1,0,0,114,14,0,2,0,133,104,104
"FAT3",3,0,0,0,129,12,0,0,0,144,102,102
"ANK2",4,0,0,0,116,8,0,3,0,131,102,102
"APOB",1,0,0,0,119,5,0,0,0,125,100,100
"CSMD1",6,0,0,0,105,8,0,0,0,119,100,100
"MUC17",1,1,0,0,119,4,0,1,0,126,93,93
"ADAMTS12",3,2,0,0,92,14,0,2,0,113,91,91
"PAPPA2",3,0,0,0,115,10,0,0,0,128,90,90
"PCLO",6,0,0,0,99,5,0,0,0,110,89,89
"DNAH9",4,0,2,0,91,6,0,6,0,109,89,89
"PCDH15",3,0,0,0,109,8,0,2,0,122,88,88
"TNR",2,2,0,0,93,7,0,1,0,105,88,88
"ADGRG4",1,1,0,0,82,14,0,1,0,99,85,85
"RYR3",1,0,0,0,102,4,0,0,0,107,84,84
"HMCN1",3,9,0,0,78,8,0,7,0,105,84,84
"RYR1",0,1,0,0,92,7,0,4,0,104,84,84
"ERICH3",1,0,0,0,83,6,0,7,0,97,84,84
"CACNA1E",1,0,0,0,99,7,0,0,0,107,83,83
"FBN2",8,0,0,0,83,9,0,3,0,103,83,83
"PCDH11X",1,0,0,0,93,8,0,0,0,102,83,83
"KEAP1",8,0,0,0,70,3,0,3,0,84,83,83
"NPAP1",3,1,0,0,92,3,0,0,0,99,82,82
"CDH10",4,0,0,0,84,9,0,1,0,98,82,82
"EGFR",2,0,27,8,61,1,0,0,0,99,80,80
"PTPRD",3,0,0,0,84,6,0,3,0,96,78,78
"LRRC7",2,1,0,0,76,7,0,5,0,91,78,78
"SI",2,0,0,0,83,6,0,2,0,93,77,77
"NALCN",1,0,0,0,78,6,0,3,0,88,77,77
"FAT4",0,0,1,0,82,3,0,0,0,86,77,77
"RP1L1",1,1,0,0,90,4,0,0,0,96,76,76
"ABCA13",3,0,0,0,74,7,0,0,0,84,74,74
"ASPM",1,1,1,0,74,2,0,0,0,79,74,74
"RIMS2",1,0,0,0,72,8,0,1,0,82,73,73
"DMD",2,0,0,0,83,12,0,2,0,99,72,72
"MXRA5",1,0,0,0,83,6,0,0,0,90,72,72
"RELN",1,1,0,0,78,3,0,3,0,86,72,72
"CSMD2",4,0,0,0,74,5,0,1,0,84,72,72
"SYNE2",2,1,2,0,70,8,0,0,0,83,71,71
"ZNF804A",1,0,0,0,69,13,0,0,0,83,71,71
"AHNAK2",10,1,0,0,94,3,0,0,0,108,70,70
"ASTN1",4,0,0,0,81,6,0,2,0,93,70,70
"PKHD1L1",1,0,0,0,83,4,0,0,0,88,70,70
"FLG2",0,0,0,0,74,7,0,0,0,81,70,70
"VCAN",1,2,0,0,79,8,0,0,0,90,69,69
"NRXN1",2,2,0,0,74,3,0,0,0,81,69,69
"PXDNL",3,1,0,0,71,6,0,0,0,81,69,69
"OBSCN",2,0,0,0,65,9,0,0,0,76,69,69
"TNN",0,0,0,0,65,10,0,2,0,77,68,68
"CNTNAP2",1,1,0,0,70,4,0,2,0,78,66,66
"NLRP3",3,0,0,0,66,6,0,1,0,76,66,66
"DST",2,0,0,0,73,9,0,0,0,84,65,65
"ASXL3",1,0,0,0,68,8,1,0,0,78,65,65
"FAM135B",1,1,0,0,65,5,0,3,0,75,65,65
"PLPPR4",2,0,0,0,67,2,0,1,0,72,65,65
"CNTNAP5",0,1,0,0,76,3,0,0,0,80,64,64
"SYNE1",4,1,0,0,62,5,0,3,0,75,64,64
"SORCS1",1,0,0,0,64,7,0,2,0,74,64,64
"BRINP3",2,1,0,0,67,4,0,2,0,76,63,63
"MYH2",0,0,0,0,59,13,0,1,0,73,63,63
"AHNAK",5,1,0,0,51,9,0,0,0,66,63,63
"PEG3",3,1,0,0,58,4,0,0,0,66,63,63
"ZNF831",3,0,0,0,69,5,0,0,0,77,62,62
"LRP2",2,1,0,0,71,1,0,0,0,75,62,62
"DNAH5",1,1,0,0,59,4,0,9,0,74,62,62
"PKHD1",1,0,0,0,67,2,0,2,0,72,61,61
"EPHA5",3,0,0,0,59,4,0,3,0,69,61,61
"MYH1",3,0,0,0,53,10,0,1,0,67,61,61
"TENM1",2,0,0,0,61,5,0,3,0,71,60,60
"PCDH10",2,0,0,0,63,3,0,0,0,68,60,60
"TSHZ3",1,0,0,0,60,7,0,0,0,68,60,60
"ADGRB3",1,0,0,0,56,2,0,4,0,63,60,60
"FAM47C",5,1,0,0,68,3,0,0,0,77,59,59
"TG",2,2,0,0,58,9,0,2,0,73,59,59
"CTNNA2",2,2,0,0,58,4,0,3,0,69,59,59
"FMN2",2,0,1,0,59,6,0,0,0,68,59,59
"HERC2",3,0,0,0,62,2,0,1,0,68,59,59
"COL3A1",0,0,0,0,54,4,0,9,0,67,59,59
"LAMA2",3,0,0,0,59,3,0,2,0,67,59,59
"PRUNE2",1,0,0,0,67,2,0,0,0,70,58,58
"PTPRZ1",3,1,0,0,61,1,0,2,0,68,58,58
"SETBP1",6,0,0,0,55,4,0,0,0,65,58,58
"MYH8",5,1,1,0,51,4,0,2,0,64,58,58
"CPS1",3,1,0,0,54,1,2,0,0,61,58,58
"TLR4",1,0,0,0,51,7,0,1,0,60,58,58
"CDH12",1,0,0,0,58,6,0,0,0,65,57,57
"KIAA1109",1,0,0,0,52,7,0,2,0,62,57,57
"AFF2",3,0,0,0,55,8,0,1,0,67,56,56
"COL6A3",0,0,1,0,60,2,0,1,0,64,56,56
"NF1",12,1,0,0,27,13,0,11,0,64,56,56
"CTNND2",2,0,0,0,55,4,0,2,0,63,56,56
"NCKAP5",0,0,0,0,58,5,0,0,0,63,56,56
"MRC1",2,0,0,0,48,6,0,3,0,59,56,56
"LAMA1",3,1,1,0,54,3,0,4,0,66,55,55
"TAF1L",0,0,0,0,61,5,0,0,0,66,55,55
"HECW1",1,1,0,0,56,5,0,2,0,65,55,55
"HRNR",1,0,0,0,54,8,0,0,0,63,55,55
"PRDM9",0,0,0,0,49,7,0,4,0,60,55,55
"ROBO2",0,0,0,0,56,2,0,0,0,58,55,55
"UNC79",1,1,0,0,67,3,0,1,0,73,54,54
"COL22A1",3,0,0,0,52,3,0,7,0,65,54,54
