"Hugo_Symbol","LUAD","COAD","pval","or","ci.up","ci.low","adjPval"
"APC",28,250,2.50112645340543e-104,0.0208280835001247,0.0330128026179439,0.0127576762100594,2.72047524336908e-100
"PIK3CA",28,99,7.44711711145962e-22,0.137540732868221,0.217635398585057,0.0845985462049766,4.05011464106731e-18
"SOX9",6,49,2.921777756646e-15,0.0687540301823585,0.163318762021433,0.0237650884542028,1.05933922196795e-11
"FBXW7",11,57,5.02242186520502e-15,0.106405520445302,0.209116745819853,0.0494989503969986,1.36572206569587e-11
"RNF43",6,47,1.78999427998427e-14,0.0721637324236906,0.171872016319159,0.0249135517030081,3.89395355667779e-11
"CSMD3",217,58,2.87657430307069e-14,3.39123323371278,4.81552973966563,2.41419011906172,5.21474978241665e-11
"EGFR",80,4,3.96584274293028e-14,15.0063753947124,56.9997286085168,5.55347103242007,6.16235307355039e-11
"KEAP1",83,5,6.59400954079002e-14,12.5034261593844,39.9025815879196,5.06588975438993,8.96538022189664e-11
"KMT2B",7,41,1.63002467013541e-11,0.0986128753041782,0.225713872987034,0.0368693179893846,1.96997537078477e-08
"MBD6",3,31,1.70647295788778e-10,0.0573390239308247,0.186115440382938,0.0111403323998539,1.85613063629453e-07
"DOCK3",10,43,1.98542025657864e-10,0.134211981513112,0.276212132648061,0.0592214550722107,1.96321964825508e-07
"ADAMTS12",91,16,1.07305163126175e-08,4.22080988200001,7.8472167665844,2.40827602723047,9.72631882769501e-06
"KRAS",129,147,1.25511506905203e-08,0.428297710553681,0.579033137437934,0.316267031313467,1.05014512354454e-05
"BMPR2",6,31,2.33299565163885e-08,0.11527092514675,0.284660179752527,0.0388606490688703,1.81257097877684e-05
"STK11",49,3,3.09077413676935e-08,11.5027642800792,58.1648188959759,3.66336473422832,2.24122335237601e-05
"SYNE1",64,92,4.27140448726149e-08,0.374341159344022,0.540671264406788,0.257945790978898,2.90375416299645e-05
"TCF7L2",11,37,5.73105343651111e-08,0.175297627682019,0.357295411052462,0.0794443034722606,3.66686283699596e-05
"TEAD2",1,20,7.14115298078913e-08,0.0305583840384925,0.192884634640904,0.000738657469704753,4.31524005400241e-05
"MIDEAS",3,24,8.23000838382238e-08,0.0757092211143063,0.252309929557319,0.0144945432255093,4.71146322057032e-05
"SI",77,13,9.28934723536991e-08,4.29929402918539,8.58343750858268,2.3224835468136,5.03009197091428e-05
"SALL2",0,17,9.71149502520914e-08,0,0.150396018043643,0,5.03009197091428e-05
"ACVR2A",9,33,1.33764393634188e-07,0.162297202728785,0.352460357616708,0.0673825837551386,6.61343322526848e-05
"CAMTA2",2,21,2.08114872752043e-07,0.0581236529443201,0.240356602864671,0.00656985005753544,9.84202378662598e-05
"TGIF1",0,16,2.54815374055946e-07,0,0.16140363925097,0,0.000115484450983605
"LRP1B",174,59,3.06634048645619e-07,2.34391196514961,3.33612308798827,1.66266752570779,0.000133410341884736
"IQCA1",2,20,5.02626813733907e-07,0.0612174795069245,0.254705427491745,0.00689738677957604,0.000210271994345527
"AC011462.1",0,15,6.67336604616029e-07,0,0.174036751260024,0,0.000268837786978094
"CLUH",2,19,1.20667892853904e-06,0.0646368003265396,0.270764811378535,0.00725733193878205,0.00045258781743859
"HNRNPL",2,19,1.20667892853904e-06,0.0646368003265396,0.270764811378535,0.00725733193878205,0.00045258781743859
"RYR2",176,63,1.34035234465563e-06,2.20152897301331,3.11055961755014,1.57147594275674,0.000485967081760642
"FKBP15",0,14,1.74440571419388e-06,0,0.188726591319307,0,0.000561576740991613
"ZNF557",0,14,1.74440571419388e-06,0,0.188726591319307,0,0.000561576740991613
"MUC16",224,90,1.75306985080864e-06,2.04945110465803,2.7923693961047,1.51129996389614,0.000561576740991613
"AXIN2",5,24,1.75541134446215e-06,0.126614712366944,0.343118255437202,0.0373523485159585,0.000561576740991613
"ANKRD11",6,25,2.17179571029551e-06,0.145679333940195,0.368943205969606,0.0483458264446872,0.000674932055453837
"ACTN2",46,5,2.35121879987764e-06,6.40169392616435,20.8596349934624,2.5162994973018,0.000710394635729698
"USH2A",157,54,2.42996958611915e-06,2.24465350889461,3.23640787522815,1.57373338070142,0.000714345383465352
"XIRP2",127,39,2.55137388999835e-06,2.44803188137523,3.71305375513918,1.64193381834681,0.000730297205302949
"REG3A",35,2,2.88853242454261e-06,12.0115240540337,103.795242005585,3.0505093758285,0.000805604286711536
"TLR4",58,9,3.02298729173373e-06,4.54430519954936,10.5814095745549,2.19648715094562,0.000822025819304694
"PTPRS",9,29,3.57853484873546e-06,0.187040282702897,0.412396770211833,0.0768526788715795,0.000949359110968186
"NAV3",107,30,3.99976907160274e-06,2.63008649959796,4.19509380526743,1.69008814601822,0.00103584495694817
"GRIA1",8,27,4.1588670147629e-06,0.179372982507536,0.412146523240453,0.0695140272813658,0.00105199991905991
"MDN1",22,44,4.98160015462923e-06,0.294142494885921,0.512704847547708,0.164455858798078,0.00123147420186141
"DDX58",2,17,6.82029397379327e-06,0.072681518789139,0.309374445615077,0.00808354743635192,0.00163654550361475
"ADGRG4",85,21,6.92112652075742e-06,2.91895665045282,5.06539757526389,1.74977501721906,0.00163654550361475
"TCERG1",7,25,7.81441508182885e-06,0.170261550362503,0.410865696116259,0.0614595902724223,0.00180845516691601
"NPAP1",82,20,8.31091664809825e-06,2.94599623457142,5.18132315333256,1.74702478031262,0.00188328834127843
"CDKN2A",28,1,9.44390542412913e-06,19.0038168142487,778.042272737545,3.11109872447057,0.00209635427139291
"FLG2",70,15,1.11860954166357e-05,3.31626832280117,6.35256016164352,1.84011493690948,0.00239403870889121
"FLG",128,42,1.12251516184106e-05,2.27425512116909,3.41125775247907,1.5395938024429,0.00239403870889121
"WNT5A",0,12,1.18526643025894e-05,0,0.2266100094957,0,0.00243247980413708
"ZDHHC7",0,12,1.18526643025894e-05,0,0.2266100094957,0,0.00243247980413708
"AKAP12",9,27,1.2801822486707e-05,0.202159190363532,0.449871079428458,0.0825420737534303,0.00250750401055602
"PIK3R1",3,18,1.29098303384331e-05,0.102844473339817,0.356201495080964,0.019248842160064,0.00250750401055602
"SGSM1",3,18,1.29098303384331e-05,0.102844473339817,0.356201495080964,0.019248842160064,0.00250750401055602
"PTPRD",78,19,1.46512817627262e-05,2.9328264792448,5.236332626978,1.71774990152487,0.00279582441637146
"TNRC6B",7,24,1.54229774841938e-05,0.17790620658311,0.431748656586602,0.0639580296451465,0.00289234010509613
"PRR12",2,16,1.6041787088152e-05,0.0774575517213822,0.332824615358249,0.00857852076353436,0.00290456874319973
