Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-05-4244-01A-01D-1105-08	55	61	7	15	4	8	27	15	28	0
TCGA-05-4250-01A-01D-1105-08	106	56	40	54	44	24	0	21	29	6
TCGA-05-4382-01A-01D-1931-08	779	428	182	137	12	128	29	40	22	34
TCGA-05-4384-01A-01D-1753-08	40	19	11	11	0	0	24	8	20	3
TCGA-05-4389-01A-01D-1265-08	1	77	69	16	0	6	0	31	26	13
TCGA-05-4390-01A-02D-1753-08	196	174	0	75	54	17	22	18	3	12
TCGA-05-4395-01A-01D-1265-08	58	27	85	23	28	0	33	17	3	7
TCGA-05-4396-01A-21D-1855-08	57	23	15	55	0	32	34	19	9	6
TCGA-05-4397-01A-01D-1265-08	220	86	130	63	100	135	58	16	44	23
TCGA-05-4398-01A-01D-1265-08	239	98	76	47	0	86	95	28	37	34
TCGA-05-4402-01A-01D-1265-08	0	2	63	0	51	0	0	8	0	0
TCGA-05-4403-01A-01D-1265-08	0	11	5	48	0	12	20	31	9	1
TCGA-05-4405-01A-21D-1855-08	93	124	11	14	23	28	41	17	23	13
TCGA-05-4410-01A-21D-1855-08	347	282	114	108	35	65	124	22	27	5
TCGA-05-4415-01A-22D-1855-08	64	40	0	31	18	34	0	10	11	0
TCGA-05-4417-01A-22D-1855-08	37	137	0	38	4	69	0	12	15	4
TCGA-05-4418-01A-01D-1265-08	91	0	14	66	9	44	0	12	46	8
TCGA-05-4420-01A-01D-1265-08	95	63	16	14	16	60	0	8	23	5
TCGA-05-4422-01A-01D-1265-08	8	0	12	0	0	0	20	5	0	0
TCGA-05-4424-01A-22D-1855-08	379	30	62	5	119	49	20	19	12	17
TCGA-05-4425-01A-01D-1753-08	0	0	1	9	2	0	3	19	4	2
TCGA-05-4426-01A-01D-1265-08	3	0	6	0	0	14	7	13	0	2
TCGA-05-4427-01A-21D-1855-08	405	72	43	109	87	187	28	31	19	63
TCGA-05-4430-01A-02D-1265-08	131	22	8	0	57	21	0	12	12	10
TCGA-05-4432-01A-01D-1265-08	115	151	13	83	12	94	64	27	24	19
TCGA-05-4433-01A-22D-1855-08	0	1	0	4	4	0	0	26	3	0
TCGA-05-4434-01A-01D-1265-08	0	0	6	0	3	17	2	5	11	0
TCGA-05-5420-01A-01D-1625-08	24	0	3	8	10	0	25	12	6	0
TCGA-05-5423-01A-01D-1625-08	59	0	14	44	0	1	0	20	12	5
TCGA-05-5425-01A-02D-1625-08	44	251	13	162	30	29	13	17	26	2
TCGA-05-5428-01A-01D-1625-08	90	97	113	33	0	10	28	17	0	12
TCGA-05-5429-01A-01D-1625-08	2	2	5	0	1	0	0	19	0	5
TCGA-05-5715-01A-01D-1625-08	5	0	63	1	34	0	0	19	0	0
TCGA-17-Z000-01A-01W-0746-08	24	12	29	10	11	0	13	15	8	0
TCGA-17-Z001-01A-01W-0746-08	43	55	9	26	0	0	38	10	18	5
TCGA-17-Z002-01A-01W-0746-08	0	0	3	0	2	0	0	0	0	1
TCGA-17-Z003-01A-01W-0746-08	48	0	9	25	46	36	6	10	46	22
TCGA-17-Z004-01A-01W-0746-08	0	1	1	0	4	2	0	2	10	1
TCGA-17-Z007-01A-01W-0746-08	4	8	0	0	1	0	4	28	0	21
TCGA-17-Z009-01A-01W-0746-08	17	0	0	0	0	11	9	0	1	1
TCGA-17-Z011-01A-01W-0746-08	6	37	7	19	0	0	19	9	8	6
TCGA-17-Z013-01A-01W-0746-08	0	3	0	13	3	25	8	5	0	0
TCGA-17-Z015-01A-01W-0746-08	186	44	0	27	98	61	0	82	0	18
TCGA-17-Z017-01A-01W-0746-08	65	42	5	21	21	12	39	6	13	6
TCGA-17-Z018-01A-01W-0746-08	69	138	5	0	27	0	7	9	6	2
TCGA-17-Z019-01A-01W-0746-08	0	0	0	1	0	0	0	0	0	0
