Samples	SBS96A
TCGA-05-4244-01A-01D-1105-08	220
TCGA-05-4250-01A-01D-1105-08	380
TCGA-05-4382-01A-01D-1931-08	1791
TCGA-05-4384-01A-01D-1753-08	136
TCGA-05-4389-01A-01D-1265-08	239
TCGA-05-4390-01A-02D-1753-08	571
TCGA-05-4395-01A-01D-1265-08	281
TCGA-05-4396-01A-21D-1855-08	250
TCGA-05-4397-01A-01D-1265-08	875
TCGA-05-4398-01A-01D-1265-08	740
TCGA-05-4402-01A-01D-1265-08	124
TCGA-05-4403-01A-01D-1265-08	137
TCGA-05-4405-01A-21D-1855-08	387
TCGA-05-4410-01A-21D-1855-08	1129
TCGA-05-4415-01A-22D-1855-08	208
TCGA-05-4417-01A-22D-1855-08	316
TCGA-05-4418-01A-01D-1265-08	290
TCGA-05-4420-01A-01D-1265-08	300
TCGA-05-4422-01A-01D-1265-08	45
TCGA-05-4424-01A-22D-1855-08	712
TCGA-05-4425-01A-01D-1753-08	40
TCGA-05-4426-01A-01D-1265-08	45
TCGA-05-4427-01A-21D-1855-08	1044
TCGA-05-4430-01A-02D-1265-08	273
TCGA-05-4432-01A-01D-1265-08	602
TCGA-05-4433-01A-22D-1855-08	38
TCGA-05-4434-01A-01D-1265-08	44
TCGA-05-5420-01A-01D-1625-08	88
TCGA-05-5423-01A-01D-1625-08	155
TCGA-05-5425-01A-02D-1625-08	587
TCGA-05-5428-01A-01D-1625-08	400
TCGA-05-5429-01A-01D-1625-08	34
TCGA-05-5715-01A-01D-1625-08	122
TCGA-17-Z000-01A-01W-0746-08	122
TCGA-17-Z001-01A-01W-0746-08	204
TCGA-17-Z002-01A-01W-0746-08	6
TCGA-17-Z003-01A-01W-0746-08	248
TCGA-17-Z004-01A-01W-0746-08	21
TCGA-17-Z007-01A-01W-0746-08	66
TCGA-17-Z009-01A-01W-0746-08	39
TCGA-17-Z011-01A-01W-0746-08	111
TCGA-17-Z013-01A-01W-0746-08	57
TCGA-17-Z015-01A-01W-0746-08	516
TCGA-17-Z017-01A-01W-0746-08	230
TCGA-17-Z018-01A-01W-0746-08	263
TCGA-17-Z019-01A-01W-0746-08	1
TCGA-17-Z020-01A-01W-0746-08	122
TCGA-17-Z021-01A-01W-0746-08	133
TCGA-17-Z022-01A-01W-0746-08	1308
TCGA-17-Z023-01A-01W-0746-08	410
TCGA-17-Z025-01A-01W-0746-08	253
TCGA-17-Z026-01A-01W-0746-08	1020
TCGA-17-Z027-01A-01W-0746-08	97
TCGA-17-Z028-01A-01W-0746-08	490
TCGA-17-Z030-01A-01W-0746-08	569
TCGA-17-Z031-01A-01W-0746-08	2412
TCGA-17-Z032-01A-01W-0746-08	110
TCGA-17-Z033-01A-01W-0746-08	169
TCGA-17-Z036-01A-01W-0746-08	77
TCGA-17-Z037-01A-01W-0746-08	141
TCGA-17-Z041-01A-01W-0746-08	49
TCGA-17-Z042-01A-01W-0746-08	499
TCGA-17-Z043-01A-01W-0746-08	213
TCGA-17-Z044-01A-01W-0746-08	126
TCGA-17-Z045-01A-01W-0746-08	716
TCGA-17-Z047-01A-01W-0747-08	23
TCGA-17-Z048-01A-01W-0746-08	29
TCGA-17-Z049-01A-01W-0746-08	509
TCGA-17-Z050-01A-01W-0747-08	173
TCGA-17-Z051-01A-01W-0747-08	137
TCGA-17-Z052-01A-01W-0747-08	118
TCGA-17-Z053-01A-01W-0747-08	255
TCGA-17-Z054-01A-01W-0747-08	4
TCGA-17-Z055-01A-01W-0747-08	635
TCGA-17-Z056-01A-01W-0747-08	479
TCGA-17-Z057-01A-01W-0747-08	414
TCGA-17-Z058-01A-01W-0747-08	78
TCGA-17-Z059-01A-01W-0747-08	159
TCGA-17-Z061-01A-01W-0747-08	182
TCGA-17-Z062-01A-01W-0747-08	443
TCGA-35-4122-01A-01D-1105-08	330
TCGA-35-4123-01A-01D-1105-08	304
TCGA-35-5375-01A-01D-1625-08	440
TCGA-38-4625-01A-01D-1553-08	611
TCGA-38-4626-01A-01D-1553-08	218
TCGA-38-4627-01A-01D-1553-08	28
TCGA-38-4628-01A-01D-1265-08	126
TCGA-38-4629-01A-02D-1265-08	285
TCGA-38-4630-01A-01D-1265-08	125
TCGA-38-4631-01A-01D-1753-08	774
TCGA-38-4632-01A-01D-1753-08	526
TCGA-38-6178-01A-11D-1753-08	54
TCGA-38-7271-01A-11D-2036-08	54
TCGA-44-2655-01A-01D-1553-08	188
TCGA-44-2655-01A-01W-0928-08	195
TCGA-44-2656-01A-02D-0969-08	915
TCGA-44-2656-01A-02D-A271-08	833
TCGA-44-2656-01A-02W-0928-08	809
TCGA-44-2656-01A-12D-A27T-08	873
TCGA-44-2656-01A-41D-A27T-08	894
TCGA-44-2656-01B-06D-A271-08	757
TCGA-44-2657-01A-01D-1105-08	419
TCGA-44-2661-01A-01D-1105-08	43
TCGA-44-2662-01A-01D-0969-08	226
TCGA-44-2662-01A-01D-A271-08	217
TCGA-44-2662-01A-01W-0928-08	207
TCGA-44-2662-01B-02D-A271-08	190
TCGA-44-2665-01A-01D-1040-01	47
TCGA-44-2665-01A-01D-A271-08	48
TCGA-44-2665-01A-01W-0928-08	52
TCGA-44-2665-01B-06D-A271-08	52
TCGA-44-2666-01A-01D-1489-08	30
TCGA-44-2666-01A-01D-A271-08	27
TCGA-44-2666-01A-01W-0928-08	32
TCGA-44-2666-01A-21D-A27T-08	34
TCGA-44-2666-01A-41D-A27T-08	34
TCGA-44-2666-01B-02D-A271-08	25
TCGA-44-2668-01A-01D-0969-08	402
TCGA-44-2668-01A-01D-A271-08	363
TCGA-44-2668-01A-01W-0928-08	397
TCGA-44-2668-01B-02D-A271-08	236
TCGA-44-3396-01A-01D-1553-08	193
TCGA-44-3398-01A-01D-1105-08	191
TCGA-44-3917-01A-01D-A271-08	232
TCGA-44-3917-01B-02D-A271-08	239
TCGA-44-3918-01B-02D-A271-08	927
TCGA-44-3919-01A-02D-1105-08	33
TCGA-44-3919-01A-02D-1458-08	38
TCGA-44-4112-01A-01D-1105-08	430
TCGA-44-4112-01A-01D-1458-08	450
TCGA-44-4112-01A-22D-A27T-08	465
TCGA-44-4112-01A-31D-A27T-08	501
TCGA-44-4112-01B-06D-A271-08	349
TCGA-44-5643-01A-01D-1625-08	138
TCGA-44-5644-01A-21D-2036-08	996
TCGA-44-5645-01A-01D-1625-08	36
TCGA-44-5645-01A-01D-A271-08	36
TCGA-44-5645-01A-21D-A27T-08	40
TCGA-44-5645-01A-51D-A27T-08	38
TCGA-44-5645-01B-04D-A271-08	37
TCGA-44-6144-01A-11D-1753-08	236
TCGA-44-6145-01A-11D-1753-08	325
TCGA-44-6147-01A-11D-1753-08	187
TCGA-44-6147-01A-11D-A271-08	199
TCGA-44-6147-01A-21D-A27T-08	226
TCGA-44-6147-01A-31D-A27T-08	123
TCGA-44-6147-01B-06D-A271-08	151
TCGA-44-6774-01A-21D-1855-08	307
TCGA-44-6775-01A-11D-1855-08	60
TCGA-44-6775-01A-11D-A271-08	59
TCGA-44-6775-01A-21D-A27T-08	58
TCGA-44-6775-01A-31D-A27T-08	66
TCGA-44-6775-01C-02D-A271-08	55
TCGA-44-6776-01A-11D-1855-08	200
TCGA-44-6777-01A-11D-1855-08	372
TCGA-44-6778-01A-11D-1855-08	405
TCGA-44-6779-01A-11D-1855-08	101
TCGA-44-7659-01A-11D-2063-08	152
TCGA-44-7660-01A-11D-2063-08	361
TCGA-44-7661-01A-11D-2063-08	261
TCGA-44-7662-01A-11D-2063-08	584
TCGA-44-7667-01A-31D-2063-08	484
TCGA-44-7670-01A-11D-2063-08	1136
TCGA-44-7671-01A-11D-2063-08	240
TCGA-44-7672-01A-11D-2063-08	162
TCGA-44-8117-01A-11D-2238-08	812
TCGA-44-8119-01A-11D-2238-08	666
TCGA-44-8120-01A-11D-2238-08	645
TCGA-44-A479-01A-31D-A24D-08	295
TCGA-44-A47A-01A-21D-A24D-08	216
TCGA-44-A47G-01A-21D-A24D-08	69
TCGA-44-A4SS-01A-11D-A24P-08	491
TCGA-44-A4SU-01A-11D-A24P-08	150
TCGA-49-4487-01A-21D-1855-08	352
TCGA-49-4488-01A-01D-1753-08	299
TCGA-49-4490-01A-21D-1855-08	40
TCGA-49-4494-01A-01D-1265-08	200
TCGA-49-4501-01A-01D-1265-08	46
TCGA-49-4505-01A-01D-1931-08	222
TCGA-49-4506-01A-01D-1265-08	116
TCGA-49-4510-01A-01D-1265-08	47
TCGA-49-4512-01A-21D-1855-08	36
TCGA-49-4514-01A-21D-1855-08	340
TCGA-49-6743-01A-11D-1855-08	775
TCGA-49-6744-01A-11D-1855-08	213
TCGA-49-6745-01A-11D-1855-08	129
TCGA-49-6761-01A-31D-1945-08	187
TCGA-49-AAQV-01A-11D-A397-08	61
TCGA-49-AAR0-01A-21D-A397-08	136
TCGA-49-AAR3-01A-11D-A410-08	123
TCGA-49-AAR4-01A-12D-A410-08	573
TCGA-49-AAR9-01A-21D-A410-08	685
TCGA-49-AARE-01A-11D-A410-08	1280
TCGA-49-AARN-01A-21D-A410-08	792
TCGA-49-AARO-01A-12D-A410-08	626
TCGA-49-AARQ-01A-11D-A410-08	757
TCGA-49-AARR-01A-11D-A410-08	1
TCGA-4B-A93V-01A-11D-A397-08	143
TCGA-50-5044-01A-21D-1855-08	130
TCGA-50-5045-01A-01D-1625-08	286
TCGA-50-5051-01A-21D-1855-08	116
TCGA-50-5055-01A-01D-1625-08	10
TCGA-50-5066-01A-01D-1625-08	272
TCGA-50-5066-02A-11D-2107-08	386
TCGA-50-5068-01A-01D-1625-08	91
TCGA-50-5072-01A-21D-1855-08	166
TCGA-50-5930-01A-11D-1753-08	1167
TCGA-50-5931-01A-11D-1753-08	322
TCGA-50-5932-01A-11D-1753-08	78
TCGA-50-5935-01A-11D-1753-08	94
TCGA-50-5939-01A-11D-1625-08	73
TCGA-50-5941-01A-11D-1753-08	380
TCGA-50-5942-01A-21D-1753-08	56
TCGA-50-5946-01A-11D-1753-08	695
TCGA-50-5946-02A-11D-2107-08	740
TCGA-50-6590-01A-12D-1855-08	903
TCGA-50-6591-01A-11D-1753-08	50
TCGA-50-6592-01A-11D-1753-08	300
TCGA-50-6593-01A-11D-1753-08	323
TCGA-50-6594-01A-11D-1753-08	547
TCGA-50-6595-01A-12D-1855-08	80
TCGA-50-6597-01A-11D-1855-08	54
TCGA-50-6673-01A-11D-1945-08	51
TCGA-50-7109-01A-11D-2036-08	251
TCGA-50-8457-01A-11D-2323-08	55
TCGA-50-8460-01A-11D-2323-08	29
TCGA-53-7624-01A-11D-2063-08	843
TCGA-53-7626-01A-12D-2063-08	365
TCGA-53-7813-01A-11D-2167-08	156
TCGA-55-1592-01A-01D-0969-08	548
TCGA-55-1592-01A-01W-0928-08	522
TCGA-55-1594-01A-01D-1040-01	159
TCGA-55-1594-01A-01W-0928-08	153
TCGA-55-1595-01A-01D-0969-08	334
TCGA-55-1596-01A-01D-1040-01	198
TCGA-55-1596-01A-01W-0928-08	192
TCGA-55-5899-01A-11D-1625-08	474
TCGA-55-6543-01A-11D-1753-08	22
TCGA-55-6642-01A-11D-1855-08	128
TCGA-55-6712-01A-11D-1855-08	137
TCGA-55-6968-01A-11D-1945-08	527
TCGA-55-6969-01A-11D-1945-08	411
TCGA-55-6971-01A-11D-1945-08	84
TCGA-55-6972-01A-11D-1945-08	276
TCGA-55-6975-01A-11D-1945-08	71
TCGA-55-6978-01A-11D-1945-08	27
TCGA-55-6979-01A-11D-1945-08	114
TCGA-55-6980-01A-11D-1945-08	11
TCGA-55-6981-01A-11D-1945-08	49
TCGA-55-6982-01A-11D-1945-08	221
TCGA-55-6984-01A-11D-1945-08	20
TCGA-55-6985-01A-11D-1945-08	458
TCGA-55-6986-01A-11D-1945-08	18
TCGA-55-6987-01A-11D-1945-08	183
TCGA-55-7281-01A-11D-2036-08	462
TCGA-55-7283-01A-11D-2036-08	228
TCGA-55-7284-01B-11D-2238-08	43
TCGA-55-7570-01A-11D-2036-08	393
TCGA-55-7573-01A-11D-2036-08	51
TCGA-55-7574-01A-11D-2036-08	233
TCGA-55-7576-01A-11D-2063-08	396
TCGA-55-7724-01A-11D-2167-08	211
TCGA-55-7725-01A-11D-2167-08	141
TCGA-55-7726-01A-11D-2167-08	115
TCGA-55-7727-01A-11D-2167-08	265
TCGA-55-7903-01A-11D-2167-08	156
TCGA-55-7907-01A-11D-2167-08	1231
TCGA-55-7910-01A-11D-2167-08	323
TCGA-55-7911-01A-11D-2167-08	243
TCGA-55-7913-01B-11D-2238-08	354
TCGA-55-7914-01A-11D-2167-08	182
TCGA-55-7994-01A-11D-2184-08	1636
TCGA-55-7995-01A-11D-2184-08	702
TCGA-55-8085-01A-11D-2238-08	286
TCGA-55-8087-01A-11D-2238-08	27
TCGA-55-8089-01A-11D-2238-08	1305
TCGA-55-8090-01A-11D-2238-08	92
TCGA-55-8091-01A-11D-2238-08	21
TCGA-55-8092-01A-11D-2238-08	602
TCGA-55-8094-01A-11D-2238-08	477
TCGA-55-8096-01A-11D-2238-08	150
TCGA-55-8097-01A-11D-2238-08	113
TCGA-55-8203-01A-11D-2238-08	452
TCGA-55-8204-01A-11D-2238-08	232
TCGA-55-8206-01A-11D-2238-08	26
TCGA-55-8208-01A-11D-2238-08	338
TCGA-55-8299-01A-11D-2284-08	190
TCGA-55-8301-01A-11D-2284-08	294
