Samples	SBS96A	SBS96B
TCGA-05-4244-01A-01D-1105-08	187	33
TCGA-05-4250-01A-01D-1105-08	282	98
TCGA-05-4382-01A-01D-1931-08	1509	282
TCGA-05-4384-01A-01D-1753-08	105	31
TCGA-05-4389-01A-01D-1265-08	100	139
TCGA-05-4390-01A-02D-1753-08	539	32
TCGA-05-4395-01A-01D-1265-08	129	152
TCGA-05-4396-01A-21D-1855-08	198	52
TCGA-05-4397-01A-01D-1265-08	589	286
TCGA-05-4398-01A-01D-1265-08	567	173
TCGA-05-4402-01A-01D-1265-08	4	120
TCGA-05-4403-01A-01D-1265-08	92	45
TCGA-05-4405-01A-21D-1855-08	333	54
TCGA-05-4410-01A-21D-1855-08	905	224
TCGA-05-4415-01A-22D-1855-08	195	13
TCGA-05-4417-01A-22D-1855-08	292	24
TCGA-05-4418-01A-01D-1265-08	238	52
TCGA-05-4420-01A-01D-1265-08	258	42
TCGA-05-4422-01A-01D-1265-08	17	28
TCGA-05-4424-01A-22D-1855-08	582	130
TCGA-05-4425-01A-01D-1753-08	15	25
TCGA-05-4426-01A-01D-1265-08	20	25
TCGA-05-4427-01A-21D-1855-08	893	151
TCGA-05-4430-01A-02D-1265-08	238	35
TCGA-05-4432-01A-01D-1265-08	518	84
TCGA-05-4433-01A-22D-1855-08	16	22
TCGA-05-4434-01A-01D-1265-08	18	26
TCGA-05-5420-01A-01D-1625-08	66	22
TCGA-05-5423-01A-01D-1625-08	119	36
TCGA-05-5425-01A-02D-1625-08	517	70
TCGA-05-5428-01A-01D-1625-08	225	175
TCGA-05-5429-01A-01D-1625-08	10	24
TCGA-05-5715-01A-01D-1625-08	6	116
TCGA-17-Z000-01A-01W-0746-08	61	61
TCGA-17-Z001-01A-01W-0746-08	169	35
TCGA-17-Z002-01A-01W-0746-08	0	6
TCGA-17-Z003-01A-01W-0746-08	178	70
TCGA-17-Z004-01A-01W-0746-08	10	11
TCGA-17-Z007-01A-01W-0746-08	33	33
TCGA-17-Z009-01A-01W-0746-08	38	1
TCGA-17-Z011-01A-01W-0746-08	83	28
TCGA-17-Z013-01A-01W-0746-08	46	11
TCGA-17-Z015-01A-01W-0746-08	436	80
TCGA-17-Z017-01A-01W-0746-08	198	32
TCGA-17-Z018-01A-01W-0746-08	243	20
TCGA-17-Z019-01A-01W-0746-08	1	0
TCGA-17-Z020-01A-01W-0746-08	69	53
TCGA-17-Z021-01A-01W-0746-08	123	10
TCGA-17-Z022-01A-01W-0746-08	944	364
TCGA-17-Z023-01A-01W-0746-08	304	106
TCGA-17-Z025-01A-01W-0746-08	238	15
TCGA-17-Z026-01A-01W-0746-08	339	681
TCGA-17-Z027-01A-01W-0746-08	69	28
TCGA-17-Z028-01A-01W-0746-08	379	111
TCGA-17-Z030-01A-01W-0746-08	517	52
TCGA-17-Z031-01A-01W-0746-08	2207	205
TCGA-17-Z032-01A-01W-0746-08	55	55
TCGA-17-Z033-01A-01W-0746-08	108	61
TCGA-17-Z036-01A-01W-0746-08	50	27
TCGA-17-Z037-01A-01W-0746-08	51	90
TCGA-17-Z041-01A-01W-0746-08	26	23
TCGA-17-Z042-01A-01W-0746-08	448	51
TCGA-17-Z043-01A-01W-0746-08	150	63
TCGA-17-Z044-01A-01W-0746-08	94	32
TCGA-17-Z045-01A-01W-0746-08	640	76
TCGA-17-Z047-01A-01W-0747-08	8	15
TCGA-17-Z048-01A-01W-0746-08	9	20
TCGA-17-Z049-01A-01W-0746-08	433	76
TCGA-17-Z050-01A-01W-0747-08	107	66
TCGA-17-Z051-01A-01W-0747-08	105	32
TCGA-17-Z052-01A-01W-0747-08	107	11
TCGA-17-Z053-01A-01W-0747-08	182	73
TCGA-17-Z054-01A-01W-0747-08	1	3
TCGA-17-Z055-01A-01W-0747-08	568	67
TCGA-17-Z056-01A-01W-0747-08	321	158
TCGA-17-Z057-01A-01W-0747-08	104	310
TCGA-17-Z058-01A-01W-0747-08	62	16
TCGA-17-Z059-01A-01W-0747-08	106	53
TCGA-17-Z061-01A-01W-0747-08	128	54
TCGA-17-Z062-01A-01W-0747-08	397	46
TCGA-35-4122-01A-01D-1105-08	214	116
TCGA-35-4123-01A-01D-1105-08	275	29
TCGA-35-5375-01A-01D-1625-08	336	104
TCGA-38-4625-01A-01D-1553-08	453	158
TCGA-38-4626-01A-01D-1553-08	204	14
TCGA-38-4627-01A-01D-1553-08	11	17
TCGA-38-4628-01A-01D-1265-08	70	56
TCGA-38-4629-01A-02D-1265-08	207	78
TCGA-38-4630-01A-01D-1265-08	25	100
TCGA-38-4631-01A-01D-1753-08	724	50
TCGA-38-4632-01A-01D-1753-08	440	86
TCGA-38-6178-01A-11D-1753-08	33	21
TCGA-38-7271-01A-11D-2036-08	27	27
TCGA-44-2655-01A-01D-1553-08	171	17
TCGA-44-2655-01A-01W-0928-08	172	23
TCGA-44-2656-01A-02D-0969-08	859	56
TCGA-44-2656-01A-02D-A271-08	797	36
TCGA-44-2656-01A-02W-0928-08	766	43
TCGA-44-2656-01A-12D-A27T-08	825	48
TCGA-44-2656-01A-41D-A27T-08	847	47
TCGA-44-2656-01B-06D-A271-08	703	54
TCGA-44-2657-01A-01D-1105-08	354	65
TCGA-44-2661-01A-01D-1105-08	20	23
TCGA-44-2662-01A-01D-0969-08	24	202
TCGA-44-2662-01A-01D-A271-08	34	183
TCGA-44-2662-01A-01W-0928-08	29	178
TCGA-44-2662-01B-02D-A271-08	20	170
TCGA-44-2665-01A-01D-1040-01	8	39
TCGA-44-2665-01A-01D-A271-08	9	39
TCGA-44-2665-01A-01W-0928-08	10	42
TCGA-44-2665-01B-06D-A271-08	10	42
TCGA-44-2666-01A-01D-1489-08	13	17
TCGA-44-2666-01A-01D-A271-08	12	15
TCGA-44-2666-01A-01W-0928-08	12	20
TCGA-44-2666-01A-21D-A27T-08	16	18
TCGA-44-2666-01A-41D-A27T-08	13	21
TCGA-44-2666-01B-02D-A271-08	11	14
TCGA-44-2668-01A-01D-0969-08	281	121
TCGA-44-2668-01A-01D-A271-08	256	107
TCGA-44-2668-01A-01W-0928-08	282	115
TCGA-44-2668-01B-02D-A271-08	174	62
TCGA-44-3396-01A-01D-1553-08	58	135
TCGA-44-3398-01A-01D-1105-08	109	82
TCGA-44-3917-01A-01D-A271-08	177	55
TCGA-44-3917-01B-02D-A271-08	178	61
TCGA-44-3918-01B-02D-A271-08	817	110
TCGA-44-3919-01A-02D-1105-08	17	16
TCGA-44-3919-01A-02D-1458-08	16	22
TCGA-44-4112-01A-01D-1105-08	375	55
TCGA-44-4112-01A-01D-1458-08	398	52
TCGA-44-4112-01A-22D-A27T-08	406	59
TCGA-44-4112-01A-31D-A27T-08	364	137
TCGA-44-4112-01B-06D-A271-08	303	46
TCGA-44-5643-01A-01D-1625-08	69	69
TCGA-44-5644-01A-21D-2036-08	870	126
TCGA-44-5645-01A-01D-1625-08	21	15
TCGA-44-5645-01A-01D-A271-08	22	14
TCGA-44-5645-01A-21D-A27T-08	24	16
TCGA-44-5645-01A-51D-A27T-08	24	14
TCGA-44-5645-01B-04D-A271-08	21	16
TCGA-44-6144-01A-11D-1753-08	180	56
TCGA-44-6145-01A-11D-1753-08	307	18
TCGA-44-6147-01A-11D-1753-08	148	39
TCGA-44-6147-01A-11D-A271-08	151	48
TCGA-44-6147-01A-21D-A27T-08	167	59
TCGA-44-6147-01A-31D-A27T-08	108	15
TCGA-44-6147-01B-06D-A271-08	124	27
TCGA-44-6774-01A-21D-1855-08	293	14
TCGA-44-6775-01A-11D-1855-08	41	19
TCGA-44-6775-01A-11D-A271-08	33	26
TCGA-44-6775-01A-21D-A27T-08	38	20
TCGA-44-6775-01A-31D-A27T-08	42	24
TCGA-44-6775-01C-02D-A271-08	35	20
TCGA-44-6776-01A-11D-1855-08	175	25
TCGA-44-6777-01A-11D-1855-08	244	128
TCGA-44-6778-01A-11D-1855-08	355	50
TCGA-44-6779-01A-11D-1855-08	67	34
TCGA-44-7659-01A-11D-2063-08	123	29
TCGA-44-7660-01A-11D-2063-08	270	91
TCGA-44-7661-01A-11D-2063-08	189	72
TCGA-44-7662-01A-11D-2063-08	460	124
TCGA-44-7667-01A-31D-2063-08	415	69
TCGA-44-7670-01A-11D-2063-08	903	233
TCGA-44-7671-01A-11D-2063-08	201	39
TCGA-44-7672-01A-11D-2063-08	143	19
TCGA-44-8117-01A-11D-2238-08	734	78
TCGA-44-8119-01A-11D-2238-08	577	89
TCGA-44-8120-01A-11D-2238-08	575	70
TCGA-44-A479-01A-31D-A24D-08	257	38
TCGA-44-A47A-01A-21D-A24D-08	93	123
TCGA-44-A47G-01A-21D-A24D-08	31	38
TCGA-44-A4SS-01A-11D-A24P-08	380	111
TCGA-44-A4SU-01A-11D-A24P-08	120	30
TCGA-49-4487-01A-21D-1855-08	256	96
TCGA-49-4488-01A-01D-1753-08	253	46
TCGA-49-4490-01A-21D-1855-08	8	32
TCGA-49-4494-01A-01D-1265-08	174	26
TCGA-49-4501-01A-01D-1265-08	14	32
TCGA-49-4505-01A-01D-1931-08	175	47
TCGA-49-4506-01A-01D-1265-08	96	20
TCGA-49-4510-01A-01D-1265-08	33	14
TCGA-49-4512-01A-21D-1855-08	17	19
TCGA-49-4514-01A-21D-1855-08	172	168
TCGA-49-6743-01A-11D-1855-08	412	363
TCGA-49-6744-01A-11D-1855-08	194	19
TCGA-49-6745-01A-11D-1855-08	5	124
TCGA-49-6761-01A-31D-1945-08	67	120
TCGA-49-AAQV-01A-11D-A397-08	12	49
TCGA-49-AAR0-01A-21D-A397-08	89	47
TCGA-49-AAR3-01A-11D-A410-08	88	35
TCGA-49-AAR4-01A-12D-A410-08	413	160
TCGA-49-AAR9-01A-21D-A410-08	641	44
TCGA-49-AARE-01A-11D-A410-08	1122	158
TCGA-49-AARN-01A-21D-A410-08	451	341
TCGA-49-AARO-01A-12D-A410-08	586	40
TCGA-49-AARQ-01A-11D-A410-08	621	136
TCGA-49-AARR-01A-11D-A410-08	1	0
TCGA-4B-A93V-01A-11D-A397-08	115	28
TCGA-50-5044-01A-21D-1855-08	0	130
TCGA-50-5045-01A-01D-1625-08	265	21
TCGA-50-5051-01A-21D-1855-08	96	20
TCGA-50-5055-01A-01D-1625-08	4	6
TCGA-50-5066-01A-01D-1625-08	222	50
TCGA-50-5066-02A-11D-2107-08	313	73
TCGA-50-5068-01A-01D-1625-08	62	29
TCGA-50-5072-01A-21D-1855-08	121	45
TCGA-50-5930-01A-11D-1753-08	1130	37
TCGA-50-5931-01A-11D-1753-08	267	55
TCGA-50-5932-01A-11D-1753-08	73	5
TCGA-50-5935-01A-11D-1753-08	2	92
TCGA-50-5939-01A-11D-1625-08	24	49
TCGA-50-5941-01A-11D-1753-08	321	59
TCGA-50-5942-01A-21D-1753-08	46	10
TCGA-50-5946-01A-11D-1753-08	462	233
TCGA-50-5946-02A-11D-2107-08	479	261
TCGA-50-6590-01A-12D-1855-08	639	264
TCGA-50-6591-01A-11D-1753-08	26	24
TCGA-50-6592-01A-11D-1753-08	181	119
TCGA-50-6593-01A-11D-1753-08	279	44
TCGA-50-6594-01A-11D-1753-08	461	86
TCGA-50-6595-01A-12D-1855-08	29	51
TCGA-50-6597-01A-11D-1855-08	7	47
TCGA-50-6673-01A-11D-1945-08	19	32
TCGA-50-7109-01A-11D-2036-08	220	31
TCGA-50-8457-01A-11D-2323-08	38	17
TCGA-50-8460-01A-11D-2323-08	13	16
TCGA-53-7624-01A-11D-2063-08	571	272
TCGA-53-7626-01A-12D-2063-08	302	63
TCGA-53-7813-01A-11D-2167-08	140	16
TCGA-55-1592-01A-01D-0969-08	383	165
TCGA-55-1592-01A-01W-0928-08	364	158
TCGA-55-1594-01A-01D-1040-01	56	103
TCGA-55-1594-01A-01W-0928-08	50	103
TCGA-55-1595-01A-01D-0969-08	298	36
TCGA-55-1596-01A-01D-1040-01	154	44
TCGA-55-1596-01A-01W-0928-08	154	38
TCGA-55-5899-01A-11D-1625-08	306	168
TCGA-55-6543-01A-11D-1753-08	7	15
TCGA-55-6642-01A-11D-1855-08	110	18
TCGA-55-6712-01A-11D-1855-08	28	109
TCGA-55-6968-01A-11D-1945-08	71	456
TCGA-55-6969-01A-11D-1945-08	361	50
TCGA-55-6971-01A-11D-1945-08	66	18
TCGA-55-6972-01A-11D-1945-08	86	190
TCGA-55-6975-01A-11D-1945-08	43	28
TCGA-55-6978-01A-11D-1945-08	17	10
TCGA-55-6979-01A-11D-1945-08	67	47
TCGA-55-6980-01A-11D-1945-08	5	6
TCGA-55-6981-01A-11D-1945-08	17	32
TCGA-55-6982-01A-11D-1945-08	0	221
TCGA-55-6984-01A-11D-1945-08	12	8
TCGA-55-6985-01A-11D-1945-08	434	24
TCGA-55-6986-01A-11D-1945-08	7	11
TCGA-55-6987-01A-11D-1945-08	88	95
TCGA-55-7281-01A-11D-2036-08	374	88
TCGA-55-7283-01A-11D-2036-08	127	101
TCGA-55-7284-01B-11D-2238-08	18	25
TCGA-55-7570-01A-11D-2036-08	234	159
TCGA-55-7573-01A-11D-2036-08	36	15
TCGA-55-7574-01A-11D-2036-08	71	162
TCGA-55-7576-01A-11D-2063-08	330	66
TCGA-55-7724-01A-11D-2167-08	115	96
TCGA-55-7725-01A-11D-2167-08	124	17
TCGA-55-7726-01A-11D-2167-08	6	109
TCGA-55-7727-01A-11D-2167-08	116	149
TCGA-55-7903-01A-11D-2167-08	104	52
TCGA-55-7907-01A-11D-2167-08	928	303
TCGA-55-7910-01A-11D-2167-08	296	27
TCGA-55-7911-01A-11D-2167-08	191	52
TCGA-55-7913-01B-11D-2238-08	277	77
TCGA-55-7914-01A-11D-2167-08	125	57
TCGA-55-7994-01A-11D-2184-08	1446	190
TCGA-55-7995-01A-11D-2184-08	519	183
TCGA-55-8085-01A-11D-2238-08	104	182
TCGA-55-8087-01A-11D-2238-08	4	23
TCGA-55-8089-01A-11D-2238-08	758	547
TCGA-55-8090-01A-11D-2238-08	78	14
TCGA-55-8091-01A-11D-2238-08	6	15
TCGA-55-8092-01A-11D-2238-08	365	237
TCGA-55-8094-01A-11D-2238-08	427	50
TCGA-55-8096-01A-11D-2238-08	122	28
TCGA-55-8097-01A-11D-2238-08	76	37
TCGA-55-8203-01A-11D-2238-08	428	24
TCGA-55-8204-01A-11D-2238-08	88	144
TCGA-55-8206-01A-11D-2238-08	12	14
TCGA-55-8208-01A-11D-2238-08	91	247
TCGA-55-8299-01A-11D-2284-08	162	28
TCGA-55-8301-01A-11D-2284-08	229	65
TCGA-55-8506-01A-11D-2393-08	1465	295
TCGA-55-8507-01A-11D-2393-08	949	85
TCGA-55-8510-01A-11D-2393-08	272	52
TCGA-55-8511-01A-11D-2393-08	444	140
TCGA-55-8512-01A-11D-2393-08	28	12
TCGA-55-8514-01A-11D-2393-08	259	37
TCGA-55-8614-01A-11D-2393-08	144	103
TCGA-55-8615-01A-11D-2393-08	102	25
TCGA-55-8616-01A-11D-2393-08	485	38
TCGA-55-8620-01A-11D-2393-08	450	72
TCGA-55-8621-01A-11D-2393-08	43	10
TCGA-55-A48X-01A-11D-A24D-08	338	50
TCGA-55-A48Y-01A-11D-A24D-08	0	368
TCGA-55-A48Z-01A-12D-A24P-08	35	22
TCGA-55-A490-01A-11D-A24D-08	1199	172
TCGA-55-A491-01A-11D-A24D-08	327	68
TCGA-55-A492-01A-11D-A24D-08	242	48
TCGA-55-A493-01A-11D-A24D-08	152	116
TCGA-55-A494-01A-11D-A24P-08	199	49
TCGA-55-A4DF-01A-11D-A24D-08	98	741
TCGA-55-A4DG-01A-11D-A24D-08	674	49
TCGA-55-A57B-01A-12D-A397-08	14	23
TCGA-62-8394-01A-11D-2323-08	46	91
TCGA-62-8395-01A-11D-2323-08	21	52
TCGA-62-8397-01A-11D-2323-08	14	11
TCGA-62-8398-01A-11D-2323-08	56	28
TCGA-62-8399-01A-21D-2323-08	249	300
TCGA-62-8402-01A-11D-2323-08	24	33
TCGA-62-A46O-01A-11D-A24D-08	665	270
TCGA-62-A46P-01A-11D-A24D-08	264	20
TCGA-62-A46R-01A-11D-A24D-08	108	64
TCGA-62-A46S-01A-11D-A24D-08	88	38
TCGA-62-A46U-01A-11D-A24D-08	21	23
TCGA-62-A46V-01A-11D-A24D-08	26	31
TCGA-62-A46Y-01A-11D-A24D-08	17	15
TCGA-62-A471-01A-12D-A24D-08	13	110
TCGA-62-A472-01A-11D-A24D-08	35	22
TCGA-64-1676-01A-01D-0969-08	580	48
TCGA-64-1676-01A-01W-0928-08	558	47
TCGA-64-1677-01A-01W-0928-08	78	136
TCGA-64-1678-01A-01W-0928-08	378	59
TCGA-64-1679-01A-21D-2063-08	465	62
TCGA-64-1680-01A-02D-0969-08	11	41
TCGA-64-1680-01A-02W-0928-08	14	32
TCGA-64-1681-01A-11D-2063-08	20	45
TCGA-64-5774-01A-01D-1625-08	128	16
TCGA-64-5775-01A-01D-1625-08	455	51
TCGA-64-5778-01A-01D-1625-08	418	68
TCGA-64-5781-01A-01D-1625-08	901	251
TCGA-64-5815-01A-01D-1625-08	159	22
TCGA-67-3770-01A-01D-0969-08	203	30
TCGA-67-3770-01A-01W-0928-08	197	29
TCGA-67-3771-01A-01D-1040-01	587	553
TCGA-67-3771-01A-01W-0928-08	604	577
TCGA-67-3773-01A-01D-1040-01	84	18
TCGA-67-3774-01A-01D-1040-01	92	26
TCGA-67-3774-01A-01W-0928-08	85	18
TCGA-67-4679-01B-01D-1753-08	259	33
TCGA-67-6215-01A-11D-1753-08	49	60
TCGA-67-6216-01A-11D-1753-08	5	21
TCGA-67-6217-01A-11D-1753-08	171	21
TCGA-69-7760-01A-11D-2167-08	39	32
TCGA-69-7764-01A-11D-2167-08	56	35
TCGA-69-7765-01A-11D-2167-08	543	97
TCGA-69-7973-01A-11D-2184-08	240	25
TCGA-69-7974-01A-11D-2184-08	453	75
TCGA-69-7978-01A-11D-2184-08	360	256
TCGA-69-8253-01A-11D-2284-08	120	47
TCGA-69-8254-01A-11D-2284-08	48	27
TCGA-69-8255-01A-11D-2284-08	199	101
TCGA-69-A59K-01A-11D-A25L-08	425	83
TCGA-71-6725-01A-11D-1855-08	22	35
TCGA-71-8520-01A-11D-2393-08	40	52
TCGA-73-4658-01A-01D-1753-08	141	191
TCGA-73-4659-01A-01D-1265-08	193	29
TCGA-73-4662-01A-01D-1265-08	176	37
TCGA-73-4670-01A-01D-1265-08	304	62
TCGA-73-4675-01A-01D-1265-08	43	26
TCGA-73-4676-01A-01D-1753-08	70	28
TCGA-73-4677-01A-01D-1265-08	222	43
TCGA-73-7498-01A-12D-2184-08	97	20
TCGA-75-5122-01A-01D-1753-08	80	54
TCGA-75-5125-01A-01D-1753-08	85	79
TCGA-75-5126-01A-01D-1753-08	389	233
TCGA-75-5146-01A-01D-1625-08	170	23
TCGA-75-5147-01A-01D-1625-08	6	30
TCGA-75-6203-01A-11D-1753-08	6	7
TCGA-75-6205-01A-11D-1753-08	23	20
TCGA-75-6206-01A-11D-1753-08	69	23
TCGA-75-6207-01A-11D-1753-08	23	35
TCGA-75-6211-01A-11D-1753-08	344	48
TCGA-75-6214-01A-41D-1945-08	458	277
TCGA-75-7025-01A-12D-1945-08	1	29
TCGA-75-7027-01A-11D-1945-08	215	35
TCGA-75-7030-01A-11D-1945-08	6	2
TCGA-78-7145-01A-11D-2036-08	166	31
TCGA-78-7146-01A-11D-2036-08	227	155
TCGA-78-7147-01A-11D-2036-08	242	121
TCGA-78-7148-01A-11D-2036-08	185	35
TCGA-78-7149-01A-11D-2036-08	37	111
TCGA-78-7150-01A-21D-2036-08	181	254
TCGA-78-7152-01A-11D-2036-08	81	125
TCGA-78-7153-01A-11D-2036-08	42	62
TCGA-78-7154-01A-11D-2036-08	68	198
TCGA-78-7155-01A-11D-2036-08	1348	232
TCGA-78-7160-01A-11D-2036-08	19	22
TCGA-78-7161-01A-11D-2036-08	161	37
TCGA-78-7162-01A-21D-2063-08	52	35
TCGA-78-7163-01A-12D-2063-08	11	8
TCGA-78-7166-01A-12D-2063-08	225	15
TCGA-78-7167-01A-11D-2063-08	44	56
