Samples	SBS96A	SBS96B	SBS96C
TCGA-05-4244-01A-01D-1105-08	3.50E+00	1.25E+00	3.49E+00
TCGA-05-4250-01A-01D-1105-08	5.74E+00	3.29E+00	5.12E+00
TCGA-05-4382-01A-01D-1931-08	7.77E+00	5.21E+00	5.41E+00
TCGA-05-4384-01A-01D-1753-08	1.98E+00	1.12E+00	1.94E+00
TCGA-05-4389-01A-01D-1265-08	3.52E+00	2.65E+00	3.24E+00
TCGA-05-4390-01A-02D-1753-08	3.26E+00	2.13E+00	4.52E+00
TCGA-05-4395-01A-01D-1265-08	4.63E+00	2.64E+00	3.47E+00
TCGA-05-4396-01A-21D-1855-08	3.05E+00	2.21E+00	2.81E+00
TCGA-05-4397-01A-01D-1265-08	8.82E+00	5.73E+00	7.29E+00
TCGA-05-4398-01A-01D-1265-08	5.45E+00	4.64E+00	5.27E+00
TCGA-05-4402-01A-01D-1265-08	1.28E+00	2.59E+00	2.85E+00
TCGA-05-4403-01A-01D-1265-08	2.30E+00	1.65E+00	2.96E+00
TCGA-05-4405-01A-21D-1855-08	2.78E+00	2.49E+00	3.90E+00
TCGA-05-4410-01A-21D-1855-08	5.80E+00	4.91E+00	6.68E+00
TCGA-05-4415-01A-22D-1855-08	2.33E+00	1.51E+00	1.97E+00
TCGA-05-4417-01A-22D-1855-08	4.80E+00	1.45E+00	4.63E+00
TCGA-05-4418-01A-01D-1265-08	6.36E+00	1.74E+00	5.41E+00
TCGA-05-4420-01A-01D-1265-08	3.73E+00	3.33E+00	4.45E+00
TCGA-05-4422-01A-01D-1265-08	1.27E+00	1.27E+00	1.37E+00
TCGA-05-4424-01A-22D-1855-08	6.73E+00	5.01E+00	5.38E+00
TCGA-05-4425-01A-01D-1753-08	6.50E-01	7.67E-01	1.29E+00
TCGA-05-4426-01A-01D-1265-08	1.14E+00	7.86E-01	1.19E+00
TCGA-05-4427-01A-21D-1855-08	8.62E+00	5.11E+00	8.29E+00
TCGA-05-4430-01A-02D-1265-08	3.44E+00	2.57E+00	3.83E+00
TCGA-05-4432-01A-01D-1265-08	6.27E+00	2.82E+00	5.49E+00
TCGA-05-4433-01A-22D-1855-08	1.17E+00	5.39E-01	1.11E+00
TCGA-05-4434-01A-01D-1265-08	1.06E+00	1.04E+00	1.26E+00
TCGA-05-5420-01A-01D-1625-08	2.88E+00	8.30E-01	2.52E+00
TCGA-05-5423-01A-01D-1625-08	2.00E+00	1.35E+00	2.20E+00
TCGA-05-5425-01A-02D-1625-08	4.19E+00	3.35E+00	2.98E+00
TCGA-05-5428-01A-01D-1625-08	4.26E+00	3.99E+00	4.34E+00
TCGA-05-5429-01A-01D-1625-08	7.95E-01	9.55E-01	1.43E+00
TCGA-05-5715-01A-01D-1625-08	1.55E+00	1.96E+00	2.05E+00
TCGA-17-Z000-01A-01W-0746-08	1.79E+00	1.69E+00	2.02E+00
TCGA-17-Z001-01A-01W-0746-08	3.88E+00	1.38E+00	3.24E+00
TCGA-17-Z002-01A-01W-0746-08	0.00E+00	4.73E-01	4.73E-01
TCGA-17-Z003-01A-01W-0746-08	2.72E+00	1.56E+00	3.61E+00
TCGA-17-Z004-01A-01W-0746-08	7.18E-01	5.82E-01	8.36E-01
TCGA-17-Z007-01A-01W-0746-08	1.80E+00	6.16E-01	2.15E+00
TCGA-17-Z009-01A-01W-0746-08	9.57E-01	0.00E+00	9.57E-01
TCGA-17-Z011-01A-01W-0746-08	2.74E+00	1.95E+00	2.40E+00
TCGA-17-Z013-01A-01W-0746-08	2.24E+00	6.67E-01	2.27E+00
TCGA-17-Z015-01A-01W-0746-08	5.06E+00	1.47E+00	4.51E+00
TCGA-17-Z017-01A-01W-0746-08	1.82E+00	1.91E+00	2.52E+00
TCGA-17-Z018-01A-01W-0746-08	2.38E+00	1.88E+00	2.74E+00
TCGA-17-Z019-01A-01W-0746-08	1.33E-01	0.00E+00	1.33E-01
TCGA-17-Z020-01A-01W-0746-08	2.56E+00	1.96E+00	2.58E+00
TCGA-17-Z021-01A-01W-0746-08	2.67E+00	8.33E-01	2.52E+00
TCGA-17-Z022-01A-01W-0746-08	1.05E+01	5.13E+00	1.07E+01
TCGA-17-Z023-01A-01W-0746-08	3.96E+00	2.54E+00	3.30E+00
TCGA-17-Z025-01A-01W-0746-08	4.81E+00	1.40E+00	5.24E+00
TCGA-17-Z026-01A-01W-0746-08	6.37E+00	6.70E+00	8.00E-01
TCGA-17-Z027-01A-01W-0746-08	2.66E+00	1.38E+00	3.48E+00
TCGA-17-Z028-01A-01W-0746-08	5.14E+00	3.01E+00	5.12E+00
TCGA-17-Z030-01A-01W-0746-08	3.79E+00	2.17E+00	2.67E+00
TCGA-17-Z031-01A-01W-0746-08	9.27E+00	3.88E+00	1.07E+01
TCGA-17-Z032-01A-01W-0746-08	2.15E+00	1.69E+00	1.85E+00
TCGA-17-Z033-01A-01W-0746-08	3.85E+00	1.99E+00	3.28E+00
TCGA-17-Z036-01A-01W-0746-08	1.86E+00	1.07E+00	2.38E+00
TCGA-17-Z037-01A-01W-0746-08	2.16E+00	1.42E+00	2.48E+00
TCGA-17-Z041-01A-01W-0746-08	2.00E+00	2.09E+00	1.20E+00
TCGA-17-Z042-01A-01W-0746-08	3.46E+00	2.50E+00	3.40E+00
TCGA-17-Z043-01A-01W-0746-08	4.72E+00	2.41E+00	4.08E+00
TCGA-17-Z044-01A-01W-0746-08	3.55E+00	1.77E+00	3.96E+00
TCGA-17-Z045-01A-01W-0746-08	3.87E+00	1.55E+00	3.99E+00
TCGA-17-Z047-01A-01W-0747-08	4.67E-01	6.32E-01	8.95E-01
TCGA-17-Z048-01A-01W-0746-08	6.00E-01	1.28E+00	1.37E+00
TCGA-17-Z049-01A-01W-0746-08	7.38E+00	4.72E+00	4.04E+00
TCGA-17-Z050-01A-01W-0747-08	3.74E+00	1.59E+00	3.12E+00
TCGA-17-Z051-01A-01W-0747-08	2.87E+00	1.35E+00	2.00E+00
TCGA-17-Z052-01A-01W-0747-08	1.83E+00	7.02E-01	2.04E+00
TCGA-17-Z053-01A-01W-0747-08	4.20E+00	2.55E+00	4.04E+00
TCGA-17-Z054-01A-01W-0747-08	0.00E+00	4.96E-01	4.96E-01
TCGA-17-Z055-01A-01W-0747-08	3.68E+00	2.13E+00	2.27E+00
TCGA-17-Z056-01A-01W-0747-08	5.65E+00	3.01E+00	6.52E+00
TCGA-17-Z057-01A-01W-0747-08	4.82E+00	5.87E+00	5.02E+00
TCGA-17-Z058-01A-01W-0747-08	1.83E+00	9.83E-01	2.26E+00
TCGA-17-Z059-01A-01W-0747-08	1.94E+00	2.04E+00	2.19E+00
TCGA-17-Z061-01A-01W-0747-08	3.57E+00	1.55E+00	4.26E+00
TCGA-17-Z062-01A-01W-0747-08	5.04E+00	3.10E+00	4.19E+00
TCGA-35-4122-01A-01D-1105-08	7.02E+00	2.12E+00	6.78E+00
TCGA-35-4123-01A-01D-1105-08	3.99E+00	1.72E+00	3.07E+00
TCGA-35-5375-01A-01D-1625-08	3.35E+00	1.77E+00	3.58E+00
TCGA-38-4625-01A-01D-1553-08	4.75E+00	4.02E+00	4.33E+00
TCGA-38-4626-01A-01D-1553-08	2.18E+00	1.54E+00	1.11E+00
TCGA-38-4627-01A-01D-1553-08	3.40E-01	8.85E-01	9.89E-01
TCGA-38-4628-01A-01D-1265-08	2.28E+00	1.63E+00	1.97E+00
TCGA-38-4629-01A-02D-1265-08	4.50E+00	2.94E+00	4.37E+00
TCGA-38-4630-01A-01D-1265-08	1.47E+00	2.88E+00	3.11E+00
TCGA-38-4631-01A-01D-1753-08	4.63E+00	3.10E+00	2.63E+00
TCGA-38-4632-01A-01D-1753-08	3.89E+00	3.59E+00	3.42E+00
TCGA-38-6178-01A-11D-1753-08	1.16E+00	1.26E+00	1.90E+00
TCGA-38-7271-01A-11D-2036-08	2.05E+00	1.96E+00	1.00E-01
TCGA-44-2655-01A-01D-1553-08	2.45E+00	1.94E+00	2.13E+00
TCGA-44-2655-01A-01W-0928-08	2.71E+00	1.45E+00	2.62E+00
TCGA-44-2656-01A-02D-0969-08	6.51E+00	2.08E+00	5.12E+00
TCGA-44-2656-01A-02D-A271-08	4.37E+00	3.32E+00	4.37E+00
TCGA-44-2656-01A-02W-0928-08	3.53E+00	1.74E+00	3.82E+00
TCGA-44-2656-01A-12D-A27T-08	5.76E+00	3.38E+00	4.11E+00
TCGA-44-2656-01A-41D-A27T-08	5.28E+00	2.68E+00	7.39E+00
TCGA-44-2656-01B-06D-A271-08	5.74E+00	3.01E+00	3.91E+00
TCGA-44-2657-01A-01D-1105-08	2.80E+00	3.55E+00	3.24E+00
TCGA-44-2661-01A-01D-1105-08	1.37E+00	9.04E-01	2.02E+00
TCGA-44-2662-01A-01D-0969-08	3.41E+00	2.62E+00	1.93E+00
TCGA-44-2662-01A-01D-A271-08	3.55E+00	3.33E+00	3.30E+00
TCGA-44-2662-01A-01W-0928-08	1.68E+00	2.49E+00	2.04E+00
TCGA-44-2662-01B-02D-A271-08	3.42E+00	3.45E+00	2.05E+00
TCGA-44-2665-01A-01D-1040-01	1.10E+00	1.37E+00	1.76E+00
TCGA-44-2665-01A-01D-A271-08	5.81E-01	9.89E-01	1.16E+00
TCGA-44-2665-01A-01W-0928-08	4.01E-01	1.83E+00	1.98E+00
TCGA-44-2665-01B-06D-A271-08	3.89E-01	1.61E+00	1.76E+00
TCGA-44-2666-01A-01D-1489-08	1.00E+00	9.45E-01	1.69E+00
TCGA-44-2666-01A-01D-A271-08	1.16E+00	1.15E+00	1.09E+00
TCGA-44-2666-01A-01W-0928-08	1.10E+00	1.01E+00	1.72E+00
TCGA-44-2666-01A-21D-A27T-08	9.57E-01	1.21E+00	1.23E+00
TCGA-44-2666-01A-41D-A27T-08	8.00E-01	7.67E-01	7.81E-01
TCGA-44-2666-01B-02D-A271-08	1.10E+00	9.71E-01	9.80E-01
TCGA-44-2668-01A-01D-0969-08	3.35E+00	2.97E+00	4.48E+00
TCGA-44-2668-01A-01D-A271-08	2.77E+00	2.46E+00	4.28E+00
TCGA-44-2668-01A-01W-0928-08	5.29E+00	2.67E+00	5.34E+00
TCGA-44-2668-01B-02D-A271-08	3.22E+00	3.23E+00	2.08E+00
TCGA-44-3396-01A-01D-1553-08	2.74E+00	2.88E+00	2.20E+00
TCGA-44-3398-01A-01D-1105-08	2.69E+00	2.40E+00	1.72E+00
TCGA-44-3917-01A-01D-A271-08	4.00E+00	2.78E+00	3.33E+00
TCGA-44-3917-01B-02D-A271-08	2.50E+00	2.24E+00	2.90E+00
TCGA-44-3918-01B-02D-A271-08	6.60E+00	4.04E+00	5.34E+00
TCGA-44-3919-01A-02D-1105-08	1.27E+00	8.60E-01	1.23E+00
TCGA-44-3919-01A-02D-1458-08	8.00E-01	1.09E+00	1.43E+00
TCGA-44-4112-01A-01D-1105-08	3.53E+00	2.25E+00	2.21E+00
