Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-05-4244-01A-01D-1105-08	148	13	25	34
TCGA-05-4250-01A-01D-1105-08	232	57	54	37
TCGA-05-4382-01A-01D-1931-08	1496	232	0	63
TCGA-05-4384-01A-01D-1753-08	81	15	21	19
TCGA-05-4389-01A-01D-1265-08	78	82	31	48
TCGA-05-4390-01A-02D-1753-08	481	20	35	35
TCGA-05-4395-01A-01D-1265-08	121	105	26	29
TCGA-05-4396-01A-21D-1855-08	157	25	29	39
TCGA-05-4397-01A-01D-1265-08	474	176	181	44
TCGA-05-4398-01A-01D-1265-08	473	104	103	60
TCGA-05-4402-01A-01D-1265-08	8	91	10	15
TCGA-05-4403-01A-01D-1265-08	51	11	20	55
TCGA-05-4405-01A-21D-1855-08	268	26	56	37
TCGA-05-4410-01A-21D-1855-08	834	160	80	55
TCGA-05-4415-01A-22D-1855-08	160	5	21	22
TCGA-05-4417-01A-22D-1855-08	237	10	40	29
TCGA-05-4418-01A-01D-1265-08	173	22	66	29
TCGA-05-4420-01A-01D-1265-08	220	25	33	22
TCGA-05-4422-01A-01D-1265-08	13	17	5	10
TCGA-05-4424-01A-22D-1855-08	542	94	43	33
TCGA-05-4425-01A-01D-1753-08	1	3	6	30
TCGA-05-4426-01A-01D-1265-08	10	8	5	22
TCGA-05-4427-01A-21D-1855-08	741	86	152	65
TCGA-05-4430-01A-02D-1265-08	203	20	29	21
TCGA-05-4432-01A-01D-1265-08	393	35	115	59
TCGA-05-4433-01A-22D-1855-08	1	0	0	37
TCGA-05-4434-01A-01D-1265-08	5	8	20	11
TCGA-05-5420-01A-01D-1625-08	45	8	10	25
TCGA-05-5423-01A-01D-1625-08	102	19	0	34
TCGA-05-5425-01A-02D-1625-08	432	39	77	39
TCGA-05-5428-01A-01D-1625-08	233	136	3	28
TCGA-05-5429-01A-01D-1625-08	2	6	0	26
TCGA-05-5715-01A-01D-1625-08	9	84	0	29
TCGA-17-Z000-01A-01W-0746-08	51	37	9	25
TCGA-17-Z001-01A-01W-0746-08	132	17	32	23
TCGA-17-Z002-01A-01W-0746-08	0	4	2	0
TCGA-17-Z003-01A-01W-0746-08	97	23	101	27
TCGA-17-Z004-01A-01W-0746-08	1	2	13	5
TCGA-17-Z007-01A-01W-0746-08	12	5	5	44
TCGA-17-Z009-01A-01W-0746-08	29	0	10	0
TCGA-17-Z011-01A-01W-0746-08	60	12	20	19
TCGA-17-Z013-01A-01W-0746-08	29	2	13	13
TCGA-17-Z015-01A-01W-0746-08	344	25	13	134
