Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-05-4244-01A-01D-1105-08	129	41	12	29	9
TCGA-05-4250-01A-01D-1105-08	204	73	53	31	19
TCGA-05-4382-01A-01D-1931-08	1411	0	222	69	89
TCGA-05-4384-01A-01D-1753-08	72	20	13	16	15
TCGA-05-4389-01A-01D-1265-08	72	15	76	43	33
TCGA-05-4390-01A-02D-1753-08	427	87	17	27	13
TCGA-05-4395-01A-01D-1265-08	109	27	102	25	18
TCGA-05-4396-01A-21D-1855-08	131	54	23	31	11
TCGA-05-4397-01A-01D-1265-08	402	220	165	32	56
TCGA-05-4398-01A-01D-1265-08	427	75	92	53	93
TCGA-05-4402-01A-01D-1265-08	3	23	86	12	0
TCGA-05-4403-01A-01D-1265-08	38	42	10	45	2
TCGA-05-4405-01A-21D-1855-08	240	58	22	32	35
TCGA-05-4410-01A-21D-1855-08	745	153	151	45	35
TCGA-05-4415-01A-22D-1855-08	139	48	4	17	0
TCGA-05-4417-01A-22D-1855-08	205	68	7	22	14
TCGA-05-4418-01A-01D-1265-08	146	84	19	23	18
TCGA-05-4420-01A-01D-1265-08	194	48	22	17	19
TCGA-05-4422-01A-01D-1265-08	12	4	16	9	4
TCGA-05-4424-01A-22D-1855-08	505	45	90	33	39
TCGA-05-4425-01A-01D-1753-08	0	9	2	26	3
TCGA-05-4426-01A-01D-1265-08	8	7	8	19	3
TCGA-05-4427-01A-21D-1855-08	661	142	71	55	115
TCGA-05-4430-01A-02D-1265-08	184	33	17	19	20
TCGA-05-4432-01A-01D-1265-08	341	133	28	47	53
TCGA-05-4433-01A-22D-1855-08	2	0	1	35	0
TCGA-05-4434-01A-01D-1265-08	1	22	7	9	5
TCGA-05-5420-01A-01D-1625-08	36	25	7	20	0
TCGA-05-5423-01A-01D-1625-08	93	6	17	29	10
TCGA-05-5425-01A-02D-1625-08	367	155	35	27	3
TCGA-05-5428-01A-01D-1625-08	216	0	130	26	28
TCGA-05-5429-01A-01D-1625-08	2	0	6	23	3
TCGA-05-5715-01A-01D-1625-08	10	0	84	28	0
TCGA-17-Z000-01A-01W-0746-08	46	16	36	22	2
TCGA-17-Z001-01A-01W-0746-08	117	37	14	19	17
TCGA-17-Z002-01A-01W-0746-08	0	0	4	0	2
TCGA-17-Z003-01A-01W-0746-08	74	92	18	21	43
TCGA-17-Z004-01A-01W-0746-08	0	11	1	4	5
