Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-05-4244-01A-01D-1105-08	113	36	10	32	25	4
TCGA-05-4250-01A-01D-1105-08	183	48	51	64	27	7
TCGA-05-4382-01A-01D-1931-08	1335	21	212	99	60	64
TCGA-05-4384-01A-01D-1753-08	65	17	12	19	14	9
TCGA-05-4389-01A-01D-1265-08	68	7	74	27	40	23
TCGA-05-4390-01A-02D-1753-08	379	109	11	34	23	15
TCGA-05-4395-01A-01D-1265-08	93	40	99	12	24	13
TCGA-05-4396-01A-21D-1855-08	92	103	18	0	26	11
TCGA-05-4397-01A-01D-1265-08	352	146	156	160	27	34
TCGA-05-4398-01A-01D-1265-08	353	163	83	34	45	62
TCGA-05-4402-01A-01D-1265-08	5	0	84	24	11	0
TCGA-05-4403-01A-01D-1265-08	16	70	7	0	42	2
TCGA-05-4405-01A-21D-1855-08	217	51	19	49	28	23
TCGA-05-4410-01A-21D-1855-08	661	170	141	95	38	24
TCGA-05-4415-01A-22D-1855-08	123	36	2	32	15	0
TCGA-05-4417-01A-22D-1855-08	155	131	2	0	18	10
TCGA-05-4418-01A-01D-1265-08	144	0	17	97	20	12
TCGA-05-4420-01A-01D-1265-08	170	53	19	34	14	10
TCGA-05-4422-01A-01D-1265-08	8	11	15	0	8	3
TCGA-05-4424-01A-22D-1855-08	476	0	86	107	27	16
TCGA-05-4425-01A-01D-1753-08	0	7	2	5	24	2
TCGA-05-4426-01A-01D-1265-08	6	9	7	1	18	4
TCGA-05-4427-01A-21D-1855-08	584	170	60	98	47	85
TCGA-05-4430-01A-02D-1265-08	176	0	16	55	17	9
TCGA-05-4432-01A-01D-1265-08	282	161	21	63	41	34
TCGA-05-4433-01A-22D-1855-08	3	0	1	0	34	0
TCGA-05-4434-01A-01D-1265-08	0	7	7	21	8	1
TCGA-05-5420-01A-01D-1625-08	36	7	6	20	19	0
TCGA-05-5423-01A-01D-1625-08	81	23	15	2	27	7
TCGA-05-5425-01A-02D-1625-08	297	183	28	58	21	0
TCGA-05-5428-01A-01D-1625-08	195	30	125	0	24	26
TCGA-05-5429-01A-01D-1625-08	2	0	5	0	22	5
TCGA-05-5715-01A-01D-1625-08	11	0	83	1	27	0
TCGA-17-Z000-01A-01W-0746-08	43	4	35	20	20	0
TCGA-17-Z001-01A-01W-0746-08	96	59	12	7	17	13
TCGA-17-Z002-01A-01W-0746-08	0	0	3	2	0	1
TCGA-17-Z003-01A-01W-0746-08	65	41	16	81	18	27
TCGA-17-Z004-01A-01W-0746-08	0	0	1	16	3	1
TCGA-17-Z007-01A-01W-0746-08	10	0	1	0	32	23
TCGA-17-Z009-01A-01W-0746-08	20	13	0	4	0	2
TCGA-17-Z011-01A-01W-0746-08	36	42	8	0	13	12
TCGA-17-Z013-01A-01W-0746-08	8	37	1	3	8	0
TCGA-17-Z015-01A-01W-0746-08	278	66	17	31	108	16
TCGA-17-Z017-01A-01W-0746-08	102	75	9	25	9	10
TCGA-17-Z018-01A-01W-0746-08	199	0	13	38	13	0
TCGA-17-Z019-01A-01W-0746-08	0	0	0	1	0	0
TCGA-17-Z020-01A-01W-0746-08	32	44	30	8	6	2
TCGA-17-Z021-01A-01W-0746-08	76	25	4	27	0	1
TCGA-17-Z022-01A-01W-0746-08	744	72	241	163	36	52
TCGA-17-Z023-01A-01W-0746-08	188	23	55	135	9	0
TCGA-17-Z025-01A-01W-0746-08	161	24	3	49	10	6
TCGA-17-Z026-01A-01W-0746-08	322	97	537	37	4	23
TCGA-17-Z027-01A-01W-0746-08	25	0	2	40	15	15
TCGA-17-Z028-01A-01W-0746-08	209	168	53	14	22	24
TCGA-17-Z030-01A-01W-0746-08	337	140	20	32	16	24
TCGA-17-Z031-01A-01W-0746-08	1546	57	20	278	71	440
TCGA-17-Z032-01A-01W-0746-08	36	0	27	18	21	8
TCGA-17-Z033-01A-01W-0746-08	83	8	38	17	4	19
TCGA-17-Z036-01A-01W-0746-08	25	13	9	6	8	16
TCGA-17-Z037-01A-01W-0746-08	8	0	6	0	96	31
TCGA-17-Z041-01A-01W-0746-08	15	0	10	12	12	0
TCGA-17-Z042-01A-01W-0746-08	288	125	21	37	22	6
TCGA-17-Z043-01A-01W-0746-08	68	45	25	60	7	8
TCGA-17-Z044-01A-01W-0746-08	42	28	10	37	4	5
TCGA-17-Z045-01A-01W-0746-08	437	35	32	172	6	34
TCGA-17-Z047-01A-01W-0747-08	0	6	3	7	7	0
TCGA-17-Z048-01A-01W-0746-08	0	0	3	15	8	3
TCGA-17-Z049-01A-01W-0746-08	313	33	43	103	10	7
TCGA-17-Z050-01A-01W-0747-08	62	0	26	46	27	12
TCGA-17-Z051-01A-01W-0747-08	50	40	12	23	12	0
TCGA-17-Z052-01A-01W-0747-08	65	5	2	42	2	2
TCGA-17-Z053-01A-01W-0747-08	106	19	32	72	26	0
TCGA-17-Z054-01A-01W-0747-08	0	3	0	0	1	0
TCGA-17-Z055-01A-01W-0747-08	369	45	25	169	20	7
TCGA-17-Z056-01A-01W-0747-08	211	64	94	86	11	13
TCGA-17-Z057-01A-01W-0747-08	70	48	211	61	24	0
TCGA-17-Z058-01A-01W-0747-08	30	19	3	10	11	5
TCGA-17-Z059-01A-01W-0747-08	84	21	36	0	12	6
TCGA-17-Z061-01A-01W-0747-08	40	50	16	63	2	11
TCGA-17-Z062-01A-01W-0747-08	266	76	22	67	8	4
TCGA-35-4122-01A-01D-1105-08	99	34	48	122	18	9
TCGA-35-4123-01A-01D-1105-08	173	71	10	33	17	0
TCGA-35-5375-01A-01D-1625-08	173	97	36	62	35	37
TCGA-38-4625-01A-01D-1553-08	423	0	123	14	23	28
TCGA-38-4626-01A-01D-1553-08	135	70	7	0	0	6
TCGA-38-4627-01A-01D-1553-08	4	0	4	1	15	4
TCGA-38-4628-01A-01D-1265-08	11	66	18	0	30	1
TCGA-38-4629-01A-02D-1265-08	105	78	30	20	32	20
TCGA-38-4630-01A-01D-1265-08	14	12	58	0	33	8
TCGA-38-4631-01A-01D-1753-08	536	76	27	111	9	15
TCGA-38-4632-01A-01D-1753-08	248	145	32	50	17	34
TCGA-38-6178-01A-11D-1753-08	12	10	6	8	13	5
TCGA-38-7271-01A-11D-2036-08	23	6	22	3	0	0
TCGA-44-2655-01A-01D-1553-08	134	30	12	0	7	5
TCGA-44-2655-01A-01W-0928-08	130	31	14	10	7	3
TCGA-44-2656-01A-02D-0969-08	556	288	18	0	36	17
TCGA-44-2656-01A-02D-A271-08	502	298	9	0	24	0
TCGA-44-2656-01A-02W-0928-08	485	284	13	0	10	17
TCGA-44-2656-01A-12D-A27T-08	517	302	12	0	31	11
TCGA-44-2656-01A-41D-A27T-08	547	296	14	0	33	4
TCGA-44-2656-01B-06D-A271-08	458	255	25	0	11	8
TCGA-44-2657-01A-01D-1105-08	295	2	43	52	27	0
TCGA-44-2661-01A-01D-1105-08	0	18	4	6	8	7
TCGA-44-2662-01A-01D-0969-08	36	0	159	22	3	6
TCGA-44-2662-01A-01D-A271-08	38	0	139	38	0	2
TCGA-44-2662-01A-01W-0928-08	36	0	138	28	0	5
TCGA-44-2662-01B-02D-A271-08	28	0	130	17	3	12
TCGA-44-2665-01A-01D-1040-01	0	0	12	6	20	9
TCGA-44-2665-01A-01D-A271-08	2	0	13	7	19	7
TCGA-44-2665-01A-01W-0928-08	0	0	13	19	13	7
TCGA-44-2665-01B-06D-A271-08	1	0	14	12	15	10
TCGA-44-2666-01A-01D-1489-08	3	0	3	8	11	5
TCGA-44-2666-01A-01D-A271-08	2	2	3	7	10	3
TCGA-44-2666-01A-01W-0928-08	0	6	3	5	14	4
TCGA-44-2666-01A-21D-A27T-08	6	0	3	4	16	5
TCGA-44-2666-01A-41D-A27T-08	2	0	4	10	12	6
TCGA-44-2666-01B-02D-A271-08	3	0	2	1	12	7
TCGA-44-2668-01A-01D-0969-08	214	46	80	35	15	12
TCGA-44-2668-01A-01D-A271-08	199	57	73	11	10	13
TCGA-44-2668-01A-01W-0928-08	224	49	81	26	10	7
TCGA-44-2668-01B-02D-A271-08	144	0	44	39	3	6
TCGA-44-3396-01A-01D-1553-08	26	51	83	0	33	0
TCGA-44-3398-01A-01D-1105-08	91	0	54	25	20	1
TCGA-44-3917-01A-01D-A271-08	78	104	23	12	15	0
TCGA-44-3917-01B-02D-A271-08	75	108	26	13	17	0
TCGA-44-3918-01B-02D-A271-08	685	57	85	86	14	0
TCGA-44-3919-01A-02D-1105-08	0	16	3	8	4	2
TCGA-44-3919-01A-02D-1458-08	0	16	7	10	5	0
TCGA-44-4112-01A-01D-1105-08	293	24	33	56	24	0
TCGA-44-4112-01A-01D-1458-08	300	45	31	51	23	0
TCGA-44-4112-01A-22D-A27T-08	310	39	34	46	36	0
TCGA-44-4112-01A-31D-A27T-08	302	31	95	32	41	0
TCGA-44-4112-01B-06D-A271-08	246	0	30	57	16	0
TCGA-44-5643-01A-01D-1625-08	21	51	29	0	35	2
TCGA-44-5644-01A-21D-2036-08	603	141	59	106	66	21
TCGA-44-5645-01A-01D-1625-08	0	0	0	18	12	6
TCGA-44-5645-01A-01D-A271-08	1	0	0	19	11	5
TCGA-44-5645-01A-21D-A27T-08	1	0	0	21	13	5
TCGA-44-5645-01A-51D-A27T-08	2	0	0	17	14	5
TCGA-44-5645-01B-04D-A271-08	2	1	0	16	15	3
TCGA-44-6144-01A-11D-1753-08	118	12	24	40	20	22
TCGA-44-6145-01A-11D-1753-08	237	25	7	25	14	17
TCGA-44-6147-01A-11D-1753-08	90	49	18	0	13	17
TCGA-44-6147-01A-11D-A271-08	109	35	27	0	16	12
TCGA-44-6147-01A-21D-A27T-08	96	52	21	0	42	15
TCGA-44-6147-01A-31D-A27T-08	57	49	5	0	0	12
TCGA-44-6147-01B-06D-A271-08	66	52	9	0	12	12
TCGA-44-6774-01A-21D-1855-08	222	34	7	33	10	1
TCGA-44-6775-01A-11D-1855-08	18	0	4	25	10	3
TCGA-44-6775-01A-11D-A271-08	11	3	7	21	12	5
TCGA-44-6775-01A-21D-A27T-08	9	15	4	17	9	4
TCGA-44-6775-01A-31D-A27T-08	18	3	7	27	10	1
TCGA-44-6775-01C-02D-A271-08	9	4	3	29	9	1
TCGA-44-6776-01A-11D-1855-08	116	33	9	21	15	6
TCGA-44-6777-01A-11D-1855-08	171	54	78	33	32	4
TCGA-44-6778-01A-11D-1855-08	200	124	14	28	20	19
TCGA-44-6779-01A-11D-1855-08	26	24	6	0	36	9
TCGA-44-7659-01A-11D-2063-08	76	0	11	50	6	9
TCGA-44-7660-01A-11D-2063-08	139	26	35	143	18	0
TCGA-44-7661-01A-11D-2063-08	127	37	42	37	15	3
TCGA-44-7662-01A-11D-2063-08	295	116	66	64	14	29
TCGA-44-7667-01A-31D-2063-08	211	180	16	0	39	38
TCGA-44-7670-01A-11D-2063-08	729	103	155	50	41	58
TCGA-44-7671-01A-11D-2063-08	93	81	11	33	22	0
TCGA-44-7672-01A-11D-2063-08	85	41	6	19	9	2
TCGA-44-8117-01A-11D-2238-08	583	19	44	108	50	8
TCGA-44-8119-01A-11D-2238-08	335	166	23	42	66	34
TCGA-44-8120-01A-11D-2238-08	405	128	36	35	38	3
TCGA-44-A479-01A-31D-A24D-08	224	0	26	14	16	15
TCGA-44-A47A-01A-21D-A24D-08	45	27	66	53	25	0
TCGA-44-A47G-01A-21D-A24D-08	2	37	15	2	9	4
TCGA-44-A4SS-01A-11D-A24P-08	246	34	53	114	25	19
TCGA-44-A4SU-01A-11D-A24P-08	62	18	7	35	25	3
TCGA-49-4487-01A-21D-1855-08	170	74	60	45	3	0
TCGA-49-4488-01A-01D-1753-08	203	14	29	23	7	23
TCGA-49-4490-01A-21D-1855-08	0	0	9	20	10	1
TCGA-49-4494-01A-01D-1265-08	118	35	12	15	20	0
TCGA-49-4501-01A-01D-1265-08	0	12	8	0	19	7
TCGA-49-4505-01A-01D-1931-08	114	25	18	19	36	10
TCGA-49-4506-01A-01D-1265-08	58	0	6	33	13	6
TCGA-49-4510-01A-01D-1265-08	19	0	6	19	3	0
TCGA-49-4512-01A-21D-1855-08	7	2	4	0	15	8
TCGA-49-4514-01A-21D-1855-08	118	72	110	5	29	6
TCGA-49-6743-01A-11D-1855-08	278	51	213	146	31	56
TCGA-49-6744-01A-11D-1855-08	128	53	8	17	5	2
TCGA-49-6745-01A-11D-1855-08	0	20	68	0	29	12
TCGA-49-6761-01A-31D-1945-08	33	46	71	0	14	23
TCGA-49-AAQV-01A-11D-A397-08	4	5	29	16	7	0
TCGA-49-AAR0-01A-21D-A397-08	52	19	18	5	24	18
TCGA-49-AAR3-01A-11D-A410-08	53	3	16	43	4	4
TCGA-49-AAR4-01A-12D-A410-08	307	71	105	61	9	20
TCGA-49-AAR9-01A-21D-A410-08	432	173	14	17	40	9
TCGA-49-AARE-01A-11D-A410-08	843	134	90	121	46	46
TCGA-49-AARN-01A-21D-A410-08	215	0	61	0	0	516
TCGA-49-AARO-01A-12D-A410-08	503	23	36	55	0	9
TCGA-49-AARQ-01A-11D-A410-08	479	109	93	48	27	1
TCGA-49-AARR-01A-11D-A410-08	1	0	0	0	0	0
TCGA-4B-A93V-01A-11D-A397-08	64	30	9	19	9	12
TCGA-50-5044-01A-21D-1855-08	0	0	103	23	4	0
TCGA-50-5045-01A-01D-1625-08	232	0	19	30	5	0
TCGA-50-5051-01A-21D-1855-08	66	6	7	18	19	0
TCGA-50-5055-01A-01D-1625-08	0	0	0	6	4	0
TCGA-50-5066-01A-01D-1625-08	146	30	23	44	2	27
TCGA-50-5066-02A-11D-2107-08	153	103	20	50	15	45
TCGA-50-5068-01A-01D-1625-08	34	0	8	23	26	0
TCGA-50-5072-01A-21D-1855-08	67	26	18	28	14	13
TCGA-50-5930-01A-11D-1753-08	828	216	13	54	31	25
TCGA-50-5931-01A-11D-1753-08	164	28	23	92	15	0
TCGA-50-5932-01A-11D-1753-08	47	25	1	0	5	0
TCGA-50-5935-01A-11D-1753-08	0	0	54	28	11	1
TCGA-50-5939-01A-11D-1625-08	5	6	17	20	14	11
TCGA-50-5941-01A-11D-1753-08	205	52	29	81	13	0
TCGA-50-5942-01A-21D-1753-08	25	3	2	13	4	9
TCGA-50-5946-01A-11D-1753-08	376	0	153	117	49	0
TCGA-50-5946-02A-11D-2107-08	387	0	173	129	51	0
TCGA-50-6590-01A-12D-1855-08	490	85	183	137	7	1
TCGA-50-6591-01A-11D-1753-08	0	28	4	0	9	9
TCGA-50-6592-01A-11D-1753-08	55	147	53	9	20	16
TCGA-50-6593-01A-11D-1753-08	170	47	14	59	15	18
TCGA-50-6594-01A-11D-1753-08	324	115	52	31	11	14
TCGA-50-6595-01A-12D-1855-08	0	40	22	0	6	12
TCGA-50-6597-01A-11D-1855-08	0	12	18	0	13	11
TCGA-50-6673-01A-11D-1945-08	2	2	7	18	20	2
TCGA-50-7109-01A-11D-2036-08	139	17	7	57	27	4
TCGA-50-8457-01A-11D-2323-08	15	11	5	13	9	2
TCGA-50-8460-01A-11D-2323-08	5	1	4	0	11	8
TCGA-53-7624-01A-11D-2063-08	376	154	162	94	43	14
TCGA-53-7626-01A-12D-2063-08	242	0	43	77	3	0
TCGA-53-7813-01A-11D-2167-08	67	68	0	0	19	2
TCGA-55-1592-01A-01D-0969-08	155	122	59	168	19	25
TCGA-55-1592-01A-01W-0928-08	145	118	58	167	23	11
TCGA-55-1594-01A-01D-1040-01	31	35	63	0	20	10
TCGA-55-1594-01A-01W-0928-08	24	43	64	0	13	9
TCGA-55-1595-01A-01D-0969-08	183	73	14	46	16	2
TCGA-55-1596-01A-01D-1040-01	49	62	9	64	13	1
TCGA-55-1596-01A-01W-0928-08	51	57	7	69	8	0
TCGA-55-5899-01A-11D-1625-08	232	79	114	13	21	15
TCGA-55-6543-01A-11D-1753-08	0	3	2	0	16	1
TCGA-55-6642-01A-11D-1855-08	76	11	7	18	9	7
TCGA-55-6712-01A-11D-1855-08	18	19	75	13	12	0
TCGA-55-6968-01A-11D-1945-08	73	82	371	0	1	0
TCGA-55-6969-01A-11D-1945-08	187	107	10	66	6	35
TCGA-55-6971-01A-11D-1945-08	28	20	5	23	1	7
TCGA-55-6972-01A-11D-1945-08	67	26	121	0	15	47
TCGA-55-6975-01A-11D-1945-08	15	23	9	5	15	4
TCGA-55-6978-01A-11D-1945-08	0	0	0	12	8	7
TCGA-55-6979-01A-11D-1945-08	52	0	31	31	0	0
TCGA-55-6980-01A-11D-1945-08	0	3	0	5	3	0
TCGA-55-6981-01A-11D-1945-08	0	15	7	5	22	0
TCGA-55-6982-01A-11D-1945-08	10	0	177	20	14	0
TCGA-55-6984-01A-11D-1945-08	0	13	0	4	3	0
TCGA-55-6985-01A-11D-1945-08	287	84	5	58	24	0
TCGA-55-6986-01A-11D-1945-08	0	0	1	10	7	0
TCGA-55-6987-01A-11D-1945-08	57	31	62	25	8	0
TCGA-55-7281-01A-11D-2036-08	215	140	43	41	14	9
TCGA-55-7283-01A-11D-2036-08	71	41	46	6	49	15
TCGA-55-7284-01B-11D-2238-08	0	8	1	1	24	9
TCGA-55-7570-01A-11D-2036-08	130	46	88	122	7	0
TCGA-55-7573-01A-11D-2036-08	13	17	6	12	1	2
TCGA-55-7574-01A-11D-2036-08	47	40	115	27	4	0
TCGA-55-7576-01A-11D-2063-08	173	128	21	28	31	15
TCGA-55-7724-01A-11D-2167-08	29	38	29	72	31	12
TCGA-55-7725-01A-11D-2167-08	81	0	5	37	12	6
TCGA-55-7726-01A-11D-2167-08	9	0	75	7	24	0
TCGA-55-7727-01A-11D-2167-08	90	30	95	0	22	28
TCGA-55-7903-01A-11D-2167-08	54	38	20	3	34	7
TCGA-55-7907-01A-11D-2167-08	753	106	220	120	32	0
TCGA-55-7910-01A-11D-2167-08	180	103	6	0	34	0
TCGA-55-7911-01A-11D-2167-08	93	96	22	17	15	0
TCGA-55-7913-01B-11D-2238-08	165	110	37	0	28	14
TCGA-55-7914-01A-11D-2167-08	82	3	26	34	36	1
TCGA-55-7994-01A-11D-2184-08	986	301	94	168	80	7
TCGA-55-7995-01A-11D-2184-08	326	142	99	76	14	45
TCGA-55-8085-01A-11D-2238-08	88	17	124	13	32	12
TCGA-55-8087-01A-11D-2238-08	0	3	7	2	15	0
TCGA-55-8089-01A-11D-2238-08	590	241	396	21	32	25
TCGA-55-8090-01A-11D-2238-08	25	42	1	14	8	2
TCGA-55-8091-01A-11D-2238-08	0	0	1	0	20	0
TCGA-55-8092-01A-11D-2238-08	250	97	133	0	69	53
TCGA-55-8094-01A-11D-2238-08	290	60	15	40	26	46
TCGA-55-8096-01A-11D-2238-08	64	44	8	7	21	6
TCGA-55-8097-01A-11D-2238-08	31	33	9	0	38	2
TCGA-55-8203-01A-11D-2238-08	299	75	4	33	41	0
TCGA-55-8204-01A-11D-2238-08	34	61	81	35	21	0
TCGA-55-8206-01A-11D-2238-08	6	0	3	0	12	5
TCGA-55-8208-01A-11D-2238-08	47	51	158	72	9	1
TCGA-55-8299-01A-11D-2284-08	97	25	11	46	1	10
TCGA-55-8301-01A-11D-2284-08	140	37	30	65	13	9
TCGA-55-8506-01A-11D-2393-08	925	125	23	66	595	26
TCGA-55-8507-01A-11D-2393-08	647	240	32	27	55	33
TCGA-55-8510-01A-11D-2393-08	174	75	28	37	10	0
TCGA-55-8511-01A-11D-2393-08	317	60	74	49	37	47
TCGA-55-8512-01A-11D-2393-08	7	24	4	2	2	1
TCGA-55-8514-01A-11D-2393-08	148	94	10	3	41	0
TCGA-55-8614-01A-11D-2393-08	45	49	31	65	57	0
TCGA-55-8615-01A-11D-2393-08	33	47	2	22	10	13
TCGA-55-8616-01A-11D-2393-08	360	79	16	21	47	0
TCGA-55-8620-01A-11D-2393-08	281	95	23	57	53	13
TCGA-55-8621-01A-11D-2393-08	28	7	4	7	7	0
TCGA-55-A48X-01A-11D-A24D-08	251	53	30	32	13	9
TCGA-55-A48Y-01A-11D-A24D-08	0	0	339	2	27	0
TCGA-55-A48Z-01A-12D-A24P-08	12	11	4	6	17	7
TCGA-55-A490-01A-11D-A24D-08	955	127	119	112	42	16
TCGA-55-A491-01A-11D-A24D-08	236	8	32	75	29	15
TCGA-55-A492-01A-11D-A24D-08	156	22	18	64	19	11
TCGA-55-A493-01A-11D-A24D-08	102	46	69	5	25	21
TCGA-55-A494-01A-11D-A24P-08	122	50	14	0	55	7
TCGA-55-A4DF-01A-11D-A24D-08	108	82	576	24	45	4
TCGA-55-A4DG-01A-11D-A24D-08	471	100	19	98	35	0
TCGA-55-A57B-01A-12D-A397-08	3	5	6	0	19	4
TCGA-62-8394-01A-11D-2323-08	21	5	43	37	21	10
TCGA-62-8395-01A-11D-2323-08	4	4	18	14	33	0
TCGA-62-8397-01A-11D-2323-08	7	1	2	0	10	5
TCGA-62-8398-01A-11D-2323-08	36	0	11	13	14	10
