Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-05-4244-01A-01D-1105-08	97	48	23	4	28	20	0
TCGA-05-4250-01A-01D-1105-08	172	46	23	45	65	22	7
TCGA-05-4382-01A-01D-1931-08	1238	101	97	189	69	48	49
TCGA-05-4384-01A-01D-1753-08	60	23	0	11	26	11	5
TCGA-05-4389-01A-01D-1265-08	62	0	19	71	35	33	19
TCGA-05-4390-01A-02D-1753-08	356	80	61	1	42	19	12
TCGA-05-4395-01A-01D-1265-08	76	46	39	87	0	21	12
TCGA-05-4396-01A-21D-1855-08	84	86	32	10	8	24	6
TCGA-05-4397-01A-01D-1265-08	308	102	183	128	91	22	41
TCGA-05-4398-01A-01D-1265-08	332	134	71	68	37	40	58
TCGA-05-4402-01A-01D-1265-08	0	0	43	70	2	9	0
TCGA-05-4403-01A-01D-1265-08	7	62	29	0	0	37	2
TCGA-05-4405-01A-21D-1855-08	199	33	48	13	51	23	20
TCGA-05-4410-01A-21D-1855-08	602	137	176	113	47	32	22
TCGA-05-4415-01A-22D-1855-08	118	18	28	0	30	12	2
TCGA-05-4417-01A-22D-1855-08	165	5	79	0	40	15	12
TCGA-05-4418-01A-01D-1265-08	119	62	0	13	78	14	4
TCGA-05-4420-01A-01D-1265-08	170	0	36	18	57	10	9
TCGA-05-4422-01A-01D-1265-08	8	13	0	14	0	8	2
TCGA-05-4424-01A-22D-1855-08	429	35	87	70	47	23	21
TCGA-05-4425-01A-01D-1753-08	0	14	0	0	1	22	3
TCGA-05-4426-01A-01D-1265-08	6	0	12	6	1	15	5
TCGA-05-4427-01A-21D-1855-08	513	138	194	33	44	40	82
TCGA-05-4430-01A-02D-1265-08	158	27	12	12	43	13	8
TCGA-05-4432-01A-01D-1265-08	254	102	125	5	40	37	39
TCGA-05-4433-01A-22D-1855-08	3	0	2	1	0	32	0
TCGA-05-4434-01A-01D-1265-08	0	0	17	5	15	6	1
TCGA-05-5420-01A-01D-1625-08	26	31	0	4	11	16	0
TCGA-05-5423-01A-01D-1625-08	63	55	0	11	0	23	3
TCGA-05-5425-01A-02D-1625-08	254	162	112	5	36	17	1
TCGA-05-5428-01A-01D-1625-08	181	59	0	119	2	21	18
TCGA-05-5429-01A-01D-1625-08	3	0	0	5	0	21	5
TCGA-05-5715-01A-01D-1625-08	0	0	30	71	0	21	0
TCGA-17-Z000-01A-01W-0746-08	36	6	17	33	7	19	4
TCGA-17-Z001-01A-01W-0746-08	90	49	15	8	17	15	10
TCGA-17-Z002-01A-01W-0746-08	0	0	0	4	1	0	1
TCGA-17-Z003-01A-01W-0746-08	55	26	47	11	68	13	28
TCGA-17-Z004-01A-01W-0746-08	0	0	2	1	15	2	1
TCGA-17-Z007-01A-01W-0746-08	10	0	0	1	0	31	24
TCGA-17-Z009-01A-01W-0746-08	23	0	8	0	5	0	3
TCGA-17-Z011-01A-01W-0746-08	24	66	0	3	2	11	5
TCGA-17-Z013-01A-01W-0746-08	5	23	22	0	0	7	0
TCGA-17-Z015-01A-01W-0746-08	253	0	121	6	12	97	27
TCGA-17-Z017-01A-01W-0746-08	96	50	36	4	27	8	9
TCGA-17-Z018-01A-01W-0746-08	187	0	23	11	28	10	4
TCGA-17-Z019-01A-01W-0746-08	0	1	0	0	0	0	0
TCGA-17-Z020-01A-01W-0746-08	38	0	29	27	21	5	2
TCGA-17-Z021-01A-01W-0746-08	71	0	45	1	9	0	7
TCGA-17-Z022-01A-01W-0746-08	698	147	31	225	134	29	44
TCGA-17-Z023-01A-01W-0746-08	164	1	109	45	81	5	5
TCGA-17-Z025-01A-01W-0746-08	139	48	34	0	17	9	6
TCGA-17-Z026-01A-01W-0746-08	279	171	46	501	21	2	0
TCGA-17-Z027-01A-01W-0746-08	25	1	0	3	42	12	14
TCGA-17-Z028-01A-01W-0746-08	216	34	105	43	48	18	26
TCGA-17-Z030-01A-01W-0746-08	295	173	50	3	22	13	13
TCGA-17-Z031-01A-01W-0746-08	1443	0	256	5	209	58	441
TCGA-17-Z032-01A-01W-0746-08	35	0	4	25	22	18	6
TCGA-17-Z033-01A-01W-0746-08	79	8	10	36	18	2	16
TCGA-17-Z036-01A-01W-0746-08	28	4	2	10	6	9	18
TCGA-17-Z037-01A-01W-0746-08	8	0	3	7	0	88	35
TCGA-17-Z041-01A-01W-0746-08	11	0	14	9	4	11	0
TCGA-17-Z042-01A-01W-0746-08	272	53	89	10	51	17	7
TCGA-17-Z043-01A-01W-0746-08	63	13	46	21	58	3	9
TCGA-17-Z044-01A-01W-0746-08	26	60	9	5	18	3	5
TCGA-17-Z045-01A-01W-0746-08	379	54	147	14	71	5	46
TCGA-17-Z047-01A-01W-0747-08	0	0	15	1	0	6	1
TCGA-17-Z048-01A-01W-0746-08	0	0	6	2	7	8	6
