NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	140.812	71.589	21.261	53.67	0.546	0.731	50000.0
2	140.509	71.177	21.074	53.532	0.544	0.731	60000.0
3	140.031	70.672	21.102	53.105	0.541	0.737	70000.0
4	139.601	70.67	21.177	53.187	0.538	0.738	40000.0
5	139.037	70.112	20.945	52.706	0.535	0.743	50000.0
6	140.244	70.589	21.173	53.143	0.536	0.737	60000.0
7	140.365	71.36	21.213	53.404	0.546	0.735	130000.0
8	141.248	71.147	21.419	53.49	0.543	0.735	80000.0
9	139.825	71.043	21.114	53.392	0.545	0.735	60000.0
10	141.936	71.288	21.529	53.653	0.544	0.734	80000.0
