Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-05-4244-01A-01D-1105-08	82	52	8	20	13	26	18	1
TCGA-05-4250-01A-01D-1105-08	154	42	46	50	21	40	21	6
TCGA-05-4382-01A-01D-1931-08	1066	295	195	63	15	58	48	51
TCGA-05-4384-01A-01D-1753-08	49	20	11	0	18	23	10	5
TCGA-05-4389-01A-01D-1265-08	44	17	66	62	0	3	31	16
TCGA-05-4390-01A-02D-1753-08	336	29	4	142	34	0	16	10
TCGA-05-4395-01A-01D-1265-08	85	15	93	0	39	20	19	10
TCGA-05-4396-01A-21D-1855-08	87	28	15	20	61	7	22	10
TCGA-05-4397-01A-01D-1265-08	253	149	141	143	90	54	19	26
TCGA-05-4398-01A-01D-1265-08	278	144	76	43	68	45	36	50
TCGA-05-4402-01A-01D-1265-08	0	2	76	37	0	0	9	0
TCGA-05-4403-01A-01D-1265-08	10	29	5	0	47	8	34	4
TCGA-05-4405-01A-21D-1855-08	152	104	17	0	33	42	21	18
TCGA-05-4410-01A-21D-1855-08	467	291	127	0	140	65	27	12
TCGA-05-4415-01A-22D-1855-08	95	42	0	12	28	20	11	0
TCGA-05-4417-01A-22D-1855-08	100	138	2	0	21	34	14	7
TCGA-05-4418-01A-01D-1265-08	124	0	13	61	27	44	12	9
TCGA-05-4420-01A-01D-1265-08	137	31	15	92	0	12	8	5
TCGA-05-4422-01A-01D-1265-08	4	11	13	0	6	0	8	3
TCGA-05-4424-01A-22D-1855-08	368	138	79	45	3	41	23	15
TCGA-05-4425-01A-01D-1753-08	0	0	1	9	7	0	21	2
TCGA-05-4426-01A-01D-1265-08	0	10	6	0	12	0	14	3
TCGA-05-4427-01A-21D-1855-08	455	159	48	175	99	6	36	66
TCGA-05-4430-01A-02D-1265-08	145	0	11	96	0	5	11	5
TCGA-05-4432-01A-01D-1265-08	221	99	14	80	106	29	30	23
TCGA-05-4433-01A-22D-1855-08	3	0	1	0	0	4	30	0
TCGA-05-4434-01A-01D-1265-08	0	8	6	5	4	16	5	0
TCGA-05-5420-01A-01D-1625-08	29	0	4	11	23	7	14	0
TCGA-05-5423-01A-01D-1625-08	77	0	14	0	25	13	21	5
TCGA-05-5425-01A-02D-1625-08	249	97	22	76	90	36	15	2
TCGA-05-5428-01A-01D-1625-08	167	31	117	0	40	2	20	23
TCGA-05-5429-01A-01D-1625-08	2	2	5	0	0	0	20	5
TCGA-05-5715-01A-01D-1625-08	8	2	79	2	7	0	24	0
TCGA-17-Z000-01A-01W-0746-08	34	10	33	0	13	16	16	0
TCGA-17-Z001-01A-01W-0746-08	79	30	10	0	43	22	12	8
TCGA-17-Z002-01A-01W-0746-08	0	0	4	0	0	1	0	1
TCGA-17-Z003-01A-01W-0746-08	61	0	13	69	26	47	10	22
TCGA-17-Z004-01A-01W-0746-08	0	1	1	4	0	12	2	1
TCGA-17-Z007-01A-01W-0746-08	3	11	0	0	0	0	30	22
TCGA-17-Z009-01A-01W-0746-08	13	15	0	2	5	3	0	1
TCGA-17-Z011-01A-01W-0746-08	29	18	7	9	23	4	11	10
TCGA-17-Z013-01A-01W-0746-08	4	14	0	0	30	3	6	0
TCGA-17-Z015-01A-01W-0746-08	211	68	10	127	0	0	87	13
TCGA-17-Z017-01A-01W-0746-08	92	18	6	69	30	3	6	6
TCGA-17-Z018-01A-01W-0746-08	128	89	11	6	0	19	9	1
TCGA-17-Z019-01A-01W-0746-08	0	0	0	0	1	0	0	0
TCGA-17-Z020-01A-01W-0746-08	8	53	27	23	0	5	5	1
TCGA-17-Z021-01A-01W-0746-08	28	80	3	0	11	11	0	0
TCGA-17-Z022-01A-01W-0746-08	628	101	222	172	58	58	26	43
TCGA-17-Z023-01A-01W-0746-08	158	19	49	99	27	56	2	0
TCGA-17-Z025-01A-01W-0746-08	134	32	1	28	27	20	7	4
TCGA-17-Z026-01A-01W-0746-08	255	98	505	38	89	14	4	17
TCGA-17-Z027-01A-01W-0746-08	19	0	1	37	0	16	11	13
TCGA-17-Z028-01A-01W-0746-08	119	203	49	0	39	46	16	18
TCGA-17-Z030-01A-01W-0746-08	279	88	14	69	78	10	12	19
TCGA-17-Z031-01A-01W-0746-08	1208	435	13	94	18	207	51	386
TCGA-17-Z032-01A-01W-0746-08	33	0	24	18	0	13	16	6
TCGA-17-Z033-01A-01W-0746-08	53	39	35	16	3	5	3	15
TCGA-17-Z036-01A-01W-0746-08	23	0	8	18	8	0	7	13
TCGA-17-Z037-01A-01W-0746-08	0	16	5	5	0	0	84	31
TCGA-17-Z041-01A-01W-0746-08	11	0	9	19	0	1	9	0
TCGA-17-Z042-01A-01W-0746-08	226	98	16	104	24	14	15	2
TCGA-17-Z043-01A-01W-0746-08	52	21	22	73	10	28	2	5
TCGA-17-Z044-01A-01W-0746-08	35	6	9	0	46	26	1	3
TCGA-17-Z045-01A-01W-0746-08	297	177	23	51	77	59	2	30
TCGA-17-Z047-01A-01W-0747-08	0	2	3	4	8	0	6	0
TCGA-17-Z048-01A-01W-0746-08	0	0	2	14	0	3	7	3
TCGA-17-Z049-01A-01W-0746-08	250	60	36	88	29	35	5	6
TCGA-17-Z050-01A-01W-0747-08	61	0	25	11	0	45	20	11
TCGA-17-Z051-01A-01W-0747-08	38	23	10	0	36	22	8	0
TCGA-17-Z052-01A-01W-0747-08	55	12	2	0	16	31	0	2
TCGA-17-Z053-01A-01W-0747-08	98	0	29	25	39	45	19	0
TCGA-17-Z054-01A-01W-0747-08	0	0	0	2	1	0	1	0
TCGA-17-Z055-01A-01W-0747-08	281	94	18	145	9	75	9	4
TCGA-17-Z056-01A-01W-0747-08	180	15	83	135	39	13	5	9
TCGA-17-Z057-01A-01W-0747-08	66	0	197	121	0	9	21	0
TCGA-17-Z058-01A-01W-0747-08	19	19	3	0	15	9	8	5
TCGA-17-Z059-01A-01W-0747-08	64	35	33	9	3	0	10	5
TCGA-17-Z061-01A-01W-0747-08	34	5	13	39	55	27	0	9
TCGA-17-Z062-01A-01W-0747-08	203	72	16	144	0	0	5	3
TCGA-35-4122-01A-01D-1105-08	82	2	41	103	42	41	11	8
TCGA-35-4123-01A-01D-1105-08	161	0	5	68	57	0	13	0
TCGA-35-5375-01A-01D-1625-08	129	83	33	0	78	61	26	30
TCGA-38-4625-01A-01D-1553-08	355	70	116	0	9	22	19	20
TCGA-38-4626-01A-01D-1553-08	106	62	5	20	20	0	0	5
TCGA-38-4627-01A-01D-1553-08	0	8	4	0	0	0	13	3
TCGA-38-4628-01A-01D-1265-08	4	30	16	19	31	0	25	1
TCGA-38-4629-01A-02D-1265-08	61	73	25	23	58	4	26	15
TCGA-38-4630-01A-01D-1265-08	0	32	55	0	0	0	30	8
TCGA-38-4631-01A-01D-1753-08	449	75	18	81	105	31	4	11
TCGA-38-4632-01A-01D-1753-08	195	106	28	0	110	48	11	28
TCGA-38-6178-01A-11D-1753-08	4	12	5	5	9	5	10	4
TCGA-38-7271-01A-11D-2036-08	21	0	19	14	0	0	0	0
TCGA-44-2655-01A-01D-1553-08	114	34	11	0	6	12	6	5
TCGA-44-2655-01A-01W-0928-08	97	54	13	0	7	15	6	3
TCGA-44-2656-01A-02D-0969-08	372	365	13	63	52	3	33	14
TCGA-44-2656-01A-02D-A271-08	346	329	5	81	45	4	23	0
TCGA-44-2656-01A-02W-0928-08	326	314	8	72	65	2	9	13
TCGA-44-2656-01A-12D-A27T-08	357	322	6	93	59	0	28	8
TCGA-44-2656-01A-41D-A27T-08	383	333	10	96	29	12	29	2
TCGA-44-2656-01B-06D-A271-08	300	327	22	29	39	24	11	5
TCGA-44-2657-01A-01D-1105-08	244	33	37	79	0	5	21	0
TCGA-44-2661-01A-01D-1105-08	0	0	3	7	16	5	6	6
TCGA-44-2662-01A-01D-0969-08	23	7	147	43	0	0	2	4
TCGA-44-2662-01A-01D-A271-08	28	4	128	47	0	7	0	3
TCGA-44-2662-01A-01W-0928-08	29	0	128	39	0	7	0	4
TCGA-44-2662-01B-02D-A271-08	14	13	118	29	0	5	2	9
TCGA-44-2665-01A-01D-1040-01	0	0	11	4	0	10	16	6
TCGA-44-2665-01A-01D-A271-08	1	0	12	5	0	10	15	5
TCGA-44-2665-01A-01W-0928-08	0	0	13	6	0	20	9	4
TCGA-44-2665-01B-06D-A271-08	1	0	13	4	0	16	11	7
TCGA-44-2666-01A-01D-1489-08	0	7	3	0	0	9	8	3
TCGA-44-2666-01A-01D-A271-08	0	5	2	4	2	4	8	2
TCGA-44-2666-01A-01W-0928-08	0	1	3	10	1	2	12	3
TCGA-44-2666-01A-21D-A27T-08	2	6	3	1	2	4	12	4
TCGA-44-2666-01A-41D-A27T-08	0	2	4	8	0	7	8	5
TCGA-44-2666-01B-02D-A271-08	0	4	1	1	4	0	10	5
TCGA-44-2668-01A-01D-0969-08	99	187	73	0	4	21	12	6
TCGA-44-2668-01A-01D-A271-08	78	201	66	0	1	2	9	6
TCGA-44-2668-01A-01W-0928-08	111	188	74	0	0	13	8	3
TCGA-44-2668-01B-02D-A271-08	57	128	39	0	0	7	3	2
TCGA-44-3396-01A-01D-1553-08	25	5	77	0	59	0	27	0
TCGA-44-3398-01A-01D-1105-08	60	40	50	0	0	27	14	0
TCGA-44-3917-01A-01D-A271-08	56	55	19	61	30	0	11	0
TCGA-44-3917-01B-02D-A271-08	51	59	21	67	28	0	13	0
TCGA-44-3918-01B-02D-A271-08	528	186	74	111	12	4	12	0
TCGA-44-3919-01A-02D-1105-08	0	7	3	0	6	14	2	1
TCGA-44-3919-01A-02D-1458-08	0	8	7	0	7	13	3	0
TCGA-44-4112-01A-01D-1105-08	220	85	29	61	0	15	20	0
