Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-05-4244-01A-01D-1105-08	91	16	30	9	9	21	26	18	0
TCGA-05-4250-01A-01D-1105-08	107	74	61	49	1	21	47	20	0
TCGA-05-4382-01A-01D-1931-08	1014	135	284	198	15	47	32	39	27
TCGA-05-4384-01A-01D-1753-08	49	22	3	13	0	17	19	10	3
TCGA-05-4389-01A-01D-1265-08	44	0	39	68	20	0	25	32	11
TCGA-05-4390-01A-02D-1753-08	368	0	39	8	8	95	27	13	13
TCGA-05-4395-01A-01D-1265-08	73	28	0	76	59	20	0	18	7
TCGA-05-4396-01A-21D-1855-08	18	117	46	17	1	23	0	23	5
TCGA-05-4397-01A-01D-1265-08	242	61	138	118	116	100	62	15	23
TCGA-05-4398-01A-01D-1265-08	197	154	154	85	0	52	31	35	32
TCGA-05-4402-01A-01D-1265-08	0	0	0	43	75	0	0	6	0
TCGA-05-4403-01A-01D-1265-08	0	44	15	6	2	26	7	35	2
TCGA-05-4405-01A-21D-1855-08	200	0	16	9	33	62	34	16	17
TCGA-05-4410-01A-21D-1855-08	559	44	114	108	87	159	29	20	9
TCGA-05-4415-01A-22D-1855-08	123	1	0	0	19	33	22	9	1
TCGA-05-4417-01A-22D-1855-08	114	20	95	3	8	36	23	12	5
TCGA-05-4418-01A-01D-1265-08	49	108	41	18	0	0	55	14	5
TCGA-05-4420-01A-01D-1265-08	68	64	112	20	0	0	24	10	2
TCGA-05-4422-01A-01D-1265-08	1	12	4	16	0	5	0	7	0
TCGA-05-4424-01A-22D-1855-08	333	84	79	49	110	0	19	20	18
TCGA-05-4425-01A-01D-1753-08	0	7	0	2	1	1	5	21	3
TCGA-05-4426-01A-01D-1265-08	5	0	0	5	5	15	0	13	2
TCGA-05-4427-01A-21D-1855-08	261	263	270	34	93	17	0	40	66
TCGA-05-4430-01A-02D-1265-08	106	48	52	12	13	0	23	12	7
TCGA-05-4432-01A-01D-1265-08	192	84	100	13	23	110	30	28	22
TCGA-05-4433-01A-22D-1855-08	1	3	0	0	5	0	1	28	0
TCGA-05-4434-01A-01D-1265-08	0	0	4	3	14	7	11	5	0
TCGA-05-5420-01A-01D-1625-08	22	18	0	5	1	20	8	14	0
TCGA-05-5423-01A-01D-1625-08	27	73	14	14	0	0	4	21	2
TCGA-05-5425-01A-02D-1625-08	180	150	93	10	55	38	38	16	7
TCGA-05-5428-01A-01D-1625-08	195	0	0	123	0	56	2	17	7
TCGA-05-5429-01A-01D-1625-08	2	0	2	6	0	0	0	20	4
TCGA-05-5715-01A-01D-1625-08	0	0	0	48	57	0	0	17	0
TCGA-17-Z000-01A-01W-0746-08	33	10	0	27	20	9	8	15	0
TCGA-17-Z001-01A-01W-0746-08	97	12	0	13	0	47	20	10	5
TCGA-17-Z002-01A-01W-0746-08	0	0	0	2	3	0	0	0	1
TCGA-17-Z003-01A-01W-0746-08	32	42	20	5	40	20	55	11	23
TCGA-17-Z004-01A-01W-0746-08	0	0	0	0	7	0	11	2	1
TCGA-17-Z007-01A-01W-0746-08	7	0	6	1	3	0	0	28	21
TCGA-17-Z009-01A-01W-0746-08	15	3	11	0	0	8	1	0	1
TCGA-17-Z011-01A-01W-0746-08	23	26	11	10	0	18	8	10	5
TCGA-17-Z013-01A-01W-0746-08	11	4	0	0	3	32	2	5	0
TCGA-17-Z015-01A-01W-0746-08	141	73	128	0	69	0	0	87	18
TCGA-17-Z017-01A-01W-0746-08	105	9	8	5	17	54	19	5	8
TCGA-17-Z018-01A-01W-0746-08	156	0	51	7	22	0	16	8	3
TCGA-17-Z019-01A-01W-0746-08	0	0	0	0	0	0	1	0	0
TCGA-17-Z020-01A-01W-0746-08	6	4	63	30	2	0	11	6	0
TCGA-17-Z021-01A-01W-0746-08	46	0	54	4	0	18	10	0	1
TCGA-17-Z022-01A-01W-0746-08	544	168	123	205	105	46	64	24	29
TCGA-17-Z023-01A-01W-0746-08	59	105	77	21	100	0	40	4	4
TCGA-17-Z025-01A-01W-0746-08	141	21	1	0	10	51	21	5	3
TCGA-17-Z026-01A-01W-0746-08	264	43	44	451	217	0	0	1	0
TCGA-17-Z027-01A-01W-0746-08	8	18	9	2	10	1	26	11	12
TCGA-17-Z028-01A-01W-0746-08	186	0	88	44	35	80	33	12	12
TCGA-17-Z030-01A-01W-0746-08	256	114	49	16	11	82	18	10	13
TCGA-17-Z031-01A-01W-0746-08	1139	227	297	0	138	38	160	44	369
TCGA-17-Z032-01A-01W-0746-08	30	0	0	15	31	0	10	16	8
TCGA-17-Z033-01A-01W-0746-08	62	3	27	36	8	17	6	1	9
TCGA-17-Z036-01A-01W-0746-08	18	0	14	11	0	16	1	7	10
TCGA-17-Z037-01A-01W-0746-08	2	0	8	4	9	6	0	83	29
TCGA-17-Z041-01A-01W-0746-08	10	0	6	5	14	0	4	10	0
TCGA-17-Z042-01A-01W-0746-08	267	0	60	9	43	67	34	13	6
TCGA-17-Z043-01A-01W-0746-08	37	23	41	13	41	5	39	4	10
TCGA-17-Z044-01A-01W-0746-08	17	41	0	7	8	30	20	1	2
TCGA-17-Z045-01A-01W-0746-08	318	66	70	0	120	65	38	0	39
