Samples	SBS1	SBS2	SBS4	SBS5	SBS6	SBS13
TCGA-05-4244-01A-01D-1105-08	4	0	150	47	19	0
TCGA-05-4250-01A-01D-1105-08	15	0	223	142	0	0
TCGA-05-4382-01A-01D-1931-08	45	97	1508	65	0	76
TCGA-05-4384-01A-01D-1753-08	0	0	81	41	14	0
TCGA-05-4389-01A-01D-1265-08	23	34	81	70	0	31
TCGA-05-4390-01A-02D-1753-08	15	0	470	86	0	0
TCGA-05-4395-01A-01D-1265-08	13	42	121	60	0	45
TCGA-05-4396-01A-21D-1855-08	15	0	154	81	0	0
TCGA-05-4397-01A-01D-1265-08	20	63	467	256	0	69
TCGA-05-4398-01A-01D-1265-08	29	46	483	153	0	29
TCGA-05-4402-01A-01D-1265-08	7	26	0	44	0	47
TCGA-05-4403-01A-01D-1265-08	9	0	51	46	31	0
TCGA-05-4405-01A-21D-1855-08	11	0	264	112	0	0
TCGA-05-4410-01A-21D-1855-08	31	63	826	155	0	54
TCGA-05-4415-01A-22D-1855-08	8	0	160	40	0	0
TCGA-05-4417-01A-22D-1855-08	12	0	223	81	0	0
TCGA-05-4418-01A-01D-1265-08	9	0	160	121	0	0
TCGA-05-4420-01A-01D-1265-08	5	0	212	83	0	0
TCGA-05-4422-01A-01D-1265-08	5	9	14	14	0	3
TCGA-05-4424-01A-22D-1855-08	16	0	533	163	0	0
TCGA-05-4425-01A-01D-1753-08	16	0	0	24	0	0
TCGA-05-4426-01A-01D-1265-08	12	0	0	33	0	0
TCGA-05-4427-01A-21D-1855-08	26	0	729	289	0	0
TCGA-05-4430-01A-02D-1265-08	7	0	197	69	0	0
TCGA-05-4432-01A-01D-1265-08	23	0	390	189	0	0
TCGA-05-4433-01A-22D-1855-08	15	0	0	7	16	0
TCGA-05-4434-01A-01D-1265-08	5	0	0	39	0	0
TCGA-05-5420-01A-01D-1625-08	8	0	42	38	0	0
TCGA-05-5423-01A-01D-1625-08	16	0	104	35	0	0
TCGA-05-5425-01A-02D-1625-08	12	0	417	158	0	0
TCGA-05-5428-01A-01D-1625-08	17	64	243	31	0	45
TCGA-05-5429-01A-01D-1625-08	17	4	0	13	0	0
TCGA-05-5715-01A-01D-1625-08	6	32	0	14	23	47
TCGA-17-Z000-01A-01W-0746-08	13	15	55	23	0	16
TCGA-17-Z001-01A-01W-0746-08	0	0	134	51	19	0
TCGA-17-Z002-01A-01W-0746-08	0	1	0	2	0	3
TCGA-17-Z003-01A-01W-0746-08	8	0	96	144	0	0
TCGA-17-Z004-01A-01W-0746-08	2	0	0	19	0	0
TCGA-17-Z007-01A-01W-0746-08	27	0	0	39	0	0
TCGA-17-Z009-01A-01W-0746-08	0	0	28	11	0	0
TCGA-17-Z011-01A-01W-0746-08	9	7	63	32	0	0
TCGA-17-Z013-01A-01W-0746-08	5	0	25	27	0	0
TCGA-17-Z015-01A-01W-0746-08	42	0	346	86	42	0
TCGA-17-Z017-01A-01W-0746-08	6	0	149	75	0	0
TCGA-17-Z018-01A-01W-0746-08	8	0	227	28	0	0
TCGA-17-Z019-01A-01W-0746-08	0	0	0	1	0	0
TCGA-17-Z020-01A-01W-0746-08	3	13	53	43	0	10
TCGA-17-Z021-01A-01W-0746-08	0	0	100	33	0	0
TCGA-17-Z022-01A-01W-0746-08	29	105	870	209	0	95
TCGA-17-Z023-01A-01W-0746-08	5	13	222	134	0	36
TCGA-17-Z025-01A-01W-0746-08	6	0	188	59	0	0
TCGA-17-Z026-01A-01W-0746-08	19	242	426	104	0	229
TCGA-17-Z027-01A-01W-0746-08	5	0	28	64	0	0
TCGA-17-Z028-01A-01W-0746-08	9	0	320	161	0	0
TCGA-17-Z030-01A-01W-0746-08	11	0	444	114	0	0
TCGA-17-Z031-01A-01W-0746-08	41	0	1838	533	0	0
TCGA-17-Z032-01A-01W-0746-08	0	11	50	0	29	18
TCGA-17-Z033-01A-01W-0746-08	2	19	97	39	0	12
TCGA-17-Z036-01A-01W-0746-08	6	8	36	27	0	0
TCGA-17-Z037-01A-01W-0746-08	67	0	0	74	0	0
TCGA-17-Z041-01A-01W-0746-08	7	2	17	17	0	6
TCGA-17-Z042-01A-01W-0746-08	11	0	381	107	0	0
TCGA-17-Z043-01A-01W-0746-08	5	6	96	89	0	17
TCGA-17-Z044-01A-01W-0746-08	2	0	58	66	0	0
TCGA-17-Z045-01A-01W-0746-08	8	0	524	184	0	0
TCGA-17-Z047-01A-01W-0747-08	5	0	0	18	0	0
TCGA-17-Z048-01A-01W-0746-08	6	0	0	18	0	5
TCGA-17-Z049-01A-01W-0746-08	5	0	367	137	0	0
TCGA-17-Z050-01A-01W-0747-08	0	15	99	0	41	16
TCGA-17-Z051-01A-01W-0747-08	5	0	69	63	0	0
TCGA-17-Z052-01A-01W-0747-08	0	0	77	41	0	0
TCGA-17-Z053-01A-01W-0747-08	16	9	131	81	0	18
TCGA-17-Z054-01A-01W-0747-08	0	0	0	2	2	0
TCGA-17-Z055-01A-01W-0747-08	9	0	451	175	0	0
TCGA-17-Z056-01A-01W-0747-08	6	38	286	107	0	42
