Samples	SBS96A	SBS96B	SBS96C
TCGA-05-4244-01A-01D-1105-08	153	14	53
TCGA-05-4250-01A-01D-1105-08	251	61	68
TCGA-05-4382-01A-01D-1931-08	1515	235	41
TCGA-05-4384-01A-01D-1753-08	86	16	34
TCGA-05-4389-01A-01D-1265-08	82	83	74
TCGA-05-4390-01A-02D-1753-08	498	21	52
TCGA-05-4395-01A-01D-1265-08	127	109	45
TCGA-05-4396-01A-21D-1855-08	163	26	61
TCGA-05-4397-01A-01D-1265-08	549	198	128
TCGA-05-4398-01A-01D-1265-08	515	112	113
TCGA-05-4402-01A-01D-1265-08	8	93	23
TCGA-05-4403-01A-01D-1265-08	49	10	78
TCGA-05-4405-01A-21D-1855-08	288	29	70
TCGA-05-4410-01A-21D-1855-08	875	168	86
TCGA-05-4415-01A-22D-1855-08	168	5	35
TCGA-05-4417-01A-22D-1855-08	254	11	51
TCGA-05-4418-01A-01D-1265-08	198	25	67
TCGA-05-4420-01A-01D-1265-08	234	27	39
TCGA-05-4422-01A-01D-1265-08	14	16	15
TCGA-05-4424-01A-22D-1855-08	565	98	49
TCGA-05-4425-01A-01D-1753-08	0	0	40
TCGA-05-4426-01A-01D-1265-08	9	7	29
TCGA-05-4427-01A-21D-1855-08	810	95	139
TCGA-05-4430-01A-02D-1265-08	215	22	36
TCGA-05-4432-01A-01D-1265-08	438	40	124
TCGA-05-4433-01A-22D-1855-08	0	0	38
TCGA-05-4434-01A-01D-1265-08	8	10	26
TCGA-05-5420-01A-01D-1625-08	46	7	35
TCGA-05-5423-01A-01D-1625-08	97	17	41
TCGA-05-5425-01A-02D-1625-08	469	43	75
TCGA-05-5428-01A-01D-1625-08	234	136	30
TCGA-05-5429-01A-01D-1625-08	0	5	29
TCGA-05-5715-01A-01D-1625-08	7	83	32
TCGA-17-Z000-01A-01W-0746-08	51	37	34
TCGA-17-Z001-01A-01W-0746-08	144	18	42
TCGA-17-Z002-01A-01W-0746-08	0	6	0
TCGA-17-Z003-01A-01W-0746-08	130	30	88
TCGA-17-Z004-01A-01W-0746-08	3	3	15
TCGA-17-Z007-01A-01W-0746-08	8	4	54
TCGA-17-Z009-01A-01W-0746-08	39	0	0
TCGA-17-Z011-01A-01W-0746-08	65	13	33
TCGA-17-Z013-01A-01W-0746-08	31	3	23
TCGA-17-Z015-01A-01W-0746-08	325	22	169
TCGA-17-Z017-01A-01W-0746-08	172	18	40
TCGA-17-Z018-01A-01W-0746-08	230	15	18
TCGA-17-Z019-01A-01W-0746-08	0	0	1
TCGA-17-Z020-01A-01W-0746-08	64	36	22
TCGA-17-Z021-01A-01W-0746-08	118	8	7
TCGA-17-Z022-01A-01W-0746-08	941	281	86
TCGA-17-Z023-01A-01W-0746-08	278	71	61
TCGA-17-Z025-01A-01W-0746-08	213	8	32
TCGA-17-Z026-01A-01W-0746-08	431	589	0
TCGA-17-Z027-01A-01W-0746-08	41	7	49
TCGA-17-Z028-01A-01W-0746-08	345	72	73
TCGA-17-Z030-01A-01W-0746-08	481	35	53
TCGA-17-Z031-01A-01W-0746-08	1992	122	298
TCGA-17-Z032-01A-01W-0746-08	42	29	39
TCGA-17-Z033-01A-01W-0746-08	108	46	15
TCGA-17-Z036-01A-01W-0746-08	39	14	24
TCGA-17-Z037-01A-01W-0746-08	0	0	141
TCGA-17-Z041-01A-01W-0746-08	17	11	21
TCGA-17-Z042-01A-01W-0746-08	408	32	59
TCGA-17-Z043-01A-01W-0746-08	128	37	48
TCGA-17-Z044-01A-01W-0746-08	77	17	32
TCGA-17-Z045-01A-01W-0746-08	596	52	68
TCGA-17-Z047-01A-01W-0747-08	2	4	17
